I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,23066.0,160.3,0.0,0.0,0.0
6.0,6.0,0.0,23099.0,193.5,0.0,0.0,0.0
7.0,6.0,0.0,23128.0,222.3,0.0,0.0,0.0
8.0,7.0,0.0,23157.0,251.3,0.0,0.0,0.0
8.0,8.0,0.0,23188.0,282.5,0.0,0.0,0.0
9.0,8.0,0.0,23218.0,312.6,0.0,0.0,0.0
10.0,9.0,0.0,23251.0,345.9,0.0,0.0,0.0
10.0,10.0,0.0,23282.0,376.6,0.0,0.0,0.0
11.0,10.0,1.0,23311.0,406.1,406.1,146.0,1.0
14.0,11.0,0.0,0.0,563.0,0.0,0.0,0.0
15.0,14.0,0.0,30.0,594.0,0.0,0.0,0.0
16.0,15.0,0.0,60.0,623.5,0.0,0.0,0.0
16.0,16.0,0.0,91.0,654.3,0.0,0.0,0.0
17.0,16.0,0.0,125.0,688.5,0.0,0.0,0.0
18.0,17.0,0.0,151.0,714.3,0.0,0.0,0.0
18.0,18.0,0.0,181.0,744.4,0.0,0.0,0.0
19.0,18.0,0.0,211.0,774.2,0.0,0.0,0.0
2.0,19.0,1.0,241.0,804.5,804.5,132.0,2.0
5.0,2.0,0.0,0.0,951.7,0.0,0.0,0.0
5.0,5.0,0.0,30.0,982.1,0.0,0.0,0.0
6.0,5.0,0.0,61.0,1013.3,0.0,0.0,0.0
7.0,6.0,0.0,92.0,1044.1,0.0,0.0,0.0
7.0,7.0,0.0,122.0,1074.1,0.0,0.0,0.0
8.0,7.0,0.0,154.0,1106.1,0.0,0.0,0.0
9.0,8.0,0.0,184.0,1136.5,0.0,0.0,0.0
9.0,9.0,0.0,214.0,1166.1,0.0,0.0,0.0
10.0,9.0,0.0,249.0,1200.8,0.0,0.0,0.0
11.0,10.0,1.0,274.0,1225.9,1225.9,144.0,1.0
14.0,11.0,0.0,0.0,1382.5,0.0,0.0,0.0
14.0,14.0,0.0,28.0,1411.1,0.0,0.0,0.0
15.0,14.0,0.0,58.0,1441.1,0.0,0.0,0.0
16.0,15.0,0.0,91.0,1474.4,0.0,0.0,0.0
16.0,16.0,0.0,121.0,1504.2,0.0,0.0,0.0
17.0,16.0,0.0,151.0,1534.4,0.0,0.0,0.0
18.0,17.0,0.0,184.0,1566.7,0.0,0.0,0.0
18.0,18.0,0.0,215.0,1598.3,0.0,0.0,0.0
19.0,18.0,0.0,245.0,1628.3,0.0,0.0,0.0
2.0,19.0,1.0,280.0,1662.6,1662.6,140.0,2.0
5.0,2.0,0.0,0.0,1808.9,0.0,0.0,0.0
6.0,5.0,0.0,29.0,1838.3,0.0,0.0,0.0
6.0,6.0,0.0,59.0,1868.8,0.0,0.0,0.0
7.0,6.0,0.0,90.0,1899.2,0.0,0.0,0.0
8.0,7.0,0.0,120.0,1929.7,0.0,0.0,0.0
