X,Y,Z,Rx,Ry,Rz,Time
969.134,-107.583,-138.62,151.637,-24.9861,-130.5296,0.0
969.133,-107.523,-138.62,151.637,-24.9861,-130.5296,0.04
969.133,-107.462,-138.62,151.637,-24.9861,-130.5296,0.08
969.132,-107.402,-138.62,151.637,-24.9861,-130.5296,0.12
969.132,-107.341,-138.62,151.637,-24.9861,-130.5296,0.16
969.131,-107.281,-138.62,151.637,-24.9861,-130.5296,0.2
969.13,-107.221,-138.621,151.637,-24.9861,-130.5296,0.24
969.13,-107.16,-138.621,151.637,-24.9861,-130.5296,0.28
969.129,-107.1,-138.621,151.637,-24.9861,-130.5296,0.32
969.128,-107.04,-138.621,151.637,-24.9861,-130.5296,0.36
969.128,-106.979,-138.621,151.637,-24.9861,-130.5296,0.4
969.127,-106.919,-138.621,151.637,-24.9861,-130.5296,0.44
969.127,-106.858,-138.621,151.637,-24.9861,-130.5296,0.48
969.126,-106.798,-138.621,151.637,-24.9861,-130.5296,0.52
969.125,-106.738,-138.621,151.637,-24.9861,-130.5296,0.56
969.125,-106.677,-138.621,151.637,-24.9861,-130.5296,0.6
969.124,-106.617,-138.621,151.637,-24.9861,-130.5296,0.64
969.123,-106.557,-138.622,151.637,-24.9861,-130.5296,0.68
969.123,-106.496,-138.622,151.637,-24.9861,-130.5296,0.72
969.122,-106.436,-138.622,151.637,-24.9861,-130.5296,0.76
969.122,-106.375,-138.622,151.637,-24.9861,-130.5296,0.8
969.121,-106.315,-138.622,151.637,-24.9861,-130.5296,0.84
969.12,-106.255,-138.622,151.637,-24.9861,-130.5296,0.88
969.12,-106.194,-138.622,151.637,-24.9861,-130.5296,0.92
969.119,-106.134,-138.622,151.637,-24.9861,-130.5296,0.96
969.118,-106.074,-138.622,151.637,-24.9861,-130.5296,1.0
969.118,-106.013,-138.622,151.637,-24.9861,-130.5296,1.04
969.117,-105.953,-138.622,151.637,-24.9861,-130.5296,1.08
969.117,-105.892,-138.623,151.637,-24.9861,-130.5296,1.12
969.116,-105.832,-138.623,151.637,-24.9861,-130.5296,1.16
