X,Y,Z,Rx,Ry,Rz
968.2,-16.888,-138.753,151.6367,-24.9865,-130.5287
968.199,-16.816,-138.753,151.6367,-24.9865,-130.5287
968.199,-16.743,-138.753,151.6367,-24.9865,-130.5287
968.198,-16.671,-138.753,151.6367,-24.9865,-130.5287
968.197,-16.599,-138.753,151.6367,-24.9865,-130.5287
968.196,-16.526,-138.754,151.6367,-24.9865,-130.5287
968.196,-16.454,-138.754,151.6367,-24.9865,-130.5287
968.195,-16.382,-138.754,151.6367,-24.9865,-130.5287
968.194,-16.309,-138.754,151.6367,-24.9865,-130.5287
968.193,-16.237,-138.754,151.6367,-24.9865,-130.5287
968.193,-16.165,-138.754,151.6367,-24.9865,-130.5287
968.192,-16.092,-138.754,151.6367,-24.9865,-130.5287
968.191,-16.02,-138.754,151.6367,-24.9865,-130.5287
968.19,-15.948,-138.754,151.6367,-24.9865,-130.5287
968.19,-15.875,-138.755,151.6367,-24.9865,-130.5287
968.189,-15.803,-138.755,151.6367,-24.9865,-130.5287
968.188,-15.731,-138.755,151.6367,-24.9865,-130.5287
968.187,-15.658,-138.755,151.6367,-24.9865,-130.5287
968.187,-15.586,-138.755,151.6367,-24.9865,-130.5287
968.186,-15.514,-138.755,151.6367,-24.9865,-130.5287
968.185,-15.441,-138.755,151.6367,-24.9865,-130.5287
968.184,-15.369,-138.755,151.6367,-24.9865,-130.5287
968.184,-15.297,-138.756,151.6367,-24.9865,-130.5287
968.183,-15.224,-138.756,151.6367,-24.9865,-130.5287
968.182,-15.152,-138.756,151.6367,-24.9865,-130.5287
968.181,-15.08,-138.756,151.6367,-24.9865,-130.5287
968.181,-15.007,-138.756,151.6367,-24.9865,-130.5287
968.18,-14.935,-138.756,151.6367,-24.9865,-130.5287
968.179,-14.863,-138.756,151.6367,-24.9865,-130.5287
968.178,-14.79,-138.756,151.6367,-24.9865,-130.5287
968.178,-14.718,-138.756,151.6367,-24.9865,-130.5287
968.177,-14.646,-138.757,151.6367,-24.9865,-130.5287
968.176,-14.573,-138.757,151.6367,-24.9865,-130.5287
968.175,-14.501,-138.757,151.6367,-24.9865,-130.5287
968.175,-14.429,-138.757,151.6367,-24.9865,-130.5287
968.174,-14.356,-138.757,151.6367,-24.9865,-130.5287
968.173,-14.284,-138.757,151.6367,-24.9865,-130.5287
968.172,-14.212,-138.757,151.6367,-24.9865,-130.5287
968.172,-14.139,-138.757,151.6367,-24.9865,-130.5287
968.171,-14.067,-138.757,151.6367,-24.9865,-130.5287
968.17,-13.995,-138.758,151.6367,-24.9865,-130.5287
968.169,-13.922,-138.758,151.6367,-24.9865,-130.5287
968.169,-13.85,-138.758,151.6367,-24.9865,-130.5287
968.168,-13.778,-138.758,151.6367,-24.9865,-130.5287
968.167,-13.705,-138.758,151.6367,-24.9865,-130.5287
968.166,-13.633,-138.758,151.6367,-24.9865,-130.5287
968.166,-13.561,-138.758,151.6367,-24.9865,-130.5287
968.165,-13.488,-138.758,151.6367,-24.9865,-130.5287
968.164,-13.416,-138.759,151.6367,-24.9865,-130.5287
968.163,-13.344,-138.759,151.6367,-24.9865,-130.5287
968.163,-13.271,-138.759,151.6367,-24.9865,-130.5287
968.162,-13.199,-138.759,151.6367,-24.9865,-130.5287
968.161,-13.127,-138.759,151.6367,-24.9865,-130.5287
968.16,-13.054,-138.759,151.6367,-24.9865,-130.5287
968.16,-12.982,-138.759,151.6367,-24.9865,-130.5287
968.159,-12.91,-138.759,151.6367,-24.9865,-130.5287
968.158,-12.837,-138.759,151.6367,-24.9865,-130.5287
968.157,-12.765,-138.76,151.6367,-24.9865,-130.5287
968.157,-12.693,-138.76,151.6367,-24.9865,-130.5287
968.156,-12.62,-138.76,151.6367,-24.9865,-130.5287
968.155,-12.548,-138.76,151.6367,-24.9865,-130.5287
968.154,-12.476,-138.76,151.6367,-24.9865,-130.5287
968.154,-12.403,-138.76,151.6367,-24.9865,-130.5287
968.153,-12.331,-138.76,151.6367,-24.9865,-130.5287
968.152,-12.259,-138.76,151.6367,-24.9865,-130.5287
968.151,-12.186,-138.76,151.6367,-24.9865,-130.5287
968.151,-12.114,-138.761,151.6367,-24.9865,-130.5287
968.15,-12.042,-138.761,151.6367,-24.9865,-130.5287
968.149,-11.969,-138.761,151.6367,-24.9865,-130.5287
968.148,-11.897,-138.761,151.6367,-24.9865,-130.5287
968.148,-11.825,-138.761,151.6367,-24.9865,-130.5287
968.147,-11.752,-138.761,151.6367,-24.9865,-130.5287
968.146,-11.68,-138.761,151.6367,-24.9865,-130.5287
968.145,-11.608,-138.761,151.6367,-24.9865,-130.5287
968.145,-11.535,-138.762,151.6367,-24.9865,-130.5287
968.144,-11.463,-138.762,151.6367,-24.9865,-130.5287
968.143,-11.391,-138.762,151.6367,-24.9865,-130.5287
968.142,-11.318,-138.762,151.6367,-24.9865,-130.5287
968.142,-11.246,-138.762,151.6367,-24.9865,-130.5287
968.141,-11.174,-138.762,151.6367,-24.9865,-130.5287
968.14,-11.101,-138.762,151.6367,-24.9865,-130.5287
968.14,-11.029,-138.762,151.6367,-24.9865,-130.5287
968.139,-10.957,-138.762,151.6367,-24.9865,-130.5287
968.138,-10.884,-138.763,151.6367,-24.9865,-130.5287
968.137,-10.812,-138.763,151.6367,-24.9865,-130.5287
968.137,-10.74,-138.763,151.6367,-24.9865,-130.5287
968.136,-10.667,-138.763,151.6367,-24.9865,-130.5287
968.135,-10.595,-138.763,151.6367,-24.9865,-130.5287
968.134,-10.523,-138.763,151.6367,-24.9865,-130.5287
968.134,-10.45,-138.763,151.6367,-24.9865,-130.5287
968.133,-10.378,-138.763,151.6367,-24.9865,-130.5287
968.132,-10.306,-138.763,151.6367,-24.9865,-130.5287
968.131,-10.233,-138.764,151.6367,-24.9865,-130.5287
