X,Y,Z,Rx,Ry,Rz
969.134,-107.344,-138.615,151.638,-24.9861,-130.5302
969.131,-107.294,-138.612,151.6362,-24.9857,-130.5289
969.133,-107.264,-138.614,151.6375,-24.986,-130.5297
969.134,-107.216,-138.618,151.6383,-24.9857,-130.5301
969.129,-107.185,-138.625,151.6364,-24.9864,-130.5289
969.13,-107.136,-138.628,151.6371,-24.9861,-130.5294
969.128,-107.106,-138.624,151.6378,-24.9872,-130.5302
969.127,-107.069,-138.628,151.6366,-24.986,-130.5296
969.126,-107.026,-138.623,151.6373,-24.9871,-130.5297
969.125,-106.78,-138.62,151.6358,-24.9856,-130.5288
969.127,-106.739,-138.622,151.6371,-24.9859,-130.5289
969.123,-106.701,-138.619,151.6372,-24.9864,-130.5301
969.124,-106.671,-138.621,151.6366,-24.9858,-130.5291
969.121,-106.622,-138.618,151.6367,-24.9863,-130.5296
969.123,-106.592,-138.62,151.638,-24.9866,-130.5304
969.124,-106.561,-138.622,151.6374,-24.986,-130.5294
969.126,-106.512,-138.616,151.6381,-24.986,-130.5301
969.118,-106.285,-138.625,151.6359,-24.9861,-130.529
969.12,-106.243,-138.627,151.6373,-24.9864,-130.5291
969.123,-106.194,-138.621,151.6379,-24.9864,-130.5298
969.123,-106.157,-138.625,151.6367,-24.9852,-130.5292
969.12,-106.126,-138.621,151.6374,-24.9863,-130.53
969.121,-106.078,-138.624,151.6382,-24.986,-130.5305
969.118,-106.047,-138.62,151.6369,-24.9862,-130.5295
969.118,-106.01,-138.624,151.6376,-24.9859,-130.5307
969.116,-105.967,-138.619,151.6364,-24.9861,-130.529
969.113,-105.74,-138.625,151.6368,-24.9866,-130.53
969.116,-105.698,-138.626,151.6362,-24.986,-130.5282
969.111,-105.661,-138.624,151.6363,-24.9865,-130.5294
969.113,-105.612,-138.628,151.637,-24.9862,-130.5299
969.111,-105.57,-138.623,151.6377,-24.9873,-130.53
969.111,-105.533,-138.627,151.6365,-24.9861,-130.5294
969.109,-105.49,-138.623,151.6372,-24.9872,-130.5295
969.109,-105.453,-138.626,151.636,-24.986,-130.5289
969.113,-105.41,-138.619,151.6372,-24.9866,-130.5293
969.11,-105.166,-138.625,151.6377,-24.9857,-130.5299
969.106,-105.147,-138.62,151.6365,-24.9859,-130.5296
969.109,-105.105,-138.622,151.6378,-24.9862,-130.5297
969.109,-105.056,-138.627,151.6378,-24.9867,-130.5302
969.11,-105.025,-138.629,151.6372,-24.9861,-130.5292
969.106,-104.988,-138.626,151.6373,-24.9866,-130.5304
969.108,-104.946,-138.628,151.6367,-24.986,-130.5287
969.105,-104.897,-138.626,151.6368,-24.9865,-130.5292
969.107,-104.867,-138.628,151.6381,-24.9868,-130.53
969.105,-104.64,-138.622,151.6372,-24.986,-130.5294
969.102,-104.59,-138.62,151.6373,-24.9865,-130.5299
969.103,-104.56,-138.621,151.6367,-24.9858,-130.5289
969.103,-104.523,-138.625,151.6374,-24.9855,-130.53
969.1,-104.474,-138.623,151.6375,-24.986,-130.5305
969.102,-104.431,-138.626,151.6362,-24.9863,-130.5288
969.103,-104.383,-138.629,151.6369,-24.9859,-130.5293
969.103,-104.364,-138.631,151.6363,-24.9853,-130.529
969.101,-104.321,-138.627,151.637,-24.9864,-130.5291
969.1,-104.095,-138.622,151.638,-24.9865,-130.5303
969.101,-104.046,-138.625,151.6368,-24.9853,-130.529
969.098,-104.015,-138.621,151.6375,-24.9864,-130.5298
969.099,-103.967,-138.625,151.6382,-24.9861,-130.5303
969.096,-103.936,-138.62,151.637,-24.9863,-130.5293
969.096,-103.899,-138.624,151.6377,-24.986,-130.5305
969.093,-103.849,-138.621,151.6359,-24.9855,-130.5292
969.094,-103.819,-138.623,151.6372,-24.9858,-130.53
969.096,-103.777,-138.626,151.6378,-24.987,-130.5301
969.089,-103.531,-138.626,151.6357,-24.986,-130.5289
969.09,-103.501,-138.628,151.637,-24.9863,-130.5297
969.092,-103.452,-138.622,151.6377,-24.9863,-130.5304
969.093,-103.422,-138.624,151.6371,-24.9857,-130.5294
969.09,-103.372,-138.621,151.6372,-24.9862,-130.5299
969.091,-103.342,-138.623,151.6366,-24.9856,-130.5289
969.087,-103.305,-138.62,151.6367,-24.9861,-130.5301
969.09,-103.263,-138.622,151.638,-24.9864,-130.5302
969.091,-103.233,-138.624,151.6374,-24.9858,-130.5292
969.087,-102.987,-138.631,151.6371,-24.9858,-130.5298
969.084,-102.938,-138.629,151.6372,-24.9863,-130.5303
969.085,-102.908,-138.631,151.6366,-24.9857,-130.5293
