X,Y,Z,Rx,Ry,Rz
969.133,-107.523,-138.62,151.637,-24.9861,-130.5296
969.133,-107.462,-138.62,151.637,-24.9861,-130.5296
969.132,-107.402,-138.62,151.637,-24.9861,-130.5296
969.132,-107.341,-138.62,151.637,-24.9861,-130.5296
969.131,-107.281,-138.62,151.637,-24.9861,-130.5296
969.13,-107.221,-138.621,151.637,-24.9861,-130.5296
969.13,-107.16,-138.621,151.637,-24.9861,-130.5296
969.129,-107.1,-138.621,151.637,-24.9861,-130.5296
969.128,-107.04,-138.621,151.637,-24.9861,-130.5296
969.128,-106.979,-138.621,151.637,-24.9861,-130.5296
969.127,-106.919,-138.621,151.637,-24.9861,-130.5296
969.127,-106.858,-138.621,151.637,-24.9861,-130.5296
969.126,-106.798,-138.621,151.637,-24.9861,-130.5296
969.125,-106.738,-138.621,151.637,-24.9861,-130.5296
969.125,-106.677,-138.621,151.637,-24.9861,-130.5296
969.124,-106.617,-138.621,151.637,-24.9861,-130.5296
969.123,-106.557,-138.622,151.637,-24.9861,-130.5296
969.123,-106.496,-138.622,151.637,-24.9861,-130.5296
969.122,-106.436,-138.622,151.637,-24.9861,-130.5296
969.122,-106.375,-138.622,151.637,-24.9861,-130.5296
969.121,-106.315,-138.622,151.637,-24.9861,-130.5296
969.12,-106.255,-138.622,151.637,-24.9861,-130.5296
969.12,-106.194,-138.622,151.637,-24.9861,-130.5296
969.119,-106.134,-138.622,151.637,-24.9861,-130.5296
969.118,-106.074,-138.622,151.637,-24.9861,-130.5296
969.118,-106.013,-138.622,151.637,-24.9861,-130.5296
969.117,-105.953,-138.622,151.637,-24.9861,-130.5296
969.117,-105.892,-138.623,151.637,-24.9861,-130.5296
969.116,-105.832,-138.623,151.637,-24.9861,-130.5296
969.115,-105.772,-138.623,151.637,-24.9861,-130.5296
969.115,-105.711,-138.623,151.637,-24.9861,-130.5296
969.114,-105.651,-138.623,151.637,-24.9861,-130.5296
969.113,-105.591,-138.623,151.637,-24.9861,-130.5296
969.113,-105.53,-138.623,151.637,-24.9861,-130.5296
969.112,-105.47,-138.623,151.637,-24.9861,-130.5296
969.112,-105.409,-138.623,151.637,-24.9861,-130.5296
969.111,-105.349,-138.623,151.637,-24.9861,-130.5296
969.11,-105.289,-138.623,151.637,-24.9861,-130.5296
969.11,-105.228,-138.624,151.637,-24.9861,-130.5296
969.109,-105.168,-138.624,151.637,-24.9861,-130.5296
969.108,-105.108,-138.624,151.637,-24.9861,-130.5296
969.108,-105.047,-138.624,151.637,-24.9861,-130.5296
969.107,-104.987,-138.624,151.637,-24.9861,-130.5296
969.107,-104.926,-138.624,151.637,-24.9861,-130.5296
969.106,-104.866,-138.624,151.637,-24.9861,-130.5296
969.105,-104.806,-138.624,151.637,-24.9861,-130.5296
969.105,-104.745,-138.624,151.637,-24.9861,-130.5296
969.104,-104.685,-138.624,151.637,-24.9861,-130.5296
969.104,-104.625,-138.624,151.637,-24.9861,-130.5296
969.103,-104.564,-138.625,151.637,-24.9861,-130.5296
969.102,-104.504,-138.625,151.637,-24.9861,-130.5296
969.102,-104.443,-138.625,151.637,-24.9861,-130.5296
969.101,-104.383,-138.625,151.637,-24.9861,-130.5296
969.1,-104.323,-138.625,151.637,-24.9861,-130.5296
969.1,-104.262,-138.625,151.637,-24.9861,-130.5296
969.099,-104.202,-138.625,151.637,-24.9861,-130.5296
969.099,-104.141,-138.625,151.637,-24.9861,-130.5296
969.098,-104.081,-138.625,151.637,-24.9861,-130.5296
969.097,-104.021,-138.625,151.637,-24.9861,-130.5296
969.097,-103.96,-138.625,151.637,-24.9861,-130.5296
969.096,-103.9,-138.626,151.637,-24.9861,-130.5296
969.095,-103.84,-138.626,151.637,-24.9861,-130.5296
969.095,-103.779,-138.626,151.637,-24.9861,-130.5296
969.094,-103.719,-138.626,151.637,-24.9861,-130.5296
969.094,-103.658,-138.626,151.637,-24.9861,-130.5296
969.093,-103.598,-138.626,151.637,-24.9861,-130.5296
969.092,-103.538,-138.626,151.637,-24.9861,-130.5296
969.092,-103.477,-138.626,151.637,-24.9861,-130.5296
969.091,-103.417,-138.626,151.637,-24.9861,-130.5296
969.09,-103.357,-138.626,151.637,-24.9861,-130.5296
969.09,-103.296,-138.626,151.637,-24.9861,-130.5296
969.089,-103.236,-138.627,151.637,-24.9861,-130.5296
969.089,-103.175,-138.627,151.637,-24.9861,-130.5296
969.088,-103.115,-138.627,151.637,-24.9861,-130.5296
969.087,-103.055,-138.627,151.637,-24.9861,-130.5296
969.087,-102.994,-138.627,151.637,-24.9861,-130.5296
969.086,-102.934,-138.627,151.637,-24.9861,-130.5296
969.085,-102.874,-138.627,151.637,-24.9861,-130.5296
969.085,-102.813,-138.627,151.637,-24.9861,-130.5296
969.084,-102.753,-138.627,151.637,-24.9861,-130.5296
969.084,-102.692,-138.627,151.637,-24.9861,-130.5296
969.083,-102.632,-138.627,151.637,-24.9861,-130.5296
969.082,-102.572,-138.628,151.637,-24.9861,-130.5296
969.082,-102.511,-138.628,151.637,-24.9861,-130.5296
969.081,-102.451,-138.628,151.637,-24.9861,-130.5296
969.08,-102.391,-138.628,151.637,-24.9861,-130.5296
969.08,-102.33,-138.628,151.637,-24.9861,-130.5296
969.079,-102.27,-138.628,151.637,-24.9861,-130.5296
