I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
5.0,2.0,0.0,14450.0,150.5,0.0,0.0,0.0
6.0,5.0,0.0,14483.0,183.5,0.0,0.0,0.0
7.0,6.0,0.0,14514.0,214.6,0.0,0.0,0.0
7.0,7.0,0.0,14543.0,243.7,0.0,0.0,0.0
8.0,7.0,0.0,14573.0,273.6,0.0,0.0,0.0
9.0,8.0,0.0,14604.0,304.1,0.0,0.0,0.0
9.0,9.0,0.0,14633.0,333.2,0.0,0.0,0.0
10.0,9.0,0.0,14663.0,363.5,0.0,0.0,0.0
11.0,10.0,1.0,14694.0,394.2,394.2,156.0,1.0
14.0,11.0,0.0,0.0,560.5,0.0,0.0,0.0
15.0,14.0,0.0,27.0,587.9,0.0,0.0,0.0
16.0,15.0,0.0,57.0,618.4,0.0,0.0,0.0
16.0,16.0,0.0,88.0,648.7,0.0,0.0,0.0
17.0,16.0,0.0,119.0,679.7,0.0,0.0,0.0
17.0,17.0,0.0,147.0,708.3,0.0,0.0,0.0
18.0,17.0,0.0,180.0,741.1,0.0,0.0,0.0
19.0,18.0,0.0,211.0,771.8,0.0,0.0,0.0
2.0,19.0,1.0,241.0,802.1,802.1,140.0,2.0
5.0,2.0,0.0,0.0,956.2,0.0,0.0,0.0
5.0,5.0,0.0,30.0,986.2,0.0,0.0,0.0
6.0,5.0,0.0,59.0,1016.2,0.0,0.0,0.0
7.0,6.0,0.0,90.0,1046.4,0.0,0.0,0.0
7.0,7.0,0.0,120.0,1076.4,0.0,0.0,0.0
8.0,7.0,0.0,150.0,1106.8,0.0,0.0,0.0
9.0,8.0,0.0,180.0,1136.3,0.0,0.0,0.0
9.0,9.0,0.0,209.0,1166.2,0.0,0.0,0.0
10.0,9.0,0.0,241.0,1197.4,0.0,0.0,0.0
11.0,10.0,1.0,273.0,1229.8,1229.8,147.0,1.0
14.0,11.0,0.0,0.0,1388.4,0.0,0.0,0.0
15.0,14.0,0.0,36.0,1423.9,0.0,0.0,0.0
15.0,15.0,0.0,62.0,1450.4,0.0,0.0,0.0
16.0,15.0,0.0,93.0,1480.5,0.0,0.0,0.0
17.0,16.0,0.0,122.0,1509.7,0.0,0.0,0.0
17.0,17.0,0.0,153.0,1540.5,0.0,0.0,0.0
18.0,17.0,0.0,184.0,1571.8,0.0,0.0,0.0
19.0,18.0,0.0,213.0,1600.8,0.0,0.0,0.0
19.0,19.0,0.0,244.0,1631.7,0.0,0.0,0.0
2.0,19.0,1.0,272.0,1660.4,1660.4,148.0,2.0
5.0,2.0,0.0,0.0,1818.0,0.0,0.0,0.0
6.0,5.0,0.0,24.0,1842.3,0.0,0.0,0.0
6.0,6.0,0.0,54.0,1872.3,0.0,0.0,0.0
7.0,6.0,0.0,84.0,1902.0,0.0,0.0,0.0
8.0,7.0,0.0,118.0,1936.5,0.0,0.0,0.0
8.0,8.0,0.0,144.0,1962.6,0.0,0.0,0.0
9.0,8.0,0.0,173.0,1991.7,0.0,0.0,0.0
10.0,9.0,0.0,204.0,2022.3,0.0,0.0,0.0
10.0,10.0,0.0,234.0,2052.6,0.0,0.0,0.0
11.0,10.0,1.0,266.0,2084.5,2084.5,145.0,1.0
14.0,11.0,0.0,0.0,2239.8,0.0,0.0,0.0
15.0,14.0,0.0,32.0,2271.8,0.0,0.0,0.0
16.0,15.0,0.0,62.0,2302.2,0.0,0.0,0.0
16.0,16.0,0.0,92.0,2332.3,0.0,0.0,0.0
17.0,16.0,0.0,124.0,2364.2,0.0,0.0,0.0
18.0,17.0,0.0,154.0,2394.3,0.0,0.0,0.0
18.0,18.0,0.0,186.0,2426.4,0.0,0.0,0.0
19.0,18.0,0.0,220.0,2459.9,0.0,0.0,0.0
2.0,19.0,1.0,249.0,2489.5,2489.5,133.0,2.0
5.0,2.0,0.0,0.0,2633.7,0.0,0.0,0.0
5.0,5.0,0.0,31.0,2664.8,0.0,0.0,0.0
6.0,5.0,0.0,61.0,2695.4,0.0,0.0,0.0
7.0,6.0,0.0,91.0,2724.9,0.0,0.0,0.0
7.0,7.0,0.0,122.0,2755.9,0.0,0.0,0.0
8.0,7.0,0.0,154.0,2788.4,0.0,0.0,0.0
9.0,8.0,0.0,182.0,2816.3,0.0,0.0,0.0
9.0,9.0,0.0,212.0,2846.0,0.0,0.0,0.0
10.0,9.0,0.0,244.0,2878.5,0.0,0.0,0.0
11.0,10.0,1.0,274.0,2908.5,2908.5,134.0,1.0
14.0,11.0,0.0,0.0,3052.8,0.0,0.0,0.0
14.0,14.0,0.0,30.0,3083.5,0.0,0.0,0.0
15.0,14.0,0.0,62.0,3115.4,0.0,0.0,0.0
16.0,15.0,0.0,91.0,3144.3,0.0,0.0,0.0
16.0,16.0,0.0,122.0,3175.3,0.0,0.0,0.0
17.0,16.0,0.0,154.0,3207.6,0.0,0.0,0.0
18.0,17.0,0.0,185.0,3238.1,0.0,0.0,0.0
18.0,18.0,0.0,215.0,3267.9,0.0,0.0,0.0
19.0,18.0,0.0,249.0,3301.5,0.0,0.0,0.0
2.0,19.0,1.0,275.0,3328.1,3328.1,140.0,2.0
5.0,2.0,0.0,1.0,3479.1,0.0,0.0,0.0
5.0,5.0,0.0,31.0,3508.2,0.0,0.0,0.0
6.0,5.0,0.0,60.0,3538.1,0.0,0.0,0.0
7.0,6.0,0.0,91.0,3569.0,0.0,0.0,0.0
7.0,7.0,0.0,121.0,3598.9,0.0,0.0,0.0
8.0,7.0,0.0,152.0,3629.1,0.0,0.0,0.0
9.0,8.0,0.0,186.0,3664.0,0.0,0.0,0.0
9.0,9.0,0.0,211.0,3688.9,0.0,0.0,0.0
10.0,9.0,0.0,243.0,3720.4,0.0,0.0,0.0
11.0,10.0,1.0,273.0,3750.2,3750.2,147.0,1.0
14.0,11.0,0.0,0.0,3908.0,0.0,0.0,0.0
15.0,14.0,0.0,36.0,3944.8,0.0,0.0,0.0
15.0,15.0,0.0,62.0,3970.4,0.0,0.0,0.0
16.0,15.0,0.0,92.0,4000.6,0.0,0.0,0.0
17.0,16.0,0.0,122.0,4031.0,0.0,0.0,0.0
17.0,17.0,0.0,153.0,4061.4,0.0,0.0,0.0
18.0,17.0,0.0,183.0,4091.8,0.0,0.0,0.0
19.0,18.0,0.0,213.0,4121.7,0.0,0.0,0.0
19.0,19.0,0.0,243.0,4151.2,0.0,0.0,0.0
2.0,19.0,1.0,276.0,4184.2,4184.2,168.0,2.0
6.0,2.0,0.0,0.0,4360.5,0.0,0.0,0.0
6.0,6.0,0.0,26.0,4387.1,0.0,0.0,0.0
7.0,6.0,0.0,58.0,4418.6,0.0,0.0,0.0
8.0,7.0,0.0,87.0,4448.5,0.0,0.0,0.0
8.0,8.0,0.0,117.0,4478.4,0.0,0.0,0.0
9.0,8.0,0.0,147.0,4508.5,0.0,0.0,0.0
10.0,9.0,0.0,177.0,4538.4,0.0,0.0,0.0
10.0,10.0,0.0,208.0,4568.7,0.0,0.0,0.0
11.0,10.0,1.0,239.0,4599.6,4599.6,145.0,1.0
14.0,11.0,0.0,0.0,4754.4,0.0,0.0,0.0
15.0,14.0,0.0,27.0,4782.3,0.0,0.0,0.0
15.0,15.0,0.0,57.0,4812.4,0.0,0.0,0.0
16.0,15.0,0.0,92.0,4846.5,0.0,0.0,0.0
17.0,16.0,0.0,126.0,4880.5,0.0,0.0,0.0
17.0,17.0,0.0,156.0,4910.7,0.0,0.0,0.0
18.0,17.0,0.0,186.0,4940.7,0.0,0.0,0.0
19.0,18.0,0.0,216.0,4970.8,0.0,0.0,0.0
19.0,19.0,0.0,246.0,5000.9,0.0,0.0,0.0
2.0,19.0,1.0,276.0,5031.0,5031.0,141.0,2.0
5.0,2.0,0.0,0.0,5182.1,0.0,0.0,0.0
6.0,5.0,0.0,30.0,5212.3,0.0,0.0,0.0
7.0,6.0,0.0,59.0,5242.0,0.0,0.0,0.0
7.0,7.0,0.0,94.0,5276.2,0.0,0.0,0.0
8.0,7.0,0.0,128.0,5310.6,0.0,0.0,0.0
9.0,8.0,0.0,162.0,5344.7,0.0,0.0,0.0
9.0,9.0,0.0,192.0,5374.5,0.0,0.0,0.0
10.0,9.0,0.0,222.0,5405.0,0.0,0.0,0.0
11.0,10.0,1.0,258.0,5440.6,5440.6,134.0,1.0
14.0,11.0,0.0,0.0,5584.9,0.0,0.0,0.0
14.0,14.0,0.0,31.0,5615.9,0.0,0.0,0.0
15.0,14.0,0.0,61.0,5646.2,0.0,0.0,0.0
16.0,15.0,0.0,91.0,5676.4,0.0,0.0,0.0
16.0,16.0,0.0,123.0,5708.3,0.0,0.0,0.0
17.0,16.0,0.0,153.0,5738.0,0.0,0.0,0.0
18.0,17.0,0.0,187.0,5772.5,0.0,0.0,0.0
19.0,18.0,0.0,217.0,5802.7,0.0,0.0,0.0
19.0,19.0,0.0,247.0,5832.2,0.0,0.0,0.0
2.0,19.0,1.0,279.0,5864.4,5864.4,133.0,2.0
5.0,2.0,0.0,0.0,6008.2,0.0,0.0,0.0
6.0,5.0,0.0,28.0,6036.4,0.0,0.0,0.0
6.0,6.0,0.0,60.0,6067.9,0.0,0.0,0.0
7.0,6.0,0.0,91.0,6098.8,0.0,0.0,0.0
7.0,7.0,0.0,120.0,6127.9,0.0,0.0,0.0
8.0,7.0,0.0,150.0,6158.3,0.0,0.0,0.0
9.0,8.0,0.0,181.0,6189.3,0.0,0.0,0.0
9.0,9.0,0.0,212.0,6220.3,0.0,0.0,0.0
10.0,9.0,0.0,242.0,6250.5,0.0,0.0,0.0
11.0,10.0,1.0,276.0,6284.5,6284.5,139.0,1.0
14.0,11.0,0.0,0.0,6432.4,0.0,0.0,0.0
15.0,14.0,0.0,24.0,6456.5,0.0,0.0,0.0
15.0,15.0,0.0,56.0,6489.0,0.0,0.0,0.0
16.0,15.0,0.0,88.0,6520.9,0.0,0.0,0.0
17.0,16.0,0.0,116.0,6548.6,0.0,0.0,0.0
17.0,17.0,0.0,147.0,6580.2,0.0,0.0,0.0
18.0,17.0,0.0,179.0,6611.9,0.0,0.0,0.0
19.0,18.0,0.0,209.0,6641.6,0.0,0.0,0.0
19.0,19.0,0.0,239.0,6672.2,0.0,0.0,0.0
2.0,19.0,1.0,270.0,6702.6,6702.6,138.0,2.0
5.0,2.0,0.0,0.0,6850.5,0.0,0.0,0.0
