X,Y,Z,Rx,Ry,Rz
967.945,-108.56,-138.647,151.6385,-24.9858,-130.5339
967.946,-108.512,-138.651,151.6392,-24.9855,-130.5344
967.945,-108.469,-138.647,151.6399,-24.9866,-130.5345
967.951,-108.42,-138.647,151.6393,-24.9849,-130.5334
967.947,-108.383,-138.644,151.6394,-24.9854,-130.5346
967.948,-108.353,-138.646,151.6407,-24.9857,-130.5354
967.945,-108.303,-138.644,151.6389,-24.9853,-130.5341
967.947,-108.273,-138.646,151.6402,-24.9856,-130.5349
967.948,-108.225,-138.649,151.6409,-24.9853,-130.5354
967.941,-107.986,-138.658,151.6388,-24.9854,-130.5336
967.938,-107.937,-138.656,151.6389,-24.9859,-130.5341
967.945,-107.907,-138.654,151.6408,-24.9857,-130.5352
967.942,-107.857,-138.652,151.639,-24.9853,-130.5339
967.942,-107.821,-138.655,151.6397,-24.985,-130.5351
967.939,-107.79,-138.651,151.6385,-24.9852,-130.5341
967.94,-107.741,-138.655,151.6392,-24.9849,-130.5346
967.939,-107.699,-138.65,151.6399,-24.986,-130.5347
967.934,-107.46,-138.648,151.6384,-24.9856,-130.5332
967.933,-107.423,-138.652,151.6391,-24.9853,-130.5344
967.932,-107.381,-138.648,151.6398,-24.9864,-130.5345
967.932,-107.344,-138.651,151.6386,-24.9852,-130.5339
967.933,-107.314,-138.653,151.64,-24.9855,-130.5347
967.93,-107.265,-138.651,151.6401,-24.9859,-130.5352
967.933,-107.215,-138.645,151.6388,-24.9851,-130.5341
967.934,-107.185,-138.647,151.6401,-24.9854,-130.5349
967.929,-107.136,-138.655,151.6396,-24.9864,-130.5351
967.928,-106.898,-138.659,151.6387,-24.9852,-130.5336
967.925,-106.849,-138.657,151.6388,-24.9857,-130.5341
967.927,-106.819,-138.659,151.6401,-24.986,-130.5349
967.923,-106.769,-138.656,151.6383,-24.9856,-130.5336
967.925,-106.739,-138.658,151.6396,-24.9859,-130.5344
967.926,-106.701,-138.652,151.6384,-24.985,-130.534
967.928,-106.66,-138.654,151.6397,-24.9853,-130.5342
967.924,-106.622,-138.651,151.6398,-24.9858,-130.5354
967.925,-106.592,-138.653,151.6392,-24.9852,-130.5343
967.92,-106.354,-138.651,151.6396,-24.9857,-130.5346
967.921,-106.305,-138.655,151.6404,-24.9854,-130.5351
967.918,-106.274,-138.651,151.6391,-24.9856,-130.5341
967.923,-106.226,-138.662,151.6398,-24.9853,-130.5346
967.92,-106.195,-138.657,151.6386,-24.9855,-130.5336
967.922,-106.165,-138.659,151.6399,-24.9858,-130.5344
967.919,-106.116,-138.657,151.64,-24.9863,-130.5349
967.918,-106.079,-138.66,151.6388,-24.9851,-130.5343
967.917,-106.036,-138.656,151.6395,-24.9862,-130.5344
967.91,-105.81,-138.654,151.6399,-24.9867,-130.5354
967.917,-105.761,-138.654,151.6393,-24.985,-130.5343
967.914,-105.711,-138.652,151.6394,-24.9855,-130.5348
967.915,-105.682,-138.654,151.6407,-24.9858,-130.5356
967.912,-105.632,-138.651,151.6389,-24.9854,-130.5343
967.915,-105.59,-138.653,151.6402,-24.9857,-130.5344
967.916,-105.56,-138.655,151.6396,-24.9851,-130.5334
967.913,-105.511,-138.652,151.6397,-24.9856,-130.5339
967.906,-105.302,-138.648,151.6388,-24.9858,-130.5334
967.911,-105.254,-138.66,151.6395,-24.9856,-130.5339
967.908,-105.205,-138.657,151.6396,-24.9861,-130.5344
967.909,-105.174,-138.659,151.639,-24.9854,-130.5334
967.905,-105.137,-138.656,151.6391,-24.9859,-130.5346
967.906,-105.089,-138.66,151.6398,-24.9856,-130.5351
967.904,-105.046,-138.656,151.6386,-24.9858,-130.5334
967.905,-105.016,-138.658,151.6399,-24.9861,-130.5342
967.902,-104.966,-138.655,151.64,-24.9866,-130.5347
967.904,-104.752,-138.656,151.6397,-24.985,-130.5348
967.902,-104.71,-138.652,151.6404,-24.9861,-130.5349
967.902,-104.673,-138.655,151.6392,-24.9849,-130.5343
967.899,-104.623,-138.653,151.6393,-24.9854,-130.5348
967.9,-104.593,-138.654,151.6387,-24.9848,-130.5338
967.897,-104.544,-138.652,151.6388,-24.9852,-130.5343
967.898,-104.514,-138.654,151.6401,-24.9855,-130.5351
967.893,-104.464,-138.662,151.6376,-24.9856,-130.5335
967.896,-104.423,-138.664,151.6389,-24.9859,-130.5336
967.894,-104.196,-138.659,151.6399,-24.986,-130.5348
967.895,-104.147,-138.662,151.6387,-24.9848,-130.5335
967.892,-104.117,-138.658,151.6394,-24.9859,-130.5343
967.892,-104.08,-138.662,151.6401,-24.9856,-130.5355
967.89,-104.037,-138.657,151.6389,-24.9858,-130.5338
967.896,-104.0,-138.657,151.6402,-24.985,-130.5353
967.894,-103.958,-138.653,151.639,-24.9852,-130.5336
967.894,-103.921,-138.657,151.6397,-24.9849,-130.5348
967.892,-103.878,-138.652,151.6404,-24.986,-130.5349
967.888,-103.633,-138.659,151.6382,-24.9851,-130.5337
967.89,-103.603,-138.661,151.6396,-24.9854,-130.5345
967.888,-103.561,-138.657,151.6402,-24.9865,-130.5346
967.889,-103.512,-138.661,151.6391,-24.9853,-130.5333
967.885,-103.474,-138.658,151.6391,-24.9858,-130.5345
967.886,-103.444,-138.66,151.6405,-24.9861,-130.5353
967.883,-103.395,-138.657,151.6386,-24.9856,-130.534
967.884,-103.365,-138.659,151.64,-24.9859,-130.5348
967.879,-103.327,-138.657,151.6381,-24.9855,-130.5342
967.88,-103.059,-138.653,151.6404,-24.9859,-130.5355
967.881,-103.029,-138.655,151.6398,-24.9853,-130.5345
