X,Y,Z,Rx,Ry,Rz
967.95,-108.708,-138.651,151.6394,-24.9856,-130.5344
967.95,-108.647,-138.651,151.6394,-24.9856,-130.5344
967.949,-108.587,-138.651,151.6394,-24.9856,-130.5344
967.948,-108.526,-138.651,151.6394,-24.9856,-130.5344
967.947,-108.466,-138.651,151.6394,-24.9856,-130.5344
967.947,-108.406,-138.652,151.6394,-24.9856,-130.5344
967.946,-108.345,-138.652,151.6394,-24.9856,-130.5344
967.945,-108.285,-138.652,151.6394,-24.9856,-130.5344
967.944,-108.225,-138.652,151.6394,-24.9856,-130.5344
967.944,-108.164,-138.652,151.6394,-24.9856,-130.5344
967.943,-108.104,-138.652,151.6394,-24.9856,-130.5344
967.942,-108.043,-138.652,151.6394,-24.9856,-130.5344
967.941,-107.983,-138.652,151.6394,-24.9856,-130.5344
967.941,-107.923,-138.652,151.6394,-24.9856,-130.5344
967.94,-107.862,-138.652,151.6394,-24.9856,-130.5344
967.939,-107.802,-138.652,151.6394,-24.9856,-130.5344
967.938,-107.741,-138.653,151.6394,-24.9856,-130.5344
967.938,-107.681,-138.653,151.6394,-24.9856,-130.5344
967.937,-107.621,-138.653,151.6394,-24.9856,-130.5344
967.936,-107.56,-138.653,151.6394,-24.9856,-130.5344
967.935,-107.5,-138.653,151.6394,-24.9856,-130.5344
967.935,-107.44,-138.653,151.6394,-24.9856,-130.5344
967.934,-107.379,-138.653,151.6394,-24.9856,-130.5344
967.933,-107.319,-138.653,151.6394,-24.9856,-130.5344
967.932,-107.258,-138.653,151.6394,-24.9856,-130.5344
967.932,-107.198,-138.653,151.6394,-24.9856,-130.5344
967.931,-107.138,-138.653,151.6394,-24.9856,-130.5344
967.93,-107.077,-138.653,151.6394,-24.9856,-130.5344
967.929,-107.017,-138.654,151.6394,-24.9856,-130.5344
967.929,-106.956,-138.654,151.6394,-24.9856,-130.5344
967.928,-106.896,-138.654,151.6394,-24.9856,-130.5344
967.927,-106.836,-138.654,151.6394,-24.9856,-130.5344
967.926,-106.775,-138.654,151.6394,-24.9856,-130.5344
967.926,-106.715,-138.654,151.6394,-24.9856,-130.5344
967.925,-106.654,-138.654,151.6394,-24.9856,-130.5344
967.924,-106.594,-138.654,151.6394,-24.9856,-130.5344
967.923,-106.534,-138.654,151.6394,-24.9856,-130.5344
967.923,-106.473,-138.654,151.6394,-24.9856,-130.5344
967.922,-106.413,-138.654,151.6394,-24.9856,-130.5344
967.921,-106.353,-138.655,151.6394,-24.9856,-130.5344
967.92,-106.292,-138.655,151.6394,-24.9856,-130.5344
967.92,-106.232,-138.655,151.6394,-24.9856,-130.5344
967.919,-106.171,-138.655,151.6394,-24.9856,-130.5344
967.918,-106.111,-138.655,151.6394,-24.9856,-130.5344
967.917,-106.051,-138.655,151.6394,-24.9856,-130.5344
967.917,-105.99,-138.655,151.6394,-24.9856,-130.5344
967.916,-105.93,-138.655,151.6394,-24.9856,-130.5344
