X,Y,Z,Rx,Ry,Rz,Time
956.58,-101.585,-165.127,160.4994,7.8481,-157.0421,0.0
956.579,-101.525,-165.127,160.4994,7.8481,-157.0421,0.04
956.577,-101.464,-165.127,160.4994,7.8481,-157.0421,0.08
956.576,-101.404,-165.127,160.4994,7.8481,-157.0421,0.12
956.575,-101.343,-165.127,160.4994,7.8481,-157.0421,0.16
956.574,-101.283,-165.127,160.4994,7.8481,-157.0421,0.2
956.572,-101.223,-165.127,160.4994,7.8481,-157.0421,0.24
956.571,-101.162,-165.127,160.4994,7.8481,-157.0421,0.28
956.57,-101.102,-165.127,160.4994,7.8481,-157.0421,0.32
956.569,-101.042,-165.127,160.4994,7.8481,-157.0421,0.36
956.567,-100.981,-165.128,160.4994,7.8481,-157.0421,0.4
956.566,-100.921,-165.128,160.4994,7.8481,-157.0421,0.44
956.565,-100.86,-165.128,160.4994,7.8481,-157.0421,0.48
956.563,-100.8,-165.128,160.4994,7.8481,-157.0421,0.52
956.562,-100.74,-165.128,160.4994,7.8481,-157.0421,0.56
956.561,-100.679,-165.128,160.4994,7.8481,-157.0421,0.6
956.56,-100.619,-165.128,160.4994,7.8481,-157.0421,0.64
956.558,-100.558,-165.128,160.4994,7.8481,-157.0421,0.68
956.557,-100.498,-165.128,160.4994,7.8481,-157.0421,0.72
956.556,-100.438,-165.128,160.4994,7.8481,-157.0421,0.76
956.555,-100.377,-165.128,160.4994,7.8481,-157.0421,0.8
956.553,-100.317,-165.128,160.4994,7.8481,-157.0421,0.84
956.552,-100.257,-165.128,160.4994,7.8481,-157.0421,0.88
956.551,-100.196,-165.128,160.4994,7.8481,-157.0421,0.92
956.549,-100.136,-165.128,160.4994,7.8481,-157.0421,0.96
956.548,-100.075,-165.128,160.4994,7.8481,-157.0421,1.0
956.547,-100.015,-165.128,160.4994,7.8481,-157.0421,1.04
956.546,-99.955,-165.128,160.4994,7.8481,-157.0421,1.08
956.544,-99.894,-165.128,160.4994,7.8481,-157.0421,1.12
956.543,-99.834,-165.128,160.4994,7.8481,-157.0421,1.16
956.542,-99.773,-165.129,160.4994,7.8481,-157.0421,1.2
956.541,-99.713,-165.129,160.4994,7.8481,-157.0421,1.24
956.539,-99.653,-165.129,160.4994,7.8481,-157.0421,1.28
956.538,-99.592,-165.129,160.4994,7.8481,-157.0421,1.32
956.537,-99.532,-165.129,160.4994,7.8481,-157.0421,1.36
956.535,-99.472,-165.129,160.4994,7.8481,-157.0421,1.4000000000000001
956.534,-99.411,-165.129,160.4994,7.8481,-157.0421,1.44
956.533,-99.351,-165.129,160.4994,7.8481,-157.0421,1.48
956.532,-99.29,-165.129,160.4994,7.8481,-157.0421,1.52
956.53,-99.23,-165.129,160.4994,7.8481,-157.0421,1.56
956.529,-99.17,-165.129,160.4994,7.8481,-157.0421,1.6
