X,Y,Z,Rx,Ry,Rz
956.579,-101.525,-165.127,1604.9940000000001,78.481,-1570.421
956.577,-101.464,-165.127,1604.9940000000001,78.481,-1570.421
956.576,-101.404,-165.127,1604.9940000000001,78.481,-1570.421
956.575,-101.343,-165.127,1604.9940000000001,78.481,-1570.421
956.574,-101.283,-165.127,1604.9940000000001,78.481,-1570.421
956.572,-101.223,-165.127,1604.9940000000001,78.481,-1570.421
956.571,-101.162,-165.127,1604.9940000000001,78.481,-1570.421
956.57,-101.102,-165.127,1604.9940000000001,78.481,-1570.421
956.569,-101.042,-165.127,1604.9940000000001,78.481,-1570.421
956.567,-100.981,-165.128,1604.9940000000001,78.481,-1570.421
956.566,-100.921,-165.128,1604.9940000000001,78.481,-1570.421
956.565,-100.86,-165.128,1604.9940000000001,78.481,-1570.421
956.563,-100.8,-165.128,1604.9940000000001,78.481,-1570.421
956.562,-100.74,-165.128,1604.9940000000001,78.481,-1570.421
956.561,-100.679,-165.128,1604.9940000000001,78.481,-1570.421
956.56,-100.619,-165.128,1604.9940000000001,78.481,-1570.421
956.558,-100.558,-165.128,1604.9940000000001,78.481,-1570.421
956.557,-100.498,-165.128,1604.9940000000001,78.481,-1570.421
956.556,-100.438,-165.128,1604.9940000000001,78.481,-1570.421
956.555,-100.377,-165.128,1604.9940000000001,78.481,-1570.421
956.553,-100.317,-165.128,1604.9940000000001,78.481,-1570.421
956.552,-100.257,-165.128,1604.9940000000001,78.481,-1570.421
956.551,-100.196,-165.128,1604.9940000000001,78.481,-1570.421
956.549,-100.136,-165.128,1604.9940000000001,78.481,-1570.421
956.548,-100.075,-165.128,1604.9940000000001,78.481,-1570.421
956.547,-100.015,-165.128,1604.9940000000001,78.481,-1570.421
956.546,-99.955,-165.128,1604.9940000000001,78.481,-1570.421
956.544,-99.894,-165.128,1604.9940000000001,78.481,-1570.421
956.543,-99.834,-165.128,1604.9940000000001,78.481,-1570.421
956.542,-99.773,-165.129,1604.9940000000001,78.481,-1570.421
956.541,-99.713,-165.129,1604.9940000000001,78.481,-1570.421
956.539,-99.653,-165.129,1604.9940000000001,78.481,-1570.421
956.538,-99.592,-165.129,1604.9940000000001,78.481,-1570.421
956.537,-99.532,-165.129,1604.9940000000001,78.481,-1570.421
956.535,-99.472,-165.129,1604.9940000000001,78.481,-1570.421
956.534,-99.411,-165.129,1604.9940000000001,78.481,-1570.421
956.533,-99.351,-165.129,1604.9940000000001,78.481,-1570.421
956.532,-99.29,-165.129,1604.9940000000001,78.481,-1570.421
956.53,-99.23,-165.129,1604.9940000000001,78.481,-1570.421
956.529,-99.17,-165.129,1604.9940000000001,78.481,-1570.421
956.528,-99.109,-165.129,1604.9940000000001,78.481,-1570.421
956.527,-99.049,-165.129,1604.9940000000001,78.481,-1570.421
956.525,-98.988,-165.129,1604.9940000000001,78.481,-1570.421
956.524,-98.928,-165.129,1604.9940000000001,78.481,-1570.421
956.523,-98.868,-165.129,1604.9940000000001,78.481,-1570.421
956.522,-98.807,-165.129,1604.9940000000001,78.481,-1570.421
956.52,-98.747,-165.129,1604.9940000000001,78.481,-1570.421
956.519,-98.687,-165.129,1604.9940000000001,78.481,-1570.421
956.518,-98.626,-165.129,1604.9940000000001,78.481,-1570.421
956.516,-98.566,-165.13,1604.9940000000001,78.481,-1570.421
956.515,-98.505,-165.13,1604.9940000000001,78.481,-1570.421
956.514,-98.445,-165.13,1604.9940000000001,78.481,-1570.421
956.513,-98.385,-165.13,1604.9940000000001,78.481,-1570.421
956.511,-98.324,-165.13,1604.9940000000001,78.481,-1570.421
956.51,-98.264,-165.13,1604.9940000000001,78.481,-1570.421
956.509,-98.203,-165.13,1604.9940000000001,78.481,-1570.421
956.508,-98.143,-165.13,1604.9940000000001,78.481,-1570.421
956.506,-98.083,-165.13,1604.9940000000001,78.481,-1570.421
956.505,-98.022,-165.13,1604.9940000000001,78.481,-1570.421
956.504,-97.962,-165.13,1604.9940000000001,78.481,-1570.421
956.502,-97.902,-165.13,1604.9940000000001,78.481,-1570.421
956.501,-97.841,-165.13,1604.9940000000001,78.481,-1570.421
956.5,-97.781,-165.13,1604.9940000000001,78.481,-1570.421
956.499,-97.72,-165.13,1604.9940000000001,78.481,-1570.421
956.497,-97.66,-165.13,1604.9940000000001,78.481,-1570.421
956.496,-97.6,-165.13,1604.9940000000001,78.481,-1570.421
956.495,-97.539,-165.13,1604.9940000000001,78.481,-1570.421
956.494,-97.479,-165.13,1604.9940000000001,78.481,-1570.421
956.492,-97.418,-165.13,1604.9940000000001,78.481,-1570.421
956.491,-97.358,-165.131,1604.9940000000001,78.481,-1570.421
956.49,-97.298,-165.131,1604.9940000000001,78.481,-1570.421
956.488,-97.237,-165.131,1604.9940000000001,78.481,-1570.421
956.487,-97.177,-165.131,1604.9940000000001,78.481,-1570.421
956.486,-97.117,-165.131,1604.9940000000001,78.481,-1570.421
956.485,-97.056,-165.131,1604.9940000000001,78.481,-1570.421
956.483,-96.996,-165.131,1604.9940000000001,78.481,-1570.421
956.482,-96.935,-165.131,1604.9940000000001,78.481,-1570.421
956.481,-96.875,-165.131,1604.9940000000001,78.481,-1570.421
956.48,-96.815,-165.131,1604.9940000000001,78.481,-1570.421
956.478,-96.754,-165.131,1604.9940000000001,78.481,-1570.421
956.477,-96.694,-165.131,1604.9940000000001,78.481,-1570.421
956.476,-96.633,-165.131,1604.9940000000001,78.481,-1570.421
956.474,-96.573,-165.131,1604.9940000000001,78.481,-1570.421
956.473,-96.513,-165.131,1604.9940000000001,78.481,-1570.421
956.472,-96.452,-165.131,1604.9940000000001,78.481,-1570.421
956.471,-96.392,-165.131,1604.9940000000001,78.481,-1570.421
956.469,-96.332,-165.131,1604.9940000000001,78.481,-1570.421
956.468,-96.271,-165.131,1604.9940000000001,78.481,-1570.421
956.467,-96.211,-165.131,1604.9940000000001,78.481,-1570.421
956.466,-96.15,-165.132,1604.9940000000001,78.481,-1570.421
956.464,-96.09,-165.132,1604.9940000000001,78.481,-1570.421
956.463,-96.03,-165.132,1604.9940000000001,78.481,-1570.421
956.462,-95.969,-165.132,1604.9940000000001,78.481,-1570.421
956.46,-95.909,-165.132,1604.9940000000001,78.481,-1570.421
956.459,-95.848,-165.132,1604.9940000000001,78.481,-1570.421
956.458,-95.788,-165.132,1604.9940000000001,78.481,-1570.421
956.457,-95.728,-165.132,1604.9940000000001,78.481,-1570.421
956.455,-95.667,-165.132,1604.9940000000001,78.481,-1570.421
956.454,-95.607,-165.132,1604.9940000000001,78.481,-1570.421
956.453,-95.547,-165.132,1604.9940000000001,78.481,-1570.421
956.452,-95.486,-165.132,1604.9940000000001,78.481,-1570.421
956.45,-95.426,-165.132,1604.9940000000001,78.481,-1570.421
956.449,-95.365,-165.132,1604.9940000000001,78.481,-1570.421
956.448,-95.305,-165.132,1604.9940000000001,78.481,-1570.421
956.446,-95.245,-165.132,1604.9940000000001,78.481,-1570.421
956.445,-95.184,-165.132,1604.9940000000001,78.481,-1570.421
956.444,-95.124,-165.132,1604.9940000000001,78.481,-1570.421
956.443,-95.064,-165.132,1604.9940000000001,78.481,-1570.421
956.441,-95.003,-165.132,1604.9940000000001,78.481,-1570.421
956.44,-94.943,-165.133,1604.9940000000001,78.481,-1570.421
956.439,-94.882,-165.133,1604.9940000000001,78.481,-1570.421
956.438,-94.822,-165.133,1604.9940000000001,78.481,-1570.421
956.436,-94.762,-165.133,1604.9940000000001,78.481,-1570.421
956.435,-94.701,-165.133,1604.9940000000001,78.481,-1570.421
956.434,-94.641,-165.133,1604.9940000000001,78.481,-1570.421
956.432,-94.58,-165.133,1604.9940000000001,78.481,-1570.421
956.431,-94.52,-165.133,1604.9940000000001,78.481,-1570.421
956.43,-94.46,-165.133,1604.9940000000001,78.481,-1570.421
956.429,-94.399,-165.133,1604.9940000000001,78.481,-1570.421
956.427,-94.339,-165.133,1604.9940000000001,78.481,-1570.421
956.426,-94.279,-165.133,1604.9940000000001,78.481,-1570.421
956.425,-94.218,-165.133,1604.9940000000001,78.481,-1570.421
956.424,-94.158,-165.133,1604.9940000000001,78.481,-1570.421
956.422,-94.097,-165.133,1604.9940000000001,78.481,-1570.421
956.421,-94.037,-165.133,1604.9940000000001,78.481,-1570.421
956.42,-93.977,-165.133,1604.9940000000001,78.481,-1570.421
956.419,-93.916,-165.133,1604.9940000000001,78.481,-1570.421
956.417,-93.856,-165.133,1604.9940000000001,78.481,-1570.421
956.416,-93.795,-165.133,1604.9940000000001,78.481,-1570.421
956.415,-93.735,-165.134,1604.9940000000001,78.481,-1570.421
956.413,-93.675,-165.134,1604.9940000000001,78.481,-1570.421
956.412,-93.614,-165.134,1604.9940000000001,78.481,-1570.421
956.411,-93.554,-165.134,1604.9940000000001,78.481,-1570.421
956.41,-93.494,-165.134,1604.9940000000001,78.481,-1570.421
956.408,-93.433,-165.134,1604.9940000000001,78.481,-1570.421
956.407,-93.373,-165.134,1604.9940000000001,78.481,-1570.421
956.406,-93.312,-165.134,1604.9940000000001,78.481,-1570.421
956.405,-93.252,-165.134,1604.9940000000001,78.481,-1570.421
956.403,-93.192,-165.134,1604.9940000000001,78.481,-1570.421
956.402,-93.131,-165.134,1604.9940000000001,78.481,-1570.421
956.401,-93.071,-165.134,1604.9940000000001,78.481,-1570.421
