X,Y,Z,Rx,Ry,Rz
956.57,-101.34,-165.13,160.4987,7.8475,-157.042
956.575,-101.31,-165.128,160.4995,7.8482,-157.0431
956.576,-101.256,-165.122,160.4998,7.848,-157.0429
956.574,-101.213,-165.124,160.4993,7.8487,-157.0416
956.572,-101.17,-165.129,160.4992,7.8479,-157.0421
956.577,-101.14,-165.127,160.5,7.8485,-157.0432
956.568,-101.096,-165.126,160.499,7.8484,-157.0419
956.566,-101.053,-165.131,160.4988,7.8476,-157.0424
956.562,-100.828,-165.127,160.4998,7.848,-157.0422
956.559,-100.785,-165.132,160.4988,7.8478,-157.0409
956.565,-100.744,-165.129,160.4996,7.8485,-157.0413
956.564,-100.713,-165.124,160.4998,7.8483,-157.0425
956.553,-100.669,-165.134,160.4993,7.8469,-157.043
956.559,-100.627,-165.131,160.4992,7.8482,-157.0417
956.559,-100.584,-165.125,160.4995,7.848,-157.0421
956.564,-100.554,-165.123,160.4994,7.8493,-157.0414
956.555,-100.499,-165.133,160.4989,7.8479,-157.0413
956.551,-100.266,-165.131,160.4986,7.8479,-157.0419
956.555,-100.244,-165.129,160.5001,7.8482,-157.0422
956.546,-100.2,-165.128,160.4991,7.848,-157.041
956.553,-100.158,-165.125,160.4999,7.8487,-157.0414
956.55,-100.115,-165.13,160.4998,7.8478,-157.0419
956.548,-100.084,-165.124,160.5,7.8477,-157.043
956.547,-100.041,-165.127,160.4996,7.8484,-157.0417
956.543,-100.01,-165.132,160.4994,7.8475,-157.0429
956.543,-99.956,-165.126,160.4988,7.848,-157.0409
956.539,-99.724,-165.133,160.4996,7.8476,-157.0433
956.538,-99.681,-165.127,160.4989,7.848,-157.0419
956.541,-99.651,-165.135,160.4993,7.848,-157.0431
956.532,-99.607,-165.134,160.4983,7.8479,-157.0418
956.539,-99.565,-165.132,160.4991,7.8486,-157.0422
956.537,-99.53,-165.126,160.5001,7.848,-157.0419
956.533,-99.498,-165.131,160.499,7.8478,-157.0413
956.539,-99.457,-165.129,160.4999,7.8485,-157.0417
956.531,-99.413,-165.128,160.4998,7.8477,-157.0422
956.525,-99.192,-165.126,160.4985,7.8483,-157.0418
956.527,-99.169,-165.135,160.4996,7.8479,-157.0422
956.528,-99.115,-165.129,160.4999,7.8477,-157.0419
956.534,-99.073,-165.126,160.4998,7.849,-157.0405
956.53,-99.042,-165.131,160.4997,7.8482,-157.0417
956.524,-98.98,-165.13,160.4989,7.8478,-157.0423
956.528,-98.956,-165.128,160.4995,7.8487,-157.0409
956.527,-98.914,-165.122,160.4997,7.8485,-157.0413
956.523,-98.871,-165.135,160.4998,7.8479,-157.0418
956.521,-98.639,-165.123,160.4999,7.8486,-157.0424
956.511,-98.595,-165.133,160.4994,7.8471,-157.0429
956.517,-98.553,-165.13,160.4993,7.8484,-157.0416
956.516,-98.511,-165.124,160.4995,7.8483,-157.042
956.519,-98.481,-165.133,160.4999,7.8483,-157.0432
956.519,-98.438,-165.127,160.4993,7.8487,-157.0419
956.51,-98.394,-165.126,160.4992,7.8479,-157.0424
956.514,-98.352,-165.134,160.4996,7.848,-157.0428
956.512,-98.321,-165.128,160.499,7.8484,-157.0422
956.499,-98.095,-165.132,160.499,7.8474,-157.0421
956.505,-98.054,-165.129,160.4998,7.8481,-157.0425
956.502,-98.01,-165.134,160.4987,7.8478,-157.0412
956.508,-97.969,-165.132,160.4996,7.8485,-157.0416
956.507,-97.938,-165.126,160.4998,7.8483,-157.0428
956.498,-97.894,-165.125,160.4988,7.8482,-157.0415
956.503,-97.841,-165.133,160.4992,7.8482,-157.0413
956.502,-97.81,-165.127,160.4995,7.848,-157.0424
956.5,-97.767,-165.13,160.4999,7.8481,-157.0429
956.494,-97.542,-165.128,160.4994,7.8483,-157.0409
956.491,-97.499,-165.133,160.4993,7.8474,-157.0414
956.496,-97.469,-165.131,160.5001,7.8481,-157.0425
956.488,-97.425,-165.13,160.4991,7.848,-157.0413
956.494,-97.384,-165.128,160.4999,7.8487,-157.0417
956.491,-97.341,-165.133,160.4997,7.8478,-157.0422
956.491,-97.298,-165.127,160.5,7.8476,-157.0426
956.489,-97.255,-165.129,160.4995,7.8483,-157.0413
956.485,-97.224,-165.134,160.4994,7.8475,-157.0425
956.48,-96.992,-165.132,160.4991,7.8474,-157.0431
956.484,-96.969,-165.13,160.4997,7.8484,-157.0417
956.483,-96.927,-165.124,160.4999,7.8482,-157.0421
