I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,22108.0,155.2,0.0,0.0,0.0
6.0,6.0,0.0,22141.0,188.1,0.0,0.0,0.0
7.0,6.0,0.0,22169.0,216.3,0.0,0.0,0.0
8.0,7.0,0.0,22199.0,245.4,0.0,0.0,0.0
8.0,8.0,0.0,22228.0,274.9,0.0,0.0,0.0
9.0,8.0,0.0,22259.0,305.6,0.0,0.0,0.0
10.0,9.0,0.0,22289.0,335.8,0.0,0.0,0.0
10.0,10.0,0.0,22321.0,367.5,0.0,0.0,0.0
11.0,10.0,1.0,22352.0,399.3,399.3,142.0,1.0
14.0,11.0,0.0,0.0,551.6,0.0,0.0,0.0
15.0,14.0,0.0,28.0,579.9,0.0,0.0,0.0
15.0,15.0,0.0,59.0,611.5,0.0,0.0,0.0
16.0,15.0,0.0,89.0,641.6,0.0,0.0,0.0
17.0,16.0,0.0,120.0,671.7,0.0,0.0,0.0
17.0,17.0,0.0,149.0,701.2,0.0,0.0,0.0
18.0,17.0,0.0,179.0,731.1,0.0,0.0,0.0
19.0,18.0,0.0,209.0,761.2,0.0,0.0,0.0
19.0,19.0,0.0,239.0,791.3,0.0,0.0,0.0
2.0,19.0,1.0,269.0,821.0,821.0,140.0,2.0
5.0,2.0,0.0,0.0,971.8,0.0,0.0,0.0
6.0,5.0,0.0,30.0,1002.6,0.0,0.0,0.0
6.0,6.0,0.0,60.0,1032.7,0.0,0.0,0.0
7.0,6.0,0.0,91.0,1063.2,0.0,0.0,0.0
8.0,7.0,0.0,120.0,1092.5,0.0,0.0,0.0
8.0,8.0,0.0,150.0,1122.7,0.0,0.0,0.0
9.0,8.0,0.0,182.0,1154.7,0.0,0.0,0.0
10.0,9.0,0.0,211.0,1183.7,0.0,0.0,0.0
10.0,10.0,0.0,240.0,1212.5,0.0,0.0,0.0
11.0,10.0,1.0,271.0,1243.4,1243.4,133.0,1.0
14.0,11.0,0.0,0.0,1387.4,0.0,0.0,0.0
15.0,14.0,0.0,31.0,1418.9,0.0,0.0,0.0
15.0,15.0,0.0,62.0,1449.8,0.0,0.0,0.0
16.0,15.0,0.0,97.0,1485.0,0.0,0.0,0.0
17.0,16.0,0.0,123.0,1510.5,0.0,0.0,0.0
17.0,17.0,0.0,156.0,1542.5,0.0,0.0,0.0
18.0,17.0,0.0,186.0,1573.6,0.0,0.0,0.0
19.0,18.0,0.0,215.0,1603.2,0.0,0.0,0.0
19.0,19.0,0.0,250.0,1637.4,0.0,0.0,0.0
2.0,19.0,1.0,280.0,1667.4,1667.4,155.0,2.0
5.0,2.0,0.0,0.0,1831.6,0.0,0.0,0.0
6.0,5.0,0.0,28.0,1859.7,0.0,0.0,0.0
7.0,6.0,0.0,60.0,1891.8,0.0,0.0,0.0
7.0,7.0,0.0,90.0,1922.6,0.0,0.0,0.0
8.0,7.0,0.0,120.0,1952.5,0.0,0.0,0.0
9.0,8.0,0.0,151.0,1982.6,0.0,0.0,0.0
9.0,9.0,0.0,181.0,2013.2,0.0,0.0,0.0
10.0,9.0,0.0,211.0,2043.6,0.0,0.0,0.0
11.0,10.0,1.0,244.0,2076.1,2076.1,148.0,1.0
14.0,11.0,0.0,0.0,2235.3,0.0,0.0,0.0
15.0,14.0,0.0,30.0,2265.7,0.0,0.0,0.0
15.0,15.0,0.0,60.0,2295.7,0.0,0.0,0.0
16.0,15.0,0.0,91.0,2326.4,0.0,0.0,0.0
17.0,16.0,0.0,123.0,2359.1,0.0,0.0,0.0
17.0,17.0,0.0,153.0,2389.2,0.0,0.0,0.0
18.0,17.0,0.0,183.0,2419.2,0.0,0.0,0.0
19.0,18.0,0.0,213.0,2449.1,0.0,0.0,0.0
19.0,19.0,0.0,244.0,2479.7,0.0,0.0,0.0
2.0,19.0,1.0,273.0,2508.5,2508.5,134.0,2.0
5.0,2.0,0.0,0.0,2652.7,0.0,0.0,0.0
6.0,5.0,0.0,34.0,2686.8,0.0,0.0,0.0
6.0,6.0,0.0,60.0,2713.6,0.0,0.0,0.0
7.0,6.0,0.0,91.0,2743.8,0.0,0.0,0.0
8.0,7.0,0.0,125.0,2778.4,0.0,0.0,0.0
8.0,8.0,0.0,151.0,2804.5,0.0,0.0,0.0
9.0,8.0,0.0,184.0,2837.4,0.0,0.0,0.0
10.0,9.0,0.0,218.0,2870.9,0.0,0.0,0.0
11.0,10.0,1.0,258.0,2911.3,2911.3,140.0,1.0
14.0,11.0,0.0,0.0,3061.4,0.0,0.0,0.0
14.0,14.0,0.0,29.0,3091.3,0.0,0.0,0.0
15.0,14.0,0.0,60.0,3121.5,0.0,0.0,0.0
16.0,15.0,0.0,90.0,3151.6,0.0,0.0,0.0
16.0,16.0,0.0,120.0,3181.5,0.0,0.0,0.0
17.0,16.0,0.0,150.0,3211.9,0.0,0.0,0.0
18.0,17.0,0.0,182.0,3243.7,0.0,0.0,0.0
18.0,18.0,0.0,213.0,3274.5,0.0,0.0,0.0
19.0,18.0,0.0,242.0,3303.9,0.0,0.0,0.0
2.0,19.0,1.0,277.0,3338.5,3338.5,145.0,2.0
5.0,2.0,0.0,0.0,3489.6,0.0,0.0,0.0
6.0,5.0,0.0,33.0,3522.9,0.0,0.0,0.0
6.0,6.0,0.0,63.0,3552.6,0.0,0.0,0.0
7.0,6.0,0.0,93.0,3582.7,0.0,0.0,0.0
