X,Y,Z,Rx,Ry,Rz
956.736,-101.583,-165.144,160.5061,7.8549,-157.0437
956.735,-101.523,-165.144,160.5061,7.8549,-157.0437
956.733,-101.462,-165.144,160.5061,7.8549,-157.0437
956.732,-101.402,-165.144,160.5061,7.8549,-157.0437
956.731,-101.341,-165.144,160.5061,7.8549,-157.0437
956.73,-101.281,-165.144,160.5061,7.8549,-157.0437
956.728,-101.221,-165.144,160.5061,7.8549,-157.0437
956.727,-101.16,-165.144,160.5061,7.8549,-157.0437
956.726,-101.1,-165.144,160.5061,7.8549,-157.0437
956.724,-101.04,-165.144,160.5061,7.8549,-157.0437
956.723,-100.979,-165.145,160.5061,7.8549,-157.0437
956.722,-100.919,-165.145,160.5061,7.8549,-157.0437
956.72,-100.858,-165.145,160.5061,7.8549,-157.0437
956.719,-100.798,-165.145,160.5061,7.8549,-157.0437
956.718,-100.738,-165.145,160.5061,7.8549,-157.0437
956.717,-100.677,-165.145,160.5061,7.8549,-157.0437
956.715,-100.617,-165.145,160.5061,7.8549,-157.0437
956.714,-100.557,-165.145,160.5061,7.8549,-157.0437
956.713,-100.496,-165.145,160.5061,7.8549,-157.0437
956.711,-100.436,-165.145,160.5061,7.8549,-157.0437
956.71,-100.375,-165.145,160.5061,7.8549,-157.0437
956.709,-100.315,-165.145,160.5061,7.8549,-157.0437
956.708,-100.255,-165.145,160.5061,7.8549,-157.0437
956.706,-100.194,-165.145,160.5061,7.8549,-157.0437
956.705,-100.134,-165.145,160.5061,7.8549,-157.0437
956.704,-100.073,-165.145,160.5061,7.8549,-157.0437
956.702,-100.013,-165.145,160.5061,7.8549,-157.0437
956.701,-99.953,-165.145,160.5061,7.8549,-157.0437
956.7,-99.892,-165.145,160.5061,7.8549,-157.0437
956.698,-99.832,-165.145,160.5061,7.8549,-157.0437
956.697,-99.772,-165.146,160.5061,7.8549,-157.0437
956.696,-99.711,-165.146,160.5061,7.8549,-157.0437
956.695,-99.651,-165.146,160.5061,7.8549,-157.0437
956.693,-99.59,-165.146,160.5061,7.8549,-157.0437
956.692,-99.53,-165.146,160.5061,7.8549,-157.0437
956.691,-99.47,-165.146,160.5061,7.8549,-157.0437
956.689,-99.409,-165.146,160.5061,7.8549,-157.0437
956.688,-99.349,-165.146,160.5061,7.8549,-157.0437
956.687,-99.288,-165.146,160.5061,7.8549,-157.0437
956.686,-99.228,-165.146,160.5061,7.8549,-157.0437
956.684,-99.168,-165.146,160.5061,7.8549,-157.0437
956.683,-99.107,-165.146,160.5061,7.8549,-157.0437
956.682,-99.047,-165.146,160.5061,7.8549,-157.0437
956.68,-98.987,-165.146,160.5061,7.8549,-157.0437
956.679,-98.926,-165.146,160.5061,7.8549,-157.0437
956.678,-98.866,-165.146,160.5061,7.8549,-157.0437
956.677,-98.805,-165.146,160.5061,7.8549,-157.0437
956.675,-98.745,-165.146,160.5061,7.8549,-157.0437
956.674,-98.685,-165.146,160.5061,7.8549,-157.0437
956.673,-98.624,-165.147,160.5061,7.8549,-157.0437
956.671,-98.564,-165.147,160.5061,7.8549,-157.0437
956.67,-98.504,-165.147,160.5061,7.8549,-157.0437
956.669,-98.443,-165.147,160.5061,7.8549,-157.0437
956.667,-98.383,-165.147,160.5061,7.8549,-157.0437
956.666,-98.322,-165.147,160.5061,7.8549,-157.0437
956.665,-98.262,-165.147,160.5061,7.8549,-157.0437
956.664,-98.202,-165.147,160.5061,7.8549,-157.0437
956.662,-98.141,-165.147,160.5061,7.8549,-157.0437
956.661,-98.081,-165.147,160.5061,7.8549,-157.0437
956.66,-98.02,-165.147,160.5061,7.8549,-157.0437
956.658,-97.96,-165.147,160.5061,7.8549,-157.0437
956.657,-97.9,-165.147,160.5061,7.8549,-157.0437
956.656,-97.839,-165.147,160.5061,7.8549,-157.0437
956.655,-97.779,-165.147,160.5061,7.8549,-157.0437
956.653,-97.719,-165.147,160.5061,7.8549,-157.0437
956.652,-97.658,-165.147,160.5061,7.8549,-157.0437
956.651,-97.598,-165.147,160.5061,7.8549,-157.0437
956.649,-97.537,-165.147,160.5061,7.8549,-157.0437
956.648,-97.477,-165.147,160.5061,7.8549,-157.0437
956.647,-97.417,-165.148,160.5061,7.8549,-157.0437
956.645,-97.356,-165.148,160.5061,7.8549,-157.0437
956.644,-97.296,-165.148,160.5061,7.8549,-157.0437
956.643,-97.236,-165.148,160.5061,7.8549,-157.0437
956.642,-97.175,-165.148,160.5061,7.8549,-157.0437
