X,Y,Z,Rx,Ry,Rz
956.731,-101.358,-165.143,160.5065,7.8545,-157.0435
956.737,-101.317,-165.14,160.5073,7.8552,-157.0439
956.733,-101.285,-165.145,160.5062,7.855,-157.0433
956.725,-101.242,-165.144,160.5061,7.8542,-157.0438
956.731,-101.2,-165.142,160.507,7.8549,-157.0442
956.723,-101.156,-165.141,160.506,7.8547,-157.043
956.727,-101.114,-165.15,160.5064,7.8547,-157.0434
956.726,-101.083,-165.144,160.5066,7.8546,-157.0446
956.725,-101.04,-165.138,160.506,7.855,-157.0432
956.72,-100.808,-165.144,160.5059,7.8552,-157.0439
956.716,-100.772,-165.15,160.5064,7.854,-157.0436
956.724,-100.724,-165.147,160.5065,7.8551,-157.0448
956.716,-100.68,-165.146,160.5055,7.8549,-157.0435
956.711,-100.656,-165.151,160.5061,7.8537,-157.0439
956.717,-100.614,-165.149,160.506,7.855,-157.0426
956.708,-100.57,-165.148,160.5059,7.8542,-157.0431
956.714,-100.54,-165.146,160.5067,7.8549,-157.0442
956.711,-100.497,-165.15,160.5056,7.8547,-157.0429
956.71,-100.253,-165.137,160.5057,7.8553,-157.0427
956.705,-100.222,-165.151,160.5058,7.8547,-157.044
956.705,-100.18,-165.145,160.506,7.8546,-157.0444
956.711,-100.138,-165.143,160.5059,7.8559,-157.043
956.703,-100.094,-165.142,160.5058,7.8551,-157.0435
956.699,-100.063,-165.147,160.5057,7.8542,-157.0447
956.707,-100.01,-165.144,160.5065,7.8549,-157.0444
956.7,-99.997,-165.15,160.5062,7.8543,-157.0438
956.7,-99.955,-165.144,160.5064,7.8541,-157.0442
956.702,-99.723,-165.145,160.5058,7.8556,-157.043
956.694,-99.679,-165.144,160.5057,7.8548,-157.0435
956.7,-99.638,-165.142,160.5065,7.8555,-157.0439
956.696,-99.606,-165.147,160.5054,7.8553,-157.0434
956.688,-99.562,-165.146,160.5053,7.8545,-157.0439
956.694,-99.521,-165.143,160.5061,7.8552,-157.0443
956.694,-99.478,-165.138,160.5064,7.855,-157.0447
956.695,-99.455,-165.146,160.5066,7.8553,-157.0433
956.687,-99.412,-165.145,160.5065,7.8545,-157.0438
956.685,-99.149,-165.152,160.5057,7.8551,-157.0438
956.685,-99.106,-165.146,160.5059,7.8549,-157.0443
956.683,-99.071,-165.14,160.5069,7.8543,-157.044
956.681,-99.028,-165.143,160.5064,7.855,-157.0426
956.68,-98.978,-165.147,160.5056,7.8546,-157.0439
956.684,-98.955,-165.146,160.5071,7.8549,-157.0442
956.675,-98.911,-165.145,160.5061,7.8547,-157.043
956.673,-98.868,-165.149,160.5059,7.8539,-157.0435
956.671,-98.625,-165.145,160.5062,7.8548,-157.0433
956.667,-98.594,-165.15,160.5061,7.8539,-157.0445
