I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
2.0,2.0,0.0,6184.0,159.3,0.0,0.0,0.0
2.0,2.0,0.0,6218.0,193.0,0.0,0.0,0.0
2.0,2.0,0.0,6244.0,218.9,0.0,0.0,0.0
2.0,2.0,0.0,6274.0,249.5,0.0,0.0,0.0
2.0,2.0,0.0,6304.0,279.7,0.0,0.0,0.0
3.0,2.0,0.0,6334.0,309.0,0.0,0.0,0.0
3.0,3.0,0.0,6365.0,339.8,0.0,0.0,0.0
4.0,3.0,0.0,6399.0,373.9,0.0,0.0,0.0
5.0,4.0,0.0,6433.0,408.0,0.0,0.0,0.0
5.0,5.0,0.0,6459.0,434.2,0.0,0.0,0.0
6.0,5.0,0.0,6490.0,465.2,0.0,0.0,0.0
7.0,6.0,0.0,6524.0,498.9,0.0,0.0,0.0
7.0,7.0,0.0,6549.0,524.0,0.0,0.0,0.0
8.0,7.0,0.0,6584.0,558.8,0.0,0.0,0.0
9.0,8.0,0.0,6612.0,587.1,0.0,0.0,0.0
9.0,9.0,0.0,6642.0,617.1,0.0,0.0,0.0
10.0,9.0,0.0,6676.0,651.4,0.0,0.0,0.0
11.0,10.0,1.0,6705.0,679.9,679.9,140.0,1.0
14.0,11.0,0.0,0.0,829.0,0.0,0.0,0.0
15.0,14.0,0.0,30.0,859.9,0.0,0.0,0.0
15.0,15.0,0.0,63.0,892.1,0.0,0.0,0.0
16.0,15.0,0.0,95.0,924.1,0.0,0.0,0.0
17.0,16.0,0.0,123.0,952.1,0.0,0.0,0.0
17.0,17.0,0.0,154.0,983.4,0.0,0.0,0.0
18.0,17.0,0.0,183.0,1012.6,0.0,0.0,0.0
18.0,18.0,0.0,214.0,1043.5,0.0,0.0,0.0
19.0,18.0,0.0,244.0,1073.5,0.0,0.0,0.0
2.0,19.0,1.0,275.0,1104.3,1104.3,146.0,2.0
5.0,2.0,0.0,0.0,1259.0,0.0,0.0,0.0
6.0,5.0,0.0,31.0,1290.9,0.0,0.0,0.0
6.0,6.0,0.0,59.0,1318.0,0.0,0.0,0.0
7.0,6.0,0.0,92.0,1351.0,0.0,0.0,0.0
8.0,7.0,0.0,124.0,1383.2,0.0,0.0,0.0
8.0,8.0,0.0,154.0,1413.7,0.0,0.0,0.0
9.0,8.0,0.0,184.0,1443.9,0.0,0.0,0.0
10.0,9.0,0.0,214.0,1473.8,0.0,0.0,0.0
10.0,10.0,0.0,244.0,1503.7,0.0,0.0,0.0
11.0,10.0,1.0,276.0,1535.0,1535.0,137.0,1.0
14.0,11.0,0.0,0.0,1681.8,0.0,0.0,0.0
