X,Y,Z,Rx,Ry,Rz
956.08,-101.558,-165.123,1605.135,78.62899999999999,-1570.418
956.08,-101.517,-165.123,1605.135,78.62899999999999,-1570.418
956.079,-101.477,-165.123,1605.135,78.62899999999999,-1570.418
956.078,-101.436,-165.123,1605.135,78.62899999999999,-1570.418
956.078,-101.396,-165.123,1605.135,78.62899999999999,-1570.418
956.077,-101.356,-165.123,1605.135,78.62899999999999,-1570.418
956.076,-101.315,-165.123,1605.135,78.62899999999999,-1570.418
956.076,-101.275,-165.123,1605.135,78.62899999999999,-1570.418
956.075,-101.234,-165.123,1605.135,78.62899999999999,-1570.418
956.074,-101.194,-165.123,1605.135,78.62899999999999,-1570.418
956.074,-101.154,-165.123,1605.135,78.62899999999999,-1570.418
956.073,-101.113,-165.123,1605.135,78.62899999999999,-1570.418
956.072,-101.073,-165.124,1605.135,78.62899999999999,-1570.418
956.072,-101.033,-165.124,1605.135,78.62899999999999,-1570.418
956.071,-100.992,-165.124,1605.135,78.62899999999999,-1570.418
956.07,-100.952,-165.124,1605.135,78.62899999999999,-1570.418
956.07,-100.911,-165.124,1605.135,78.62899999999999,-1570.418
956.069,-100.871,-165.124,1605.135,78.62899999999999,-1570.418
956.068,-100.831,-165.124,1605.135,78.62899999999999,-1570.418
956.068,-100.79,-165.124,1605.135,78.62899999999999,-1570.418
956.067,-100.75,-165.124,1605.135,78.62899999999999,-1570.418
956.066,-100.709,-165.124,1605.135,78.62899999999999,-1570.418
956.066,-100.669,-165.124,1605.135,78.62899999999999,-1570.418
956.065,-100.629,-165.124,1605.135,78.62899999999999,-1570.418
956.064,-100.588,-165.124,1605.135,78.62899999999999,-1570.418
956.064,-100.548,-165.124,1605.135,78.62899999999999,-1570.418
956.063,-100.507,-165.124,1605.135,78.62899999999999,-1570.418
956.062,-100.467,-165.124,1605.135,78.62899999999999,-1570.418
956.062,-100.427,-165.124,1605.135,78.62899999999999,-1570.418
956.061,-100.386,-165.124,1605.135,78.62899999999999,-1570.418
956.06,-100.346,-165.124,1605.135,78.62899999999999,-1570.418
956.06,-100.305,-165.124,1605.135,78.62899999999999,-1570.418
956.059,-100.265,-165.124,1605.135,78.62899999999999,-1570.418
956.058,-100.225,-165.124,1605.135,78.62899999999999,-1570.418
956.058,-100.184,-165.124,1605.135,78.62899999999999,-1570.418
956.057,-100.144,-165.124,1605.135,78.62899999999999,-1570.418
956.056,-100.104,-165.124,1605.135,78.62899999999999,-1570.418
956.055,-100.063,-165.125,1605.135,78.62899999999999,-1570.418
956.055,-100.023,-165.125,1605.135,78.62899999999999,-1570.418
956.054,-99.982,-165.125,1605.135,78.62899999999999,-1570.418
956.053,-99.942,-165.125,1605.135,78.62899999999999,-1570.418
956.053,-99.902,-165.125,1605.135,78.62899999999999,-1570.418
956.052,-99.861,-165.125,1605.135,78.62899999999999,-1570.418
956.051,-99.821,-165.125,1605.135,78.62899999999999,-1570.418
956.051,-99.78,-165.125,1605.135,78.62899999999999,-1570.418
956.05,-99.74,-165.125,1605.135,78.62899999999999,-1570.418
956.049,-99.7,-165.125,1605.135,78.62899999999999,-1570.418
956.049,-99.659,-165.125,1605.135,78.62899999999999,-1570.418
956.048,-99.619,-165.125,1605.135,78.62899999999999,-1570.418
956.047,-99.578,-165.125,1605.135,78.62899999999999,-1570.418
956.047,-99.538,-165.125,1605.135,78.62899999999999,-1570.418
956.046,-99.498,-165.125,1605.135,78.62899999999999,-1570.418
956.045,-99.457,-165.125,1605.135,78.62899999999999,-1570.418
956.045,-99.417,-165.125,1605.135,78.62899999999999,-1570.418
956.044,-99.376,-165.125,1605.135,78.62899999999999,-1570.418
956.043,-99.336,-165.125,1605.135,78.62899999999999,-1570.418
956.043,-99.296,-165.125,1605.135,78.62899999999999,-1570.418
956.042,-99.255,-165.125,1605.135,78.62899999999999,-1570.418
956.041,-99.215,-165.125,1605.135,78.62899999999999,-1570.418
956.041,-99.175,-165.125,1605.135,78.62899999999999,-1570.418
956.04,-99.134,-165.125,1605.135,78.62899999999999,-1570.418
956.039,-99.094,-165.126,1605.135,78.62899999999999,-1570.418
956.039,-99.053,-165.126,1605.135,78.62899999999999,-1570.418
956.038,-99.013,-165.126,1605.135,78.62899999999999,-1570.418
956.037,-98.973,-165.126,1605.135,78.62899999999999,-1570.418
956.037,-98.932,-165.126,1605.135,78.62899999999999,-1570.418
956.036,-98.892,-165.126,1605.135,78.62899999999999,-1570.418
956.035,-98.851,-165.126,1605.135,78.62899999999999,-1570.418
956.035,-98.811,-165.126,1605.135,78.62899999999999,-1570.418
956.034,-98.771,-165.126,1605.135,78.62899999999999,-1570.418
956.033,-98.73,-165.126,1605.135,78.62899999999999,-1570.418
956.033,-98.69,-165.126,1605.135,78.62899999999999,-1570.418
956.032,-98.649,-165.126,1605.135,78.62899999999999,-1570.418
956.031,-98.609,-165.126,1605.135,78.62899999999999,-1570.418
956.031,-98.569,-165.126,1605.135,78.62899999999999,-1570.418
956.03,-98.528,-165.126,1605.135,78.62899999999999,-1570.418
956.029,-98.488,-165.126,1605.135,78.62899999999999,-1570.418
956.029,-98.447,-165.126,1605.135,78.62899999999999,-1570.418
956.028,-98.407,-165.126,1605.135,78.62899999999999,-1570.418
956.027,-98.367,-165.126,1605.135,78.62899999999999,-1570.418
956.027,-98.326,-165.126,1605.135,78.62899999999999,-1570.418
956.026,-98.286,-165.126,1605.135,78.62899999999999,-1570.418
956.025,-98.246,-165.126,1605.135,78.62899999999999,-1570.418
956.025,-98.205,-165.126,1605.135,78.62899999999999,-1570.418
956.024,-98.165,-165.126,1605.135,78.62899999999999,-1570.418
956.023,-98.124,-165.126,1605.135,78.62899999999999,-1570.418
956.023,-98.084,-165.127,1605.135,78.62899999999999,-1570.418
956.022,-98.044,-165.127,1605.135,78.62899999999999,-1570.418
956.021,-98.003,-165.127,1605.135,78.62899999999999,-1570.418
956.021,-97.963,-165.127,1605.135,78.62899999999999,-1570.418
956.02,-97.922,-165.127,1605.135,78.62899999999999,-1570.418
956.019,-97.882,-165.127,1605.135,78.62899999999999,-1570.418
956.019,-97.842,-165.127,1605.135,78.62899999999999,-1570.418
956.018,-97.801,-165.127,1605.135,78.62899999999999,-1570.418
956.017,-97.761,-165.127,1605.135,78.62899999999999,-1570.418
956.017,-97.72,-165.127,1605.135,78.62899999999999,-1570.418
956.016,-97.68,-165.127,1605.135,78.62899999999999,-1570.418
956.015,-97.64,-165.127,1605.135,78.62899999999999,-1570.418
956.015,-97.599,-165.127,1605.135,78.62899999999999,-1570.418
956.014,-97.559,-165.127,1605.135,78.62899999999999,-1570.418
956.013,-97.518,-165.127,1605.135,78.62899999999999,-1570.418
956.013,-97.478,-165.127,1605.135,78.62899999999999,-1570.418
956.012,-97.438,-165.127,1605.135,78.62899999999999,-1570.418
956.011,-97.397,-165.127,1605.135,78.62899999999999,-1570.418
956.011,-97.357,-165.127,1605.135,78.62899999999999,-1570.418
956.01,-97.317,-165.127,1605.135,78.62899999999999,-1570.418
956.009,-97.276,-165.127,1605.135,78.62899999999999,-1570.418
956.009,-97.236,-165.127,1605.135,78.62899999999999,-1570.418
956.008,-97.195,-165.127,1605.135,78.62899999999999,-1570.418
956.007,-97.155,-165.127,1605.135,78.62899999999999,-1570.418
956.006,-97.115,-165.127,1605.135,78.62899999999999,-1570.418
956.006,-97.074,-165.128,1605.135,78.62899999999999,-1570.418
956.005,-97.034,-165.128,1605.135,78.62899999999999,-1570.418
956.004,-96.993,-165.128,1605.135,78.62899999999999,-1570.418
956.004,-96.953,-165.128,1605.135,78.62899999999999,-1570.418
956.003,-96.913,-165.128,1605.135,78.62899999999999,-1570.418
956.002,-96.872,-165.128,1605.135,78.62899999999999,-1570.418
956.002,-96.832,-165.128,1605.135,78.62899999999999,-1570.418
956.001,-96.791,-165.128,1605.135,78.62899999999999,-1570.418
956.0,-96.751,-165.128,1605.135,78.62899999999999,-1570.418
956.0,-96.711,-165.128,1605.135,78.62899999999999,-1570.418
955.999,-96.67,-165.128,1605.135,78.62899999999999,-1570.418
955.998,-96.63,-165.128,1605.135,78.62899999999999,-1570.418
955.998,-96.589,-165.128,1605.135,78.62899999999999,-1570.418
955.997,-96.549,-165.128,1605.135,78.62899999999999,-1570.418
955.996,-96.509,-165.128,1605.135,78.62899999999999,-1570.418
955.996,-96.468,-165.128,1605.135,78.62899999999999,-1570.418
955.995,-96.428,-165.128,1605.135,78.62899999999999,-1570.418
955.994,-96.388,-165.128,1605.135,78.62899999999999,-1570.418
955.994,-96.347,-165.128,1605.135,78.62899999999999,-1570.418
955.993,-96.307,-165.128,1605.135,78.62899999999999,-1570.418
955.992,-96.266,-165.128,1605.135,78.62899999999999,-1570.418
955.992,-96.226,-165.128,1605.135,78.62899999999999,-1570.418
955.991,-96.186,-165.128,1605.135,78.62899999999999,-1570.418
955.99,-96.145,-165.128,1605.135,78.62899999999999,-1570.418
955.99,-96.105,-165.128,1605.135,78.62899999999999,-1570.418
955.989,-96.064,-165.129,1605.135,78.62899999999999,-1570.418
955.988,-96.024,-165.129,1605.135,78.62899999999999,-1570.418
955.988,-95.984,-165.129,1605.135,78.62899999999999,-1570.418
955.987,-95.943,-165.129,1605.135,78.62899999999999,-1570.418
955.986,-95.903,-165.129,1605.135,78.62899999999999,-1570.418
955.986,-95.862,-165.129,1605.135,78.62899999999999,-1570.418
955.985,-95.822,-165.129,1605.135,78.62899999999999,-1570.418
955.984,-95.782,-165.129,1605.135,78.62899999999999,-1570.418
955.984,-95.741,-165.129,1605.135,78.62899999999999,-1570.418
955.983,-95.701,-165.129,1605.135,78.62899999999999,-1570.418
955.982,-95.66,-165.129,1605.135,78.62899999999999,-1570.418
955.982,-95.62,-165.129,1605.135,78.62899999999999,-1570.418
955.981,-95.58,-165.129,1605.135,78.62899999999999,-1570.418
955.98,-95.539,-165.129,1605.135,78.62899999999999,-1570.418
955.98,-95.499,-165.129,1605.135,78.62899999999999,-1570.418
955.979,-95.459,-165.129,1605.135,78.62899999999999,-1570.418
955.978,-95.418,-165.129,1605.135,78.62899999999999,-1570.418
955.978,-95.378,-165.129,1605.135,78.62899999999999,-1570.418
955.977,-95.337,-165.129,1605.135,78.62899999999999,-1570.418
955.976,-95.297,-165.129,1605.135,78.62899999999999,-1570.418
955.976,-95.257,-165.129,1605.135,78.62899999999999,-1570.418
955.975,-95.216,-165.129,1605.135,78.62899999999999,-1570.418
955.974,-95.176,-165.129,1605.135,78.62899999999999,-1570.418
