X,Y,Z,Rx,Ry,Rz
956.081,-101.598,-165.123,160.5135,7.8629,-157.0418
956.081,-101.598,-165.123,160.5135,7.8629,-157.0418
956.081,-101.598,-165.123,160.5135,7.8629,-157.0418
956.081,-101.598,-165.123,160.5135,7.8629,-157.0418
956.081,-101.598,-165.123,160.5135,7.8629,-157.0418
956.077,-101.566,-165.127,160.5124,7.8627,-157.0413
956.081,-101.544,-165.126,160.5139,7.8629,-157.0416
956.081,-101.501,-165.12,160.5142,7.8628,-157.0421
956.075,-101.481,-165.124,160.5131,7.8625,-157.0422
956.078,-101.458,-165.124,160.5131,7.8625,-157.0408
956.083,-101.428,-165.122,160.5139,7.8632,-157.0419
956.079,-101.396,-165.127,160.5129,7.863,-157.0413
956.076,-101.373,-165.121,160.5138,7.8624,-157.0417
956.071,-101.353,-165.126,160.5128,7.8622,-157.0418
956.076,-101.323,-165.124,160.5136,7.8629,-157.0429
956.078,-101.3,-165.124,160.5136,7.8629,-157.0415
956.077,-101.269,-165.118,160.5139,7.8627,-157.0427
956.072,-101.245,-165.123,160.5135,7.8621,-157.0413
956.072,-101.086,-165.122,160.514,7.8625,-157.0421
956.068,-101.055,-165.127,160.5129,7.8623,-157.0415
956.073,-101.025,-165.124,160.5138,7.863,-157.0426
956.068,-101.001,-165.13,160.5134,7.8624,-157.0412
956.074,-100.971,-165.119,160.514,7.8628,-157.0423
956.069,-100.951,-165.123,160.513,7.8626,-157.0425
956.072,-100.928,-165.121,160.5136,7.8635,-157.041
956.069,-100.897,-165.126,160.5134,7.8627,-157.0422
956.065,-100.873,-165.12,160.5135,7.8627,-157.0408
956.064,-100.714,-165.13,160.5135,7.8624,-157.0416
956.07,-100.684,-165.119,160.5133,7.8635,-157.0409
956.066,-100.653,-165.124,160.5131,7.8626,-157.0421
956.069,-100.63,-165.122,160.5137,7.8636,-157.0407
956.066,-100.599,-165.127,160.5136,7.8627,-157.0419
956.064,-100.567,-165.121,160.5129,7.8632,-157.0413
956.059,-100.543,-165.126,160.5135,7.8619,-157.0417
956.062,-100.525,-165.124,160.5134,7.8632,-157.0417
956.066,-100.495,-165.123,160.5136,7.863,-157.0429
956.059,-100.342,-165.119,160.5133,7.8627,-157.0411
956.061,-100.312,-165.128,160.5137,7.8628,-157.0423
956.058,-100.288,-165.122,160.5137,7.8628,-157.0409
956.055,-100.257,-165.127,160.5136,7.862,-157.0421
956.059,-100.227,-165.125,160.5135,7.8633,-157.0414
956.063,-100.197,-165.124,160.5137,7.8631,-157.0425
956.06,-100.173,-165.119,160.5138,7.8631,-157.0411
956.056,-100.141,-165.124,160.5136,7.8623,-157.0423
956.055,-99.994,-165.123,160.5132,7.8633,-157.042
956.05,-99.971,-165.128,160.5137,7.862,-157.0424
956.048,-99.939,-165.122,160.5131,7.8625,-157.0418
956.057,-99.917,-165.125,160.5137,7.8633,-157.0404
956.052,-99.898,-165.13,160.5135,7.8625,-157.0423
956.051,-99.866,-165.124,160.5129,7.863,-157.0416
956.048,-99.843,-165.119,160.5138,7.8624,-157.042
956.05,-99.812,-165.127,160.5133,7.863,-157.0414
956.054,-99.782,-165.127,160.5135,7.8628,-157.0426
956.048,-99.611,-165.131,160.5137,7.8625,-157.0426
956.045,-99.587,-165.125,160.5137,7.8626,-157.0412
956.047,-99.568,-165.125,160.513,7.863,-157.0413
956.046,-99.537,-165.119,160.5133,7.8628,-157.0425
956.047,-99.514,-165.128,160.5135,7.8631,-157.0411
956.043,-99.483,-165.133,160.5133,7.8622,-157.0423
956.041,-99.452,-165.127,160.5127,7.8627,-157.0416
956.043,-99.44,-165.127,160.5136,7.862,-157.0427
956.049,-99.398,-165.124,160.5135,7.8634,-157.0414
956.042,-99.239,-165.12,160.5134,7.8629,-157.0421
956.044,-99.216,-165.129,160.5136,7.8631,-157.0408
956.042,-99.185,-165.123,160.5139,7.8629,-157.0419
956.037,-99.165,-165.128,160.5128,7.8627,-157.042
956.035,-99.13,-165.122,160.5138,7.8621,-157.0417
956.044,-99.112,-165.125,160.5136,7.8634,-157.0417
956.039,-99.088,-165.13,160.5142,7.8622,-157.0422
