I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
2.0,2.0,0.0,15262.0,169.8,0.0,0.0,0.0
2.0,2.0,0.0,15297.0,204.6,0.0,0.0,0.0
2.0,2.0,0.0,15322.0,229.6,0.0,0.0,0.0
2.0,2.0,0.0,15352.0,259.6,0.0,0.0,0.0
3.0,2.0,0.0,15382.0,290.0,0.0,0.0,0.0
3.0,3.0,0.0,15413.0,321.0,0.0,0.0,0.0
4.0,3.0,0.0,15443.0,350.2,0.0,0.0,0.0
5.0,4.0,0.0,15472.0,380.1,0.0,0.0,0.0
5.0,5.0,0.0,15502.0,410.1,0.0,0.0,0.0
6.0,5.0,0.0,15533.0,440.3,0.0,0.0,0.0
7.0,6.0,0.0,15563.0,470.3,0.0,0.0,0.0
7.0,7.0,0.0,15593.0,500.5,0.0,0.0,0.0
8.0,7.0,0.0,15624.0,531.2,0.0,0.0,0.0
9.0,8.0,0.0,15654.0,561.7,0.0,0.0,0.0
9.0,9.0,0.0,15684.0,591.6,0.0,0.0,0.0
10.0,9.0,0.0,15714.0,621.2,0.0,0.0,0.0
10.0,10.0,0.0,15743.0,651.0,0.0,0.0,0.0
11.0,10.0,1.0,15774.0,681.8,681.8,137.0,1.0
14.0,11.0,0.0,0.0,829.7,0.0,0.0,0.0
15.0,14.0,0.0,24.0,853.9,0.0,0.0,0.0
15.0,15.0,0.0,54.0,883.9,0.0,0.0,0.0
16.0,15.0,0.0,85.0,915.0,0.0,0.0,0.0
17.0,16.0,0.0,113.0,943.6,0.0,0.0,0.0
17.0,17.0,0.0,145.0,974.8,0.0,0.0,0.0
18.0,17.0,0.0,174.0,1003.7,0.0,0.0,0.0
19.0,18.0,0.0,209.0,1039.3,0.0,0.0,0.0
19.0,19.0,0.0,235.0,1065.5,0.0,0.0,0.0
2.0,19.0,1.0,268.0,1097.9,1097.9,141.0,2.0
5.0,2.0,0.0,0.0,1248.9,0.0,0.0,0.0
6.0,5.0,0.0,33.0,1281.9,0.0,0.0,0.0
7.0,6.0,0.0,63.0,1311.9,0.0,0.0,0.0
7.0,7.0,0.0,92.0,1341.9,0.0,0.0,0.0
8.0,7.0,0.0,126.0,1375.4,0.0,0.0,0.0
9.0,8.0,0.0,155.0,1404.3,0.0,0.0,0.0
9.0,9.0,0.0,186.0,1435.1,0.0,0.0,0.0
10.0,9.0,0.0,218.0,1467.6,0.0,0.0,0.0
11.0,10.0,1.0,246.0,1495.6,1495.6,141.0,1.0
14.0,11.0,0.0,0.0,1646.1,0.0,0.0,0.0
14.0,14.0,0.0,29.0,1675.8,0.0,0.0,0.0
15.0,14.0,0.0,59.0,1705.9,0.0,0.0,0.0
16.0,15.0,0.0,90.0,1736.3,0.0,0.0,0.0
16.0,16.0,0.0,119.0,1765.9,0.0,0.0,0.0
17.0,16.0,0.0,149.0,1795.8,0.0,0.0,0.0
18.0,17.0,0.0,181.0,1827.8,0.0,0.0,0.0
18.0,18.0,0.0,213.0,1859.3,0.0,0.0,0.0
19.0,18.0,0.0,242.0,1888.1,0.0,0.0,0.0
2.0,19.0,1.0,277.0,1923.8,1923.8,157.0,2.0
5.0,2.0,0.0,0.0,2085.8,0.0,0.0,0.0
6.0,5.0,0.0,24.0,2109.9,0.0,0.0,0.0
6.0,6.0,0.0,53.0,2139.2,0.0,0.0,0.0
7.0,6.0,0.0,84.0,2169.9,0.0,0.0,0.0
8.0,7.0,0.0,118.0,2204.4,0.0,0.0,0.0
8.0,8.0,0.0,148.0,2233.8,0.0,0.0,0.0
9.0,8.0,0.0,178.0,2264.0,0.0,0.0,0.0
10.0,9.0,0.0,208.0,2294.2,0.0,0.0,0.0
10.0,10.0,0.0,237.0,2323.8,0.0,0.0,0.0
11.0,10.0,1.0,273.0,2359.5,2359.5,133.0,1.0
14.0,11.0,0.0,0.0,2500.6,0.0,0.0,0.0
15.0,14.0,0.0,33.0,2533.9,0.0,0.0,0.0
15.0,15.0,0.0,59.0,2559.8,0.0,0.0,0.0
16.0,15.0,0.0,89.0,2589.9,0.0,0.0,0.0
17.0,16.0,0.0,119.0,2620.1,0.0,0.0,0.0
