X,Y,Z,Rx,Ry,Rz,Time
956.306,-101.617,-165.151,160.5194,7.8727,-157.0404,0.0
956.305,-101.577,-165.151,160.5194,7.8727,-157.0404,0.04
956.305,-101.536,-165.151,160.5194,7.8727,-157.0404,0.08
956.304,-101.496,-165.151,160.5194,7.8727,-157.0404,0.12
956.303,-101.456,-165.151,160.5194,7.8727,-157.0404,0.16
956.302,-101.415,-165.151,160.5194,7.8727,-157.0404,0.2
956.302,-101.375,-165.151,160.5194,7.8727,-157.0404,0.24
956.301,-101.334,-165.151,160.5194,7.8727,-157.0404,0.28
956.3,-101.294,-165.151,160.5194,7.8727,-157.0404,0.32
956.299,-101.254,-165.151,160.5194,7.8727,-157.0404,0.36
956.299,-101.213,-165.151,160.5194,7.8727,-157.0404,0.4
956.298,-101.173,-165.151,160.5194,7.8727,-157.0404,0.44
956.297,-101.133,-165.151,160.5194,7.8727,-157.0404,0.48
956.296,-101.092,-165.151,160.5194,7.8727,-157.0404,0.52
956.296,-101.052,-165.151,160.5194,7.8727,-157.0404,0.56
956.295,-101.011,-165.151,160.5194,7.8727,-157.0404,0.6
956.294,-100.971,-165.152,160.5194,7.8727,-157.0404,0.64
956.293,-100.931,-165.152,160.5194,7.8727,-157.0404,0.68
956.293,-100.89,-165.152,160.5194,7.8727,-157.0404,0.72
956.292,-100.85,-165.152,160.5194,7.8727,-157.0404,0.76
956.291,-100.81,-165.152,160.5194,7.8727,-157.0404,0.8
956.291,-100.769,-165.152,160.5194,7.8727,-157.0404,0.84
956.29,-100.729,-165.152,160.5194,7.8727,-157.0404,0.88
956.289,-100.688,-165.152,160.5194,7.8727,-157.0404,0.92
956.288,-100.648,-165.152,160.5194,7.8727,-157.0404,0.96
956.288,-100.608,-165.152,160.5194,7.8727,-157.0404,1.0
956.287,-100.567,-165.152,160.5194,7.8727,-157.0404,1.04
956.286,-100.527,-165.152,160.5194,7.8727,-157.0404,1.08
956.285,-100.487,-165.152,160.5194,7.8727,-157.0404,1.12
956.285,-100.446,-165.152,160.5194,7.8727,-157.0404,1.16
956.284,-100.406,-165.152,160.5194,7.8727,-157.0404,1.2
956.283,-100.365,-165.152,160.5194,7.8727,-157.0404,1.24
956.282,-100.325,-165.152,160.5194,7.8727,-157.0404,1.28
956.282,-100.285,-165.152,160.5194,7.8727,-157.0404,1.32
956.281,-100.244,-165.152,160.5194,7.8727,-157.0404,1.36
956.28,-100.204,-165.152,160.5194,7.8727,-157.0404,1.4000000000000001
956.28,-100.164,-165.152,160.5194,7.8727,-157.0404,1.44
956.279,-100.123,-165.152,160.5194,7.8727,-157.0404,1.48
956.278,-100.083,-165.152,160.5194,7.8727,-157.0404,1.52
956.277,-100.042,-165.152,160.5194,7.8727,-157.0404,1.56
956.277,-100.002,-165.152,160.5194,7.8727,-157.0404,1.6
956.276,-99.962,-165.152,160.5194,7.8727,-157.0404,1.6400000000000001
956.275,-99.921,-165.152,160.5194,7.8727,-157.0404,1.68
956.274,-99.881,-165.152,160.5194,7.8727,-157.0404,1.72
956.274,-99.841,-165.152,160.5194,7.8727,-157.0404,1.76
956.273,-99.8,-165.152,160.5194,7.8727,-157.0404,1.8
956.272,-99.76,-165.153,160.5194,7.8727,-157.0404,1.84
956.271,-99.719,-165.153,160.5194,7.8727,-157.0404,1.8800000000000001
956.271,-99.679,-165.153,160.5194,7.8727,-157.0404,1.92
956.27,-99.639,-165.153,160.5194,7.8727,-157.0404,1.96
956.269,-99.598,-165.153,160.5194,7.8727,-157.0404,2.0
956.268,-99.558,-165.153,160.5194,7.8727,-157.0404,2.04
956.268,-99.518,-165.153,160.5194,7.8727,-157.0404,2.08
956.267,-99.477,-165.153,160.5194,7.8727,-157.0404,2.12
956.266,-99.437,-165.153,160.5194,7.8727,-157.0404,2.16
956.266,-99.396,-165.153,160.5194,7.8727,-157.0404,2.2
956.265,-99.356,-165.153,160.5194,7.8727,-157.0404,2.24
956.264,-99.316,-165.153,160.5194,7.8727,-157.0404,2.2800000000000002
956.263,-99.275,-165.153,160.5194,7.8727,-157.0404,2.32
956.263,-99.235,-165.153,160.5194,7.8727,-157.0404,2.36
956.262,-99.195,-165.153,160.5194,7.8727,-157.0404,2.4
956.261,-99.154,-165.153,160.5194,7.8727,-157.0404,2.44
956.26,-99.114,-165.153,160.5194,7.8727,-157.0404,2.48
956.26,-99.074,-165.153,160.5194,7.8727,-157.0404,2.52
956.259,-99.033,-165.153,160.5194,7.8727,-157.0404,2.56
956.258,-98.993,-165.153,160.5194,7.8727,-157.0404,2.6
956.257,-98.952,-165.153,160.5194,7.8727,-157.0404,2.64
956.257,-98.912,-165.153,160.5194,7.8727,-157.0404,2.68
956.256,-98.872,-165.153,160.5194,7.8727,-157.0404,2.72
956.255,-98.831,-165.153,160.5194,7.8727,-157.0404,2.7600000000000002
956.254,-98.791,-165.153,160.5194,7.8727,-157.0404,2.8000000000000003
956.254,-98.751,-165.153,160.5194,7.8727,-157.0404,2.84
956.253,-98.71,-165.153,160.5194,7.8727,-157.0404,2.88
956.252,-98.67,-165.153,160.5194,7.8727,-157.0404,2.92
956.252,-98.629,-165.153,160.5194,7.8727,-157.0404,2.96
956.251,-98.589,-165.153,160.5194,7.8727,-157.0404,3.0
956.25,-98.549,-165.154,160.5194,7.8727,-157.0404,3.04
956.249,-98.508,-165.154,160.5194,7.8727,-157.0404,3.08
956.249,-98.468,-165.154,160.5194,7.8727,-157.0404,3.12
956.248,-98.428,-165.154,160.5194,7.8727,-157.0404,3.16
956.247,-98.387,-165.154,160.5194,7.8727,-157.0404,3.2
956.246,-98.347,-165.154,160.5194,7.8727,-157.0404,3.24
956.246,-98.306,-165.154,160.5194,7.8727,-157.0404,3.2800000000000002
956.245,-98.266,-165.154,160.5194,7.8727,-157.0404,3.3200000000000003
956.244,-98.226,-165.154,160.5194,7.8727,-157.0404,3.36
956.243,-98.185,-165.154,160.5194,7.8727,-157.0404,3.4
956.243,-98.145,-165.154,160.5194,7.8727,-157.0404,3.44
956.242,-98.105,-165.154,160.5194,7.8727,-157.0404,3.48
956.241,-98.064,-165.154,160.5194,7.8727,-157.0404,3.52
956.24,-98.024,-165.154,160.5194,7.8727,-157.0404,3.56
956.24,-97.983,-165.154,160.5194,7.8727,-157.0404,3.6
956.239,-97.943,-165.154,160.5194,7.8727,-157.0404,3.64
956.238,-97.903,-165.154,160.5194,7.8727,-157.0404,3.68
956.238,-97.862,-165.154,160.5194,7.8727,-157.0404,3.72
956.237,-97.822,-165.154,160.5194,7.8727,-157.0404,3.7600000000000002
956.236,-97.782,-165.154,160.5194,7.8727,-157.0404,3.8000000000000003
956.235,-97.741,-165.154,160.5194,7.8727,-157.0404,3.84
956.235,-97.701,-165.154,160.5194,7.8727,-157.0404,3.88
956.234,-97.66,-165.154,160.5194,7.8727,-157.0404,3.92
956.233,-97.62,-165.154,160.5194,7.8727,-157.0404,3.96
956.232,-97.58,-165.154,160.5194,7.8727,-157.0404,4.0
956.232,-97.539,-165.154,160.5194,7.8727,-157.0404,4.04
956.231,-97.499,-165.154,160.5194,7.8727,-157.0404,4.08
