X,Y,Z,Rx,Ry,Rz
954.543,-5.06,-165.235,160.5184,7.8725,-157.0404
954.542,-4.98,-165.235,160.5184,7.8725,-157.0404
954.54,-4.9,-165.235,160.5184,7.8725,-157.0404
954.539,-4.819,-165.235,160.5184,7.8725,-157.0404
954.537,-4.739,-165.235,160.5184,7.8725,-157.0404
954.536,-4.659,-165.235,160.5184,7.8725,-157.0404
954.534,-4.579,-165.235,160.5184,7.8725,-157.0404
954.533,-4.498,-165.235,160.5184,7.8725,-157.0404
954.531,-4.418,-165.235,160.5184,7.8725,-157.0404
954.53,-4.338,-165.235,160.5184,7.8725,-157.0404
954.528,-4.258,-165.236,160.5184,7.8725,-157.0404
954.527,-4.178,-165.236,160.5184,7.8725,-157.0404
954.526,-4.097,-165.236,160.5184,7.8725,-157.0404
954.524,-4.017,-165.236,160.5184,7.8725,-157.0404
954.523,-3.937,-165.236,160.5184,7.8725,-157.0404
954.521,-3.857,-165.236,160.5184,7.8725,-157.0404
954.52,-3.777,-165.236,160.5184,7.8725,-157.0404
954.518,-3.696,-165.236,160.5184,7.8725,-157.0404
954.517,-3.616,-165.236,160.5184,7.8725,-157.0404
954.515,-3.536,-165.236,160.5184,7.8725,-157.0404
954.514,-3.456,-165.236,160.5184,7.8725,-157.0404
954.512,-3.375,-165.236,160.5184,7.8725,-157.0404
954.511,-3.295,-165.236,160.5184,7.8725,-157.0404
954.509,-3.215,-165.236,160.5184,7.8725,-157.0404
954.508,-3.135,-165.236,160.5184,7.8725,-157.0404
954.507,-3.055,-165.236,160.5184,7.8725,-157.0404
954.505,-2.974,-165.236,160.5184,7.8725,-157.0404
954.504,-2.894,-165.236,160.5184,7.8725,-157.0404
954.502,-2.814,-165.237,160.5184,7.8725,-157.0404
954.501,-2.734,-165.237,160.5184,7.8725,-157.0404
954.499,-2.653,-165.237,160.5184,7.8725,-157.0404
954.498,-2.573,-165.237,160.5184,7.8725,-157.0404
954.496,-2.493,-165.237,160.5184,7.8725,-157.0404
954.495,-2.413,-165.237,160.5184,7.8725,-157.0404
