X,Y,Z,Rx,Ry,Rz
956.306,-101.567,-165.154,160.5148,7.8747,-157.0418
956.306,-101.567,-165.154,160.5148,7.8747,-157.0418
956.306,-101.567,-165.154,160.5148,7.8747,-157.0418
956.306,-101.567,-165.154,160.5148,7.8747,-157.0418
956.306,-101.563,-165.155,160.5163,7.8737,-157.0421
956.308,-101.555,-165.153,160.5192,7.8732,-157.0409
956.302,-101.531,-165.158,160.5188,7.8726,-157.0396
956.301,-101.5,-165.153,160.5191,7.8724,-157.0407
956.303,-101.477,-165.153,160.5191,7.8724,-157.0393
956.308,-101.447,-165.15,160.5199,7.8731,-157.0404
956.303,-101.427,-165.155,160.5188,7.8729,-157.0406
956.3,-101.403,-165.149,160.5198,7.8723,-157.0409
956.296,-101.372,-165.154,160.5187,7.8721,-157.0404
956.301,-101.342,-165.152,160.5196,7.8728,-157.0415
956.304,-101.318,-165.152,160.5196,7.8728,-157.0401
956.302,-101.287,-165.146,160.5189,7.8732,-157.0394
956.304,-101.264,-165.155,160.52,7.8728,-157.0398
956.301,-101.245,-165.149,160.5194,7.8733,-157.0399
956.292,-101.085,-165.155,160.5189,7.8721,-157.0407
956.296,-101.062,-165.153,160.5195,7.873,-157.0393
956.3,-101.032,-165.153,160.5197,7.8728,-157.0404
956.297,-101.012,-165.147,160.5191,7.8733,-157.0405
956.292,-100.988,-165.152,160.5196,7.872,-157.0409
956.296,-100.958,-165.149,160.5195,7.8733,-157.0403
956.293,-100.927,-165.154,160.5194,7.8725,-157.0415
956.29,-100.903,-165.149,160.5194,7.8726,-157.0401
956.293,-100.872,-165.148,160.5187,7.8729,-157.0394
956.294,-100.714,-165.148,160.5192,7.8733,-157.0402
956.289,-100.69,-165.153,160.5197,7.8721,-157.0406
956.294,-100.66,-165.15,160.5196,7.8734,-157.0399
956.287,-100.647,-165.155,160.5193,7.8728,-157.0393
956.286,-100.617,-165.149,160.5195,7.8726,-157.0404
956.289,-100.586,-165.149,160.5189,7.873,-157.0398
956.293,-100.563,-165.147,160.5203,7.8733,-157.0402
956.289,-100.532,-165.152,160.5193,7.8731,-157.0396
956.283,-100.373,-165.148,160.5192,7.8726,-157.0404
956.285,-100.342,-165.156,160.5187,7.8732,-157.0397
956.281,-100.33,-165.15,160.5197,7.8727,-157.0408
956.277,-100.298,-165.155,160.5186,7.8725,-157.0402
956.274,-100.275,-165.15,160.5196,7.8719,-157.0406
956.285,-100.245,-165.153,160.5194,7.8731,-157.0399
956.283,-100.214,-165.147,160.5197,7.8729,-157.0411
956.278,-100.19,-165.152,160.5193,7.8723,-157.0398
