S,L,U,R,B,T
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-0.0014072495589923769,-0.6763694161150399,-0.7183540375848759,-0.0015174984869649525,-1.3302780287810074,0.02096188747152138
-0.0027954200698079457,-0.67521236546531,-0.7196246656664799,-0.0030951356559074193,-1.3264350543777554,0.023274538298987825
-0.004178037331225727,-0.6740471619430604,-0.7208916143754545,-0.004679497868799826,-1.322592699370625,0.025592607015909714
-0.0055551241891155945,-0.6728737804793855,-0.7221548566336954,-0.006270639994545921,-1.3187509778255242,0.027916193814280902
-0.006926703366339277,-0.6716921960463779,-0.7234143652557923,-0.007868617862099156,-1.3149099042642445,0.03024539941194193
-0.008292797463410688,-0.6705023836596443,-0.7246701129491122,-0.009473488267139946,-1.3110694936706788,0.03258032506408887
-0.009653428959155812,-0.6693043183808572,-0.7259220723138984,-0.011085308978881471,-1.3072297614971062,0.03492107257482993
-0.011008620211371932,-0.6680979753203278,-0.7271702158433794,-0.01270413874700335,-1.303390723670532,0.037267744308788646
-0.01235839345748595,-0.6668833296396104,-0.7284145159238924,-0.014330037308712372,-1.299552396599095,0.039620443202756005
-0.013702770815212116,-0.6656603565541287,-0.7296549448350164,-0.015963065395929992,-1.295714797178533,0.04197927277738997
-0.015041774283208386,-0.6644290313358331,-0.7308914747497175,-0.017603284742605214,-1.2918779427987173,0.04434433714896396
-0.016375425741732168,-0.6631893293158805,-0.7321240777345078,-0.019250758092152865,-1.2880418513502467,0.04671574104116444
-0.017703746953294828,-0.6619412258873437,-0.733352725749617,-0.020905549205015955,-1.2842065412311108,0.04909358979693722
-0.019026759563314764,-0.6606846965079469,-0.7345773906491748,-0.02256772286635114,-1.2803720313534155,0.051477989390382596
-0.02034448510077001,-0.659419716702825,-0.7357980441814076,-0.024237344893837554,-1.2765383411501796,0.053869046438700954
-0.021656944978848486,-0.6581462620673133,-0.7370146579888482,-0.02591448214560575,-1.272705490582197,0.05626686821418614
-0.02296416049559774,-0.6568643082697618,-0.7382272036085578,-0.027599202528288277,-1.2688735001449674,0.0586715626562687
-0.02426615283457285,-0.6555738310543747,-0.7394356524723608,-0.029291575005189228,-1.265042390875698,0.06108323838360843
-0.02556294306548289,-0.654274806244079,-0.7406399759070972,-0.030991669604571878,-1.2612121843603714,0.06350200470623467
-0.02685455214483612,-0.6529672097434173,-0.741840145134881,-0.03269955742806397,-1.2573829027408925,0.06592797163773645
-0.028141000916583,-0.6516510175414666,-0.7430361312733796,-0.03441531065917793,-1.2535545687222962,0.06836124990749898
-0.02942231011275819,-0.6503262057147862,-0.7442279053361042,-0.03613900257194633,-1.2497272055800377,0.07080195097298916
-0.03069850035412032,-0.6489927504303868,-0.7454154382327121,-0.03787070753966967,-1.24590083716735,0.07325018703208709
-0.031969592150790316,-0.6476506279487307,-0.7465987007693281,-0.03961050104377614,-1.2420754879226774,0.07570607103546452
-0.03323560590288765,-0.6462998146267546,-0.7477776636488768,-0.041358459682790734,-1.2382511828771838,0.0781697166990076
-0.03449656190116516,-0.6449402869209171,-0.7489522974714289,-0.0431146611814133,-1.2344279476623363,0.08064123851628624
-0.03575248032764126,-0.6435720213902767,-0.7501225727345658,-0.04487918439970184,-1.2306058085175655,0.0831207517710648
-0.037003381256230865,-0.6421949946995895,-0.7512884598337559,-0.04665210934236149,-1.2267847922980009,0.08560837254985695
-0.03824928465337399,-0.6408091836224359,-0.7524499290627458,-0.04843351716813523,-1.2229649264822866,0.08810421775452076
-0.039490210378662356,-0.6394145650443706,-0.7536069506139693,-0.05022349019929537,-1.2191462391804748,0.09060840511489494
-0.0407261781854636,-0.6380111159660985,-0.7547594945789705,-0.05202211193123261,-1.2153287591419941,0.09312105320147139
-0.04195720772154428,-0.6365988135066761,-0.7559075309488409,-0.053829467042142205,-1.211512515763706,0.09564228143810743
-0.043183318529689464,-0.635177634906734,-0.7570510296146735,-0.055645641402802024,-1.2076975390980322,0.09817221011477094
-0.04440453004832122,-0.6337475575317278,-0.7581899603680331,-0.05747072208644265,-1.2038838598611703,0.10071096040031956
-0.04562086161211404,-0.6323085588752114,-0.7593242929014415,-0.05930479737870456,-1.2000715094413865,0.10325865435531116
-0.046832332452608726,-0.6308606165621331,-0.7604539968088799,-0.061147956787681534,-1.1962605199073937,0.10581541494484349
-0.04803896169882319,-0.629403708352157,-0.7615790415863055,-0.06300029105404532,-1.192450924016809,0.10838136605142029
-0.04924076837786178,-0.6279378121430083,-0.7626993966321871,-0.06486189216125003,-1.1886427552246996,0.11095663248784166
-0.050437771415521374,-0.626462905973839,-0.7638150312480567,-0.0667328533458118,-1.184836047692206,0.11354134001011618
-0.05162998963689577,-0.624978968028619,-0.7649259146390744,-0.06861326910766097,-1.181030836295256,0.11613561533039173
-0.05281744176697751,-0.6234859766395484,-0.7660320159146157,-0.070503235220563,-1.17722715663336,0.11873958612990233
-0.054000146431256724,-0.6219839102904933,-0.7671333040888707,-0.07240284874260319,-1.1734250450384949,0.12135338107192657
