X,Y,Z,Rx,Ry,Rz
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.365,-1.213,234.338,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.984,20.211,1.6879
485.366,-1.213,234.337,179.9841,20.211,1.688
485.366,-1.213,234.337,179.9841,20.211,1.688
485.367,-1.213,234.336,179.9841,20.211,1.688
485.367,-1.213,234.336,179.9841,20.2109,1.688
485.368,-1.213,234.335,179.9842,20.2109,1.6881
485.369,-1.213,234.335,179.9842,20.2108,1.6881
485.37,-1.213,234.334,179.9843,20.2108,1.6882
485.372,-1.213,234.333,179.9843,20.2107,1.6882
485.373,-1.213,234.332,179.9844,20.2106,1.6883
485.374,-1.213,234.331,179.9844,20.2105,1.6884
485.376,-1.213,234.33,179.9845,20.2105,1.6884
485.378,-1.214,234.329,179.9846,20.2104,1.6885
485.38,-1.214,234.327,179.9847,20.2102,1.6886
485.382,-1.214,234.326,179.9848,20.2101,1.6887
485.385,-1.214,234.324,179.9849,20.21,1.6888
485.388,-1.214,234.322,179.985,20.2098,1.6889
485.391,-1.214,234.32,179.9851,20.2097,1.6891
485.394,-1.214,234.318,179.9852,20.2095,1.6892
485.397,-1.214,234.316,179.9854,20.2093,1.6894
485.401,-1.214,234.314,179.9855,20.2091,1.6895
485.405,-1.215,234.311,179.9857,20.2089,1.6897
485.409,-1.215,234.308,179.9859,20.2087,1.6899
485.413,-1.215,234.306,179.9861,20.2085,1.6901
485.418,-1.215,234.302,179.9863,20.2082,1.6903
485.423,-1.215,234.299,179.9865,20.208,1.6905
485.428,-1.216,234.296,179.9867,20.2077,1.6907
485.434,-1.216,234.292,179.9869,20.2074,1.691
485.44,-1.216,234.288,179.9872,20.2071,1.6912
485.446,-1.216,234.284,179.9874,20.2067,1.6915
485.453,-1.217,234.28,179.9877,20.2064,1.6918
485.46,-1.217,234.275,179.988,20.206,1.6921
485.467,-1.217,234.27,179.9883,20.2056,1.6924
485.474,-1.217,234.265,179.9886,20.2052,1.6927
485.482,-1.218,234.26,179.9889,20.2048,1.6931
485.491,-1.218,234.255,179.9893,20.2044,1.6934
485.499,-1.218,234.249,179.9897,20.2039,1.6938
485.509,-1.219,234.243,179.99,20.2034,1.6942
485.518,-1.219,234.237,179.9904,20.2029,1.6946
