S,L,U,R,B,T
-0.05260861716244643,-0.6709498264884616,-0.7149177493680162,-0.07874046450004835,-1.3457242920575374,0.43041367262991526
-0.05260861716244643,-0.6709498264884616,-0.7149177493680162,-0.07874046450004835,-1.3457242920575374,0.43041367262991526
-0.05260861716244643,-0.6709498264884616,-0.7149177493680162,-0.07874046450004835,-1.3457242920575374,0.43041367262991526
-0.05260861716244643,-0.6709498264884616,-0.7149177493680162,-0.07874046450004835,-1.3457242920575374,0.43041367262991526
-0.05260861716244643,-0.6709498264884616,-0.7149177493680162,-0.07874046450004835,-1.3457242920575374,0.43041367262991526
-0.052820548594411654,-0.6708751772667668,-0.715000462131646,-0.0788892012456296,-1.345587276116166,0.4309345878986373
-0.05301905731794407,-0.6708242551939626,-0.7150884678111837,-0.07900121369896919,-1.3454265533642338,0.43121538836276385
-0.053269602690147085,-0.6707669703577319,-0.7152034234456864,-0.07913256997160978,-1.3452117367283647,0.4314934945253416
-0.05359664143126599,-0.6706939121886658,-0.7153544843346786,-0.07930149783171804,-1.3449281523152041,0.4318366854621203
-0.0540140585510986,-0.6706008947980435,-0.7155475310076322,-0.0795166290346391,-1.3445653146562129,0.43227001498168427
-0.05453275440783061,-0.6704850700313089,-0.7157874658997623,-0.07978405428546127,-1.3441140556170053,0.4328075303790275
-0.05531970089909362,-0.670308311251269,-0.716151455307628,-0.08019047232705481,-1.3434287424574607,0.4336233131412788
-0.05610946377826722,-0.6701301594646172,-0.7165167386427956,-0.08059891019734347,-1.3427405170855895,0.43444242762551366
-0.05702293458045116,-0.6699229962155171,-0.7169392088875796,-0.0810721308212326,-1.3419438439653983,0.4353905403362178
-0.05807511311206241,-0.6696828457945816,-0.717425783107251,-0.08161831640075874,-1.3410253081068761,0.4364835829494631
-0.05927392251009981,-0.6694072180400289,-0.71798010330067,-0.08224207260837968,-1.339977596365698,0.4377302167763301
-0.060626355910287956,-0.6690936874717621,-0.7186053763193024,-0.08294762931083562,-1.338794121862424,0.4391382315040969
-0.06213884979085063,-0.6687397923306837,-0.719304545504479,-0.08373904531626492,-1.3374686890695457,0.4407149436134958
