X,Y,Z,Rx,Ry,Rz
4.85,0.0,2.34,-180.0,20.2111,21.6879
4.85,-0.0,2.34,-180.0,20.2111,21.6879
4.85,-0.0,2.34,-179.9998,20.2107,21.6879
4.85,-0.0,2.34,-179.9993,20.2098,21.6879
4.85,-0.0,2.34,-179.9984,20.2081,21.6878
4.851,-0.001,2.339,-179.9969,20.2053,21.6878
4.851,-0.001,2.338,-179.9947,20.2011,21.6877
4.852,-0.002,2.338,-179.9917,20.1954,21.6875
4.853,-0.003,2.336,-179.9877,20.1879,21.6874
4.855,-0.005,2.335,-179.9827,20.1783,21.6871
4.857,-0.006,2.333,-179.9764,20.1664,21.6869
4.859,-0.008,2.331,-179.9689,20.1521,21.6865
4.861,-0.011,2.328,-179.9599,20.1352,21.6861
4.864,-0.014,2.325,-179.9495,20.1154,21.6857
4.868,-0.017,2.321,-179.9374,20.0926,21.6851
4.872,-0.021,2.317,-179.9237,20.0666,21.6845
4.876,-0.025,2.313,-179.9082,20.0372,21.6838
4.881,-0.03,2.308,-179.8909,20.0043,21.683
4.886,-0.035,2.302,-179.8716,19.9677,21.682
4.892,-0.041,2.296,-179.8503,19.9274,21.681
4.899,-0.047,2.289,-179.827,19.8831,21.6799
4.906,-0.054,2.281,-179.8015,19.8348,21.6786
4.914,-0.062,2.273,-179.7739,19.7824,21.6772
4.923,-0.07,2.264,-179.744,19.7257,21.6756
4.932,-0.079,2.255,-179.7118,19.6646,21.6739
4.941,-0.088,2.244,-179.6774,19.5992,21.6721
4.952,-0.098,2.233,-179.6405,19.5292,21.67
4.963,-0.109,2.222,-179.6013,19.4546,21.6678
4.975,-0.12,2.209,-179.5597,19.3755,21.6654
4.987,-0.132,2.196,-179.5156,19.2917,21.6627
5.001,-0.145,2.183,-179.4691,19.2031,21.6599
5.015,-0.159,2.168,-179.4201,19.1098,21.6568
5.029,-0.173,2.153,-179.3686,19.0118,21.6535
5.045,-0.187,2.137,-179.3147,18.909,21.6499
5.061,-0.203,2.12,-179.2582,18.8014,21.646
5.077,-0.219,2.102,-179.1993,18.689,21.6419
5.095,-0.236,2.084,-179.1379,18.5719,21.6374
5.113,-0.254,2.065,-179.0741,18.4501,21.6326
5.132,-0.272,2.045,-179.0079,18.3235,21.6275
5.152,-0.291,2.025,-178.9392,18.1923,21.6221
5.172,-0.31,2.003,-178.8681,18.0564,21.6163
5.193,-0.331,1.981,-178.7948,17.916,21.6101
5.215,-0.351,1.959,-178.7191,17.7711,21.6035
5.237,-0.373,1.935,-178.6411,17.6218,21.5965
5.26,-0.395,1.911,-178.5609,17.4682,21.5891
5.283,-0.418,1.887,-178.4786,17.3103,21.5813
5.308,-0.441,1.861,-178.3941,17.1483,21.573
5.333,-0.465,1.835,-178.3076,16.9823,21.5642
5.358,-0.49,1.809,-178.2191,16.8123,21.555
5.384,-0.515,1.782,-178.1286,16.6386,21.5453
5.41,-0.54,1.754,-178.0363,16.4612,21.5352
5.438,-0.566,1.726,-177.9423,16.2804,21.5245
5.465,-0.593,1.697,-177.8466,16.0962,21.5133
5.493,-0.62,1.667,-177.7492,15.9089,21.5016
5.522,-0.647,1.638,-177.6503,15.7185,21.4894
5.55,-0.675,1.607,-177.55,15.5253,21.4766
5.58,-0.703,1.577,-177.4484,15.3295,21.4634
5.609,-0.732,1.546,-177.3456,15.1313,21.4496
5.639,-0.761,1.514,-177.2416,14.9308,21.4353
5.67,-0.79,1.483,-177.1366,14.7283,21.4205
5.7,-0.82,1.451,-177.0307,14.5241,21.4052
5.731,-0.849,1.418,-176.9241,14.3183,21.3894
5.762,-0.879,1.386,-176.8168,14.1112,21.3731
5.793,-0.909,1.353,-176.709,13.903,21.3563
5.825,-0.939,1.321,-176.6007,13.6941,21.3391
5.856,-0.97,1.288,-176.4923,13.4846,21.3214
