S,L,U,R,B,T
-1.3501343834210191e-05,-0.677518305348491,-0.7170798000755143,5.346775032792922e-05,-1.334121532334042,0.018654553751600945
-0.0015065892452817628,-0.676287039381147,-0.7184449180983985,-0.0016299649856992132,-1.330003510340713,0.021126899265384195
-0.002993276279111097,-0.6750464074595326,-0.7198058841572773,-0.0033210601072419317,-1.3258861082537547,0.023605356930193035
-0.004473592162812448,-0.6737964122596906,-0.7211626220119352,-0.005019884249249344,-1.321769419489621,0.026090050512709663
-0.0059475649687439685,-0.6725370229567648,-0.722515098333903,-0.006726505108487942,-1.3176534614484514,0.0285811033594232
-0.007415222607350228,-0.6712682087806687,-0.7238632796533369,-0.008440991648763507,-1.3135382521329273,0.031078639513036695
-0.008876592828093034,-0.6699899390196183,-0.7252071323591287,-0.0101634141103939,-1.3094238101570523,0.03358278372873233
-0.010331703220382899,-0.6687021830237427,-0.7265466226990536,-0.011893844019876587,-1.30531015475505,0.036093661490509354
-0.011780581214509582,-0.6674049102087342,-0.7278817167799273,-0.01363235419974942,-1.301197305790355,0.03861139902759497
-0.013223254082570815,-0.666098090059542,-0.7292123805677908,-0.015379018778642695,-1.2970852837646947,0.04113612333092672
-0.014659748939400193,-0.6647816921341029,-0.7305385798881057,-0.01713391320152262,-1.2929741098272733,0.04366796216970877
-0.016090092743493496,-0.6634556860671111,-0.7318602804259713,-0.018897114240124455,-1.2888638057840474,0.046207044108042494
-0.017514312297932967,-0.6621200415738322,-0.7331774477263598,-0.02066870000357333,-1.2847543941071022,0.04875349852162962
-0.018932434251310564,-0.6607747284539541,-0.734490047194372,-0.022448749949193145,-1.280645897944127,0.0513074556145516
-0.020344485098648796,-0.6594197165954807,-0.7357980440955112,-0.024237344893500035,-1.2765383411279927,0.05386904643612191
-0.021750491182319788,-0.6580549759786624,-0.7371014035559755,-0.026034567023380372,-1.2724317481864302,0.05643840289781377
-0.023150478692962363,-0.6566804766799698,-0.7384000905629724,-0.02784049990745101,-1.2683261443518148,0.0590156577902617
-0.024544473670396843,-0.6552961888761053,-0.7396940699650522,-0.029655228507600148,-1.2642215555710514,0.06160094480033745
-0.025932502004537814,-0.6539020828480561,-0.7409833064724606,-0.03147883919070718,-1.260118008515573,0.06419439852829946
-0.027314589436304087,-0.6524981289851849,-0.7422677646575151,-0.03331141974053881,-1.256015530591438,0.066796154505016
-0.02869076155852677,-0.6510842977893638,-0.7435474089549992,-0.035153059369820626,-1.251914149949544,0.06940634920925962
-0.030061043816854392,-0.6496605598791423,-0.7448222036625781,-0.037003848732480527,-1.2478138954959468,0.07202512008507492
-0.031425461510655596,-0.6482268859939591,-0.7460921129412383,-0.03886387993606263,-1.2437147969022921,0.07465260555921567
-0.03278403979391897,-0.6467832469983941,-0.7473571008157462,-0.04073324655430832,-1.239616884616363,0.07728894505865158
-0.03413680367615032,-0.6453296138864522,-0.7486171311751292,-0.04261204363990305,-1.235520189872732,0.07993427902814422
-0.035483778023266715,-0.6438659577858944,-0.74987216777318,-0.04450036773738419,-1.2314247447035394,0.08258874894788788
