X,Y,Z,Rx,Ry,Rz
4.85,0.0,2.34,-180.0,20.2111,21.6879
4.871,-0.02,2.318,-179.9267,20.0722,21.6846
4.892,-0.04,2.297,-179.8534,19.9333,21.6812
4.912,-0.06,2.275,-179.7802,19.7944,21.6775
4.933,-0.08,2.253,-179.707,19.6555,21.6737
4.954,-0.1,2.232,-179.6339,19.5166,21.6696
4.974,-0.12,2.21,-179.5609,19.3777,21.6654
4.995,-0.14,2.188,-179.4879,19.2388,21.6611
5.016,-0.16,2.166,-179.4149,19.0999,21.6565
5.037,-0.18,2.145,-179.342,18.9611,21.6517
5.058,-0.2,2.123,-179.2691,18.8222,21.6468
5.078,-0.22,2.101,-179.1963,18.6833,21.6417
5.099,-0.24,2.08,-179.1236,18.5445,21.6364
5.12,-0.26,2.058,-179.0509,18.4056,21.6309
5.14,-0.28,2.036,-178.9782,18.2668,21.6252
5.161,-0.3,2.014,-178.9056,18.128,21.6194
5.182,-0.32,1.993,-178.833,17.9891,21.6133
5.203,-0.34,1.971,-178.7604,17.8503,21.6071
5.224,-0.36,1.949,-178.6879,17.7115,21.6007
5.244,-0.38,1.928,-178.6155,17.5727,21.5942
5.265,-0.4,1.906,-178.543,17.4339,21.5874
5.286,-0.42,1.884,-178.4706,17.2951,21.5805
5.306,-0.44,1.863,-178.3983,17.1563,21.5734
5.327,-0.46,1.841,-178.326,17.0176,21.5661
5.348,-0.48,1.819,-178.2537,16.8788,21.5587
5.369,-0.5,1.798,-178.1814,16.7401,21.551
5.39,-0.52,1.776,-178.1092,16.6013,21.5432
5.41,-0.54,1.754,-178.037,16.4626,21.5352
5.431,-0.56,1.732,-177.9649,16.3239,21.5271
5.452,-0.58,1.711,-177.8928,16.1851,21.5187
5.472,-0.6,1.689,-177.8207,16.0464,21.5102
5.493,-0.62,1.667,-177.7486,15.9077,21.5015
5.514,-0.64,1.646,-177.6766,15.7691,21.4926
5.535,-0.66,1.624,-177.6046,15.6304,21.4836
5.556,-0.68,1.602,-177.5326,15.4917,21.4744
5.576,-0.7,1.58,-177.4606,15.3531,21.465
5.597,-0.72,1.559,-177.3887,15.2144,21.4554
5.618,-0.74,1.537,-177.3168,15.0758,21.4457
5.638,-0.76,1.515,-177.2449,14.9372,21.4358
5.659,-0.78,1.494,-177.173,14.7986,21.4257
5.68,-0.8,1.472,-177.1012,14.66,21.4154
5.701,-0.82,1.45,-177.0294,14.5214,21.405
5.722,-0.84,1.429,-176.9576,14.3829,21.3944
5.742,-0.86,1.407,-176.8858,14.2443,21.3836
5.763,-0.88,1.385,-176.814,14.1058,21.3726
5.784,-0.9,1.364,-176.7422,13.9672,21.3615
5.804,-0.92,1.342,-176.6705,13.8287,21.3502
5.825,-0.94,1.32,-176.5988,13.6902,21.3388
5.846,-0.96,1.298,-176.527,13.5518,21.3271
5.867,-0.98,1.277,-176.4553,13.4133,21.3153
5.888,-1.0,1.255,-176.3837,13.2748,21.3033
5.908,-1.02,1.233,-176.312,13.1364,21.2912
5.929,-1.04,1.212,-176.2403,12.998,21.2788
5.95,-1.06,1.19,-176.1686,12.8596,21.2664
5.97,-1.08,1.168,-176.097,12.7212,21.2537
