S,L,U,R,B,T
-0.05260861716244643,-0.6709498264884616,-0.7149177493680162,-0.07874046450004835,-1.3457242920575374,0.43041367262991526
-0.05260861716244643,-0.6709498264884616,-0.7149177493680162,-0.07874046450004835,-1.3457242920575374,0.43041367262991526
-0.05260861716244643,-0.6709498264884616,-0.7149177493680162,-0.07874046450004835,-1.3457242920575374,0.43041367262991526
-0.05295349829151062,-0.6708458172386639,-0.715061983461054,-0.0789575197670703,-1.3454717681911805,0.43107209154689236
-0.053637663617715034,-0.6706851939939755,-0.7153736978188503,-0.0793220137641978,-1.344891719950596,0.43187444843371875
-0.05462080246208212,-0.6704652714458615,-0.715828197967706,-0.07982950812287959,-1.34403730033395,0.4328985189035537
-0.05601000990012618,-0.6701528665548423,-0.7164707567874898,-0.08054729472562568,-1.3428273395107373,0.4343390987851573
-0.0578101327875412,-0.6697438524990319,-0.7173032720176875,-0.08148040710043213,-1.341256940295524,0.43620799783526476
-0.06001910553452752,-0.6692353458333609,-0.7183246662623108,-0.08263022077363759,-1.3393260236156284,0.4385054918473427
-0.06263389426966615,-0.668623948249037,-0.719533400260616,-0.08399812000710541,-1.3370348657317024,0.44123104169763433
-0.06580062829499725,-0.6678684378983094,-0.7209967550222851,-0.08566558887483888,-1.3342513246759968,0.4445414102417541
-0.06923745851470496,-0.6670319854509493,-0.7225843779837202,-0.08748725777864846,-1.3312207974188868,0.44814467892159177
-0.07306522678041948,-0.6660788630903783,-0.7243518212674962,-0.08953168937635234,-1.3278330717996778,0.45217158880220826
-0.07728047958162738,-0.6650026008182712,-0.7262971809333785,-0.09180232103349976,-1.3240869768413959,0.45662328481715053
-0.08187728349409489,-0.6637965917826261,-0.7284173506715634,-0.094301807725521,-1.3199831159797535,0.4614988456606507
-0.0868491037597023,-0.6624536020339787,-0.7307088784995888,-0.09703304012034086,-1.3155221973647275,0.46679728778671503
-0.09218883632176242,-0.6609657627517738,-0.7331679709352988,-0.09999916266127089,-1.3107050132818812,0.4725176155855375
-0.09788881286265563,-0.659324570886772,-0.73579048321968,-0.10320357704784162,-1.3055324461680733,0.4786588437791108
