X,Y,Z,Rx,Ry,Rz
4.85,0.0,2.34,-180.0,20.2111,21.6879
4.85,-0.0,2.34,-179.9998,20.2107,21.6879
4.85,-0.0,2.34,-179.9985,20.2083,21.6878
4.851,-0.001,2.339,-179.9949,20.2015,21.6877
4.853,-0.003,2.336,-179.988,20.1883,21.6874
4.857,-0.006,2.333,-179.9766,20.1669,21.6869
4.861,-0.011,2.328,-179.9606,20.1365,21.6862
4.867,-0.016,2.322,-179.9399,20.0972,21.6852
4.874,-0.023,2.315,-179.9145,20.0491,21.6841
4.883,-0.032,2.306,-179.8844,19.992,21.6826
4.893,-0.041,2.295,-179.8496,19.9261,21.681
4.904,-0.052,2.284,-179.8102,19.8513,21.679
4.916,-0.064,2.271,-179.7661,19.7675,21.6768
4.93,-0.077,2.256,-179.7173,19.6749,21.6742
4.945,-0.092,2.24,-179.6639,19.5735,21.6713
4.962,-0.108,2.223,-179.6058,19.4631,21.668
4.98,-0.125,2.205,-179.5431,19.3438,21.6644
4.999,-0.143,2.184,-179.4757,19.2157,21.6603
5.019,-0.163,2.163,-179.4037,19.0787,21.6558
5.041,-0.184,2.14,-179.3271,18.9328,21.6507
5.064,-0.206,2.116,-179.246,18.778,21.6452
5.089,-0.23,2.091,-179.1602,18.6143,21.639
5.114,-0.255,2.064,-179.0698,18.4418,21.6323
5.141,-0.281,2.035,-178.9748,18.2603,21.6249
5.17,-0.308,2.005,-178.8753,18.07,21.6169
5.2,-0.337,1.974,-178.7712,17.8709,21.6081
5.231,-0.367,1.942,-178.6625,17.6629,21.5985
5.263,-0.398,1.908,-178.5493,17.446,21.588
5.297,-0.431,1.873,-178.4316,17.2202,21.5767
5.332,-0.465,1.836,-178.3093,16.9856,21.5644
5.368,-0.5,1.798,-178.1825,16.7421,21.5511
5.406,-0.536,1.758,-178.0512,16.4898,21.5368
5.445,-0.574,1.718,-177.9154,16.2286,21.5214
5.486,-0.613,1.675,-177.775,15.9586,21.5047
5.527,-0.653,1.632,-177.6302,15.6798,21.4868
5.57,-0.694,1.587,-177.4809,15.3921,21.4677
5.615,-0.737,1.54,-177.3271,15.0956,21.4471
5.66,-0.781,1.492,-177.1687,14.7903,21.4251
5.708,-0.827,1.443,-177.0059,14.4762,21.4015
5.756,-0.873,1.393,-176.8386,14.1533,21.3764
5.806,-0.921,1.341,-176.6669,13.8217,21.3497
5.772,-0.889,1.375,-176.7816,14.0433,21.3677
5.822,-0.937,1.323,-176.6095,13.7109,21.3405
5.872,-0.985,1.271,-176.4374,13.3786,21.3123
5.922,-1.033,1.219,-176.2653,13.0463,21.2832
5.972,-1.081,1.167,-176.0934,12.7141,21.253
6.021,-1.129,1.115,-175.9214,12.3821,21.2219
6.071,-1.177,1.063,-175.7495,12.0501,21.1898
6.121,-1.225,1.011,-175.5776,11.7182,21.1568
6.171,-1.273,0.959,-175.4058,11.3864,21.1227
6.221,-1.321,0.907,-175.2339,11.0547,21.0877
6.27,-1.369,0.855,-175.062,10.7231,21.0517
6.32,-1.417,0.803,-174.8901,10.3916,21.0147
6.37,-1.465,0.75,-174.7181,10.0602,20.9768
6.42,-1.513,0.698,-174.5461,9.729,20.9379
6.47,-1.561,0.646,-174.374,9.3978,20.898
6.519,-1.609,0.594,-174.2019,9.0668,20.8571
6.569,-1.657,0.542,-174.0297,8.7359,20.8153
6.619,-1.705,0.49,-173.8574,8.4052,20.7725
6.669,-1.753,0.438,-173.6849,8.0745,20.7288
6.719,-1.801,0.386,-173.5124,7.744,20.6841
6.768,-1.849,0.334,-173.3397,7.4136,20.6384
6.818,-1.897,0.282,-173.1669,7.0834,20.5917
6.868,-1.945,0.23,-172.994,6.7533,20.5441
6.918,-1.993,0.178,-172.8209,6.4233,20.4955
6.968,-2.041,0.125,-172.6476,6.0935,20.4459
7.017,-2.089,0.073,-172.4741,5.7639,20.3953
7.067,-2.137,0.021,-172.3004,5.4344,20.3438
7.117,-2.185,-0.031,-172.1266,5.105,20.2913
7.167,-2.233,-0.083,-171.9525,4.7759,20.2378
7.217,-2.281,-0.135,-171.7782,4.4468,20.1834
7.266,-2.329,-0.187,-171.6036,4.118,20.1279
7.316,-2.377,-0.239,-171.4288,3.7893,20.0715
7.366,-2.425,-0.291,-171.2538,3.4608,20.0141
7.416,-2.473,-0.343,-171.0784,3.1325,19.9557
7.466,-2.521,-0.395,-170.9028,2.8043,19.8964
7.515,-2.569,-0.447,-170.7269,2.4763,19.836
7.565,-2.617,-0.499,-170.5507,2.1486,19.7747
7.615,-2.665,-0.552,-170.3741,1.821,19.7123
7.665,-2.713,-0.604,-170.1973,1.4936,19.6489
7.715,-2.761,-0.656,-170.0201,1.1664,19.5846
7.764,-2.809,-0.708,-169.8425,0.8394,19.5192
7.814,-2.857,-0.76,-169.6646,0.5126,19.4529
7.798,-2.841,-0.743,-169.724,0.6215,19.4751
7.847,-2.889,-0.795,-169.5459,0.2949,19.4081
7.897,-2.937,-0.846,-169.3682,-0.03,19.3403
7.946,-2.984,-0.898,-169.192,-0.3512,19.2723
7.921,-2.96,-0.872,-169.28,-0.1908,19.3064
7.97,-3.007,-0.923,-169.105,-0.5095,19.2384
8.017,-3.053,-0.972,-168.9344,-0.8193,19.1714
8.063,-3.097,-1.021,-168.7682,-1.1202,19.1053
