X,Y,Z,Rx,Ry,Rz
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.364,-1.213,234.338,179.984,20.2111,1.6879
485.365,-1.213,234.337,179.984,20.2111,1.6879
485.366,-1.213,234.337,179.9841,20.211,1.688
485.367,-1.213,234.336,179.9841,20.211,1.688
485.368,-1.213,234.335,179.9842,20.2109,1.6881
485.37,-1.213,234.334,179.9843,20.2108,1.6882
485.373,-1.213,234.332,179.9844,20.2106,1.6883
485.376,-1.213,234.33,179.9845,20.2104,1.6884
485.38,-1.214,234.327,179.9847,20.2102,1.6886
485.385,-1.214,234.324,179.9849,20.21,1.6888
485.391,-1.214,234.32,179.9851,20.2097,1.6891
485.397,-1.214,234.316,179.9854,20.2093,1.6894
485.405,-1.215,234.311,179.9857,20.2089,1.6897
485.414,-1.215,234.305,179.9861,20.2085,1.6901
485.423,-1.215,234.299,179.9865,20.2079,1.6905
485.434,-1.216,234.292,179.9869,20.2074,1.691
485.447,-1.216,234.284,179.9875,20.2067,1.6915
485.46,-1.217,234.275,179.988,20.206,1.6921
485.475,-1.217,234.265,179.9886,20.2052,1.6928
485.491,-1.218,234.254,179.9893,20.2043,1.6935
485.509,-1.219,234.242,179.9901,20.2034,1.6943
485.529,-1.22,234.229,179.9909,20.2023,1.6951
485.55,-1.22,234.216,179.9918,20.2012,1.696
485.573,-1.221,234.201,179.9927,20.2,1.697
485.597,-1.222,234.184,179.9938,20.1987,1.6981
485.624,-1.223,234.167,179.9949,20.1973,1.6993
485.652,-1.224,234.148,179.996,20.1958,1.7005
485.682,-1.226,234.129,179.9973,20.1942,1.7018
485.714,-1.227,234.107,179.9986,20.1925,1.7032
485.749,-1.228,234.085,-179.9999,20.1906,1.7047
485.785,-1.23,234.061,-179.9984,20.1887,1.7063
485.823,-1.231,234.036,-179.9968,20.1867,1.708
485.864,-1.233,234.009,-179.9951,20.1845,1.7098
485.907,-1.234,233.98,-179.9933,20.1822,1.7117
485.952,-1.236,233.951,-179.9914,20.1798,1.7136
486.0,-1.238,233.919,-179.9894,20.1772,1.7157
486.05,-1.24,233.886,-179.9873,20.1746,1.7179
486.103,-1.242,233.851,-179.9851,20.1718,1.7202
486.158,-1.244,233.815,-179.9828,20.1688,1.7226
486.216,-1.247,233.777,-179.9804,20.1657,1.7252
486.277,-1.249,233.737,-179.9779,20.1625,1.7278
486.34,-1.252,233.696,-179.9752,20.1592,1.7306
486.406,-1.254,233.652,-179.9725,20.1557,1.7335
486.474,-1.257,233.607,-179.9696,20.152,1.7365
