X,Y,Z,Rx,Ry,Rz,time(s),time(ms)
485.364,-1.213,234.338,179.984,20.2111,1.6879,0,0
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.04004004,40.04004
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.08008008,80.08008
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.12012012,120.12012
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.16016016,160.16016
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.2002002,200.2002
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.24024024,240.24024
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.28028028,280.28028
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.32032032,320.32032
485.365,-1.213,234.338,179.984,20.2111,1.6879,0.36036036,360.36036
485.365,-1.213,234.337,179.984,20.2111,1.6879,0.4004004,400.4004
485.365,-1.213,234.337,179.984,20.211,1.6879,0.44044044,440.44044
485.365,-1.213,234.337,179.9841,20.211,1.688,0.48048048,480.48048
485.366,-1.213,234.337,179.9841,20.211,1.688,0.520520521,520.520521
485.366,-1.213,234.337,179.9841,20.211,1.688,0.560560561,560.560561
485.367,-1.213,234.336,179.9841,20.211,1.688,0.600600601,600.600601
485.367,-1.213,234.336,179.9841,20.2109,1.688,0.640640641,640.640641
485.368,-1.213,234.335,179.9842,20.2109,1.6881,0.680680681,680.680681
485.369,-1.213,234.335,179.9842,20.2109,1.6881,0.720720721,720.720721
485.369,-1.213,234.334,179.9842,20.2108,1.6881,0.760760761,760.760761
485.37,-1.213,234.334,179.9843,20.2108,1.6882,0.800800801,800.800801
485.371,-1.213,234.333,179.9843,20.2107,1.6882,0.840840841,840.840841
485.372,-1.213,234.333,179.9843,20.2107,1.6883,0.880880881,880.880881
485.374,-1.213,234.332,179.9844,20.2106,1.6883,0.920920921,920.920921
485.375,-1.213,234.331,179.9845,20.2105,1.6884,0.960960961,960.960961
485.376,-1.213,234.33,179.9845,20.2105,1.6884,1.001001001,1001.001001
485.378,-1.214,234.329,179.9846,20.2104,1.6885,1.041041041,1041.041041
485.379,-1.214,234.328,179.9846,20.2103,1.6886,1.081081081,1081.081081
485.381,-1.214,234.327,179.9847,20.2102,1.6886,1.121121121,1121.121121
485.383,-1.214,234.326,179.9848,20.2101,1.6887,1.161161161,1161.161161
485.385,-1.214,234.324,179.9849,20.21,1.6888,1.201201201,1201.201201
485.387,-1.214,234.323,179.985,20.2099,1.6889,1.241241241,1241.241241
485.389,-1.214,234.321,179.9851,20.2097,1.689,1.281281281,1281.281281
485.392,-1.214,234.32,179.9852,20.2096,1.6891,1.321321321,1321.321321
485.394,-1.214,234.318,179.9853,20.2095,1.6892,1.361361361,1361.361361
485.397,-1.214,234.316,179.9854,20.2093,1.6894,1.401401401,1401.401401
485.4,-1.214,234.314,179.9855,20.2092,1.6895,1.441441441,1441.441441
485.403,-1.215,234.312,179.9856,20.209,1.6896,1.481481481,1481.481481
485.406,-1.215,234.31,179.9858,20.2088,1.6898,1.521521522,1521.521522
485.41,-1.215,234.308,179.9859,20.2087,1.6899,1.561561562,1561.561562
485.413,-1.215,234.305,179.9861,20.2085,1.6901,1.601601602,1601.601602
485.417,-1.215,234.303,179.9862,20.2083,1.6902,1.641641642,1641.641642
485.421,-1.215,234.3,179.9864,20.2081,1.6904,1.681681682,1681.681682
485.425,-1.215,234.298,179.9866,20.2078,1.6906,1.721721722,1721.721722
485.43,-1.216,234.295,179.9867,20.2076,1.6908,1.761761762,1761.761762
485.434,-1.216,234.292,179.9869,20.2074,1.691,1.801801802,1801.801802
485.439,-1.216,234.289,179.9871,20.2071,1.6912,1.841841842,1841.841842
485.444,-1.216,234.286,179.9873,20.2069,1.6914,1.881881882,1881.881882
485.449,-1.216,234.282,179.9875,20.2066,1.6916,1.921921922,1921.921922
485.454,-1.217,234.279,179.9878,20.2063,1.6918,1.961961962,1961.961962
485.46,-1.217,234.275,179.988,20.206,1.6921,2.002002002,2002.002002
485.465,-1.217,234.271,179.9882,20.2057,1.6923,2.042042042,2042.042042
485.471,-1.217,234.267,179.9885,20.2054,1.6926,2.082082082,2082.082082
485.478,-1.217,234.263,179.9888,20.205,1.6929,2.122122122,2122.122122
485.484,-1.218,234.259,179.989,20.2047,1.6932,2.162162162,2162.162162
485.491,-1.218,234.254,179.9893,20.2043,1.6935,2.202202202,2202.202202
485.498,-1.218,234.25,179.9896,20.204,1.6938,2.242242242,2242.242242
485.505,-1.219,234.245,179.9899,20.2036,1.6941,2.282282282,2282.282282
485.512,-1.219,234.24,179.9902,20.2032,1.6944,2.322322322,2322.322322
485.52,-1.219,234.235,179.9905,20.2028,1.6947,2.362362362,2362.362362
485.528,-1.219,234.23,179.9909,20.2024,1.6951,2.402402402,2402.402402
485.536,-1.22,234.225,179.9912,20.2019,1.6954,2.442442442,2442.442442
485.545,-1.22,234.219,179.9916,20.2015,1.6958,2.482482482,2482.482482
485.554,-1.22,234.213,179.9919,20.201,1.6962,2.522522523,2522.522523
485.563,-1.221,234.207,179.9923,20.2005,1.6966,2.562562563,2562.562563
485.572,-1.221,234.201,179.9927,20.2,1.697,2.602602603,2602.602603
485.581,-1.222,234.195,179.9931,20.1995,1.6974,2.642642643,2642.642643
485.591,-1.222,234.188,179.9935,20.199,1.6978,2.682682683,2682.682683
485.601,-1.222,234.182,179.9939,20.1985,1.6983,2.722722723,2722.722723
485.612,-1.223,234.175,179.9944,20.1979,1.6987,2.762762763,2762.762763
485.623,-1.223,234.168,179.9948,20.1973,1.6992,2.802802803,2802.802803
485.634,-1.224,234.161,179.9953,20.1968,1.6997,2.842842843,2842.842843
485.645,-1.224,234.153,179.9957,20.1962,1.7002,2.882882883,2882.882883
485.657,-1.225,234.145,179.9962,20.1955,1.7007,2.922922923,2922.922923
485.668,-1.225,234.138,179.9967,20.1949,1.7012,2.962962963,2962.962963
485.681,-1.226,234.129,179.9972,20.1942,1.7018,3.003003003,3003.003003
485.693,-1.226,234.121,179.9978,20.1936,1.7023,3.043043043,3043.043043
485.706,-1.227,234.113,179.9983,20.1929,1.7029,3.083083083,3083.083083
485.719,-1.227,234.104,179.9989,20.1922,1.7035,3.123123123,3123.123123
485.733,-1.228,234.095,179.9994,20.1915,1.704,3.163163163,3163.163163
485.747,-1.228,234.086,180,20.1907,1.7047,3.203203203,3203.203203
485.761,-1.229,234.077,-179.9994,20.19,1.7053,3.243243243,3243.243243
485.776,-1.229,234.067,-179.9988,20.1892,1.7059,3.283283283,3283.283283
485.791,-1.23,234.057,-179.9982,20.1884,1.7066,3.323323323,3323.323323
485.806,-1.23,234.047,-179.9975,20.1876,1.7072,3.363363363,3363.363363
485.821,-1.231,234.037,-179.9969,20.1868,1.7079,3.403403403,3403.403403
485.837,-1.232,234.026,-179.9962,20.1859,1.7086,3.443443443,3443.443443
485.854,-1.232,234.016,-179.9955,20.185,1.7093,3.483483483,3483.483483
485.87,-1.233,234.005,-179.9948,20.1842,1.7101,3.523523524,3523.523524
485.887,-1.234,233.993,-179.9941,20.1832,1.7108,3.563563564,3563.563564
485.905,-1.234,233.982,-179.9934,20.1823,1.7116,3.603603604,3603.603604
485.923,-1.235,233.97,-179.9927,20.1814,1.7123,3.643643644,3643.643644
485.941,-1.236,233.958,-179.9919,20.1804,1.7131,3.683683684,3683.683684
485.959,-1.237,233.946,-179.9911,20.1794,1.7139,3.723723724,3723.723724
485.978,-1.237,233.934,-179.9903,20.1784,1.7148,3.763763764,3763.763764
485.997,-1.238,233.921,-179.9895,20.1774,1.7156,3.803803804,3803.803804
486.017,-1.239,233.908,-179.9887,20.1763,1.7165,3.843843844,3843.843844
486.037,-1.24,233.895,-179.9879,20.1753,1.7173,3.883883884,3883.883884
486.058,-1.24,233.881,-179.987,20.1742,1.7182,3.923923924,3923.923924
486.079,-1.241,233.868,-179.9861,20.1731,1.7192,3.963963964,3963.963964
486.1,-1.242,233.854,-179.9853,20.1719,1.7201,4.004004004,4004.004004
486.122,-1.243,233.839,-179.9844,20.1708,1.721,4.044044044,4044.044044
486.144,-1.244,233.825,-179.9834,20.1696,1.722,4.084084084,4084.084084
486.166,-1.245,233.81,-179.9825,20.1684,1.723,4.124124124,4124.124124
486.189,-1.246,233.795,-179.9815,20.1672,1.724,4.164164164,4164.164164
486.212,-1.247,233.779,-179.9806,20.1659,1.725,4.204204204,4204.204204
486.236,-1.247,233.764,-179.9796,20.1647,1.726,4.244244244,4244.244244
486.26,-1.248,233.748,-179.9786,20.1634,1.7271,4.284284284,4284.284284
486.285,-1.249,233.732,-179.9775,20.1621,1.7282,4.324324324,4324.324324
486.31,-1.25,233.715,-179.9765,20.1608,1.7293,4.364364364,4364.364364
486.335,-1.251,233.698,-179.9754,20.1594,1.7304,4.404404404,4404.404404
486.361,-1.252,233.681,-179.9743,20.158,1.7315,4.444444444,4444.444444
486.388,-1.253,233.664,-179.9732,20.1566,1.7327,4.484484484,4484.484484
486.415,-1.255,233.646,-179.9721,20.1552,1.7338,4.524524525,4524.524525
486.442,-1.256,233.628,-179.971,20.1537,1.735,4.564564565,4564.564565
486.469,-1.257,233.61,-179.9698,20.1523,1.7362,4.604604605,4604.604605
486.498,-1.258,233.592,-179.9687,20.1508,1.7375,4.644644645,4644.644645
486.526,-1.259,233.573,-179.9675,20.1492,1.7387,4.684684685,4684.684685
486.555,-1.26,233.554,-179.9662,20.1477,1.74,4.724724725,4724.724725
486.585,-1.261,233.534,-179.965,20.1461,1.7413,4.764764765,4764.764765
486.615,-1.262,233.514,-179.9638,20.1445,1.7426,4.804804805,4804.804805
486.645,-1.264,233.494,-179.9625,20.1429,1.7439,4.844844845,4844.844845
486.676,-1.265,233.474,-179.9612,20.1412,1.7453,4.884884885,4884.884885
486.708,-1.266,233.453,-179.9599,20.1396,1.7467,4.924924925,4924.924925
486.74,-1.267,233.432,-179.9586,20.1379,1.748,4.964964965,4964.964965
486.772,-1.269,233.411,-179.9572,20.1362,1.7495,5.005005005,5005.005005
486.805,-1.27,233.389,-179.9558,20.1344,1.7509,5.045045045,5045.045045
486.838,-1.271,233.367,-179.9544,20.1326,1.7524,5.085085085,5085.085085
486.872,-1.273,233.345,-179.953,20.1308,1.7538,5.125125125,5125.125125
486.906,-1.274,233.323,-179.9516,20.129,1.7553,5.165165165,5165.165165
486.941,-1.275,233.3,-179.9501,20.1271,1.7569,5.205205205,5205.205205
486.977,-1.277,233.276,-179.9487,20.1253,1.7584,5.245245245,5245.245245
487.012,-1.278,233.253,-179.9472,20.1233,1.76,5.285285285,5285.285285
487.049,-1.28,233.229,-179.9457,20.1214,1.7615,5.325325325,5325.325325
487.086,-1.281,233.205,-179.9441,20.1194,1.7632,5.365365365,5365.365365
487.123,-1.283,233.18,-179.9426,20.1175,1.7648,5.405405405,5405.405405
487.161,-1.284,233.155,-179.941,20.1154,1.7664,5.445445445,5445.445445
