S,L,U,R,B,T
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.3503038932888986e-05,-0.6775183339112862,-0.7170797580461842,5.346759319707999e-05,-1.33412159820266,0.01865455485006475
-1.450285980213186e-05,-0.6775175200005148,-0.717080671503628,5.2345006006074925e-05,-1.3341188566585613,0.018656205197816654
-1.450285980213186e-05,-0.6775175200005148,-0.717080671503628,5.2345006006074925e-05,-1.3341188566585613,0.018656205197816654
-1.532520736927692e-05,-0.6775168458215817,-0.7170814229143154,5.142189493966536e-05,-1.3341165931925225,0.018657562323353815
-1.532520736927692e-05,-0.6775168458215817,-0.7170814229143154,5.142189493966536e-05,-1.3341165931925225,0.018657562323353815
-1.6505203468341045e-05,-0.6775158785007952,-0.7170825011734704,5.0097308123511973e-05,-1.3341133453336724,0.01865950968303127
-1.6505203468341045e-05,-0.6775158785007952,-0.7170825011734704,5.0097308123511973e-05,-1.3341133453336724,0.01865950968303127
-1.8106258378525036e-05,-0.6775145659890917,-0.7170839641848257,4.8300054028744486e-05,-1.3341089385210188,0.018662151936151096
-1.9084358601113894e-05,-0.6775137640464751,-0.7170848578811213,4.720207785627067e-05,-1.334106246310536,0.018663766132527015
-2.019127811356352e-05,-0.6775128565796696,-0.7170858693502304,4.5959493484290864e-05,-1.3341031995508803,0.018665592925196706
-2.1434799751891426e-05,-0.677511837114303,-0.7170870056426003,4.4563555326258624e-05,-1.334099776787067,0.018667645168473742
-2.28226774864606e-05,-0.677510699290012,-0.7170882738439036,4.300555555903827e-05,-1.334095956672483,0.01866993566298447
-2.436263384499948e-05,-0.6775094367715299,-0.7170896810111576,4.127682097382591e-05,-1.3340917179462695,0.01867247715822854
-2.606235988041326e-05,-0.6775080432486478,-0.717091234172705,3.93687129378287e-05,-1.3340870394333315,0.018675282352609165
