X,Y,Z,Rx,Ry,Rz,time
485.271,-1.213,234.314,179.9839,20.224,1.69,0.0
485.279,-1.213,234.315,179.9839,20.223,1.69,61.7
485.279,-1.213,234.315,179.9839,20.223,1.69,123.9
485.286,-1.213,234.317,179.9839,20.222,1.69,185.9
485.294,-1.213,234.318,179.9838,20.221,1.69,247.4
485.301,-1.213,234.319,179.9838,20.22,1.69,310.7
485.301,-1.213,234.319,179.9838,20.22,1.69,372.8
485.309,-1.213,234.32,179.9838,20.2189,1.6899,435.6
485.319,-1.213,234.33,179.9837,20.2172,1.6899,498.5
485.327,-1.213,234.331,179.9842,20.2162,1.6879,559.4
485.334,-1.213,234.333,179.9841,20.2152,1.6879,622.7
485.334,-1.213,234.333,179.9841,20.2152,1.6879,685.7
485.341,-1.213,234.334,179.9841,20.2141,1.6879,748.6
485.349,-1.213,234.335,179.9841,20.2131,1.6879,810.6
485.356,-1.213,234.336,179.984,20.2121,1.6879,873.3
485.364,-1.213,234.338,179.984,20.2111,1.6879,933.9
485.364,-1.213,234.338,179.984,20.2111,1.6879,996.4
485.364,-1.213,234.338,179.984,20.2111,1.6879,1058.5
485.371,-1.213,234.339,179.984,20.2101,1.6878,1121.4
485.371,-1.211,234.325,179.9851,20.2115,1.6875,1184.0
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1245.4
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1307.3
485.386,-1.212,234.328,179.9846,20.2095,1.6895,1368.9
485.383,-1.217,234.319,179.9846,20.2102,1.6888,1431.8
485.383,-1.217,234.319,179.9846,20.2102,1.6888,1492.7
485.391,-1.217,234.32,179.9846,20.2092,1.6888,1554.6
485.394,-1.21,234.316,179.9857,20.2099,1.6891,1617.7
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1679.8
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1741.6
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1804.5
485.406,-1.215,234.31,179.9863,20.2085,1.6901,1867.3
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1928.4
485.421,-1.215,234.299,179.9863,20.208,1.6901,1990.7
485.421,-1.221,234.299,179.9863,20.208,1.6894,2052.7
485.428,-1.214,234.3,179.9869,20.2069,1.6917,2113.8
485.428,-1.214,234.3,179.9869,20.2069,1.6917,2176.6
485.436,-1.22,234.301,179.9868,20.2059,1.691,2238.9
485.451,-1.213,234.29,179.9875,20.2053,1.6933,2301.3
485.459,-1.219,234.278,179.9875,20.2058,1.6926,2363.7
485.463,-1.217,234.271,179.9886,20.2054,1.6922,2426.5
485.474,-1.217,234.267,179.9886,20.2052,1.6922,2488.8
485.489,-1.216,234.257,179.9892,20.2046,1.6939,2550.8
485.489,-1.216,234.257,179.9892,20.2046,1.6939,2613.0
485.504,-1.215,234.246,179.9903,20.204,1.6935,2674.0
485.516,-1.214,234.239,179.9909,20.2026,1.6951,2736.1
485.531,-1.22,234.229,179.9904,20.2021,1.6964,2797.8
485.546,-1.219,234.218,179.9915,20.2015,1.6961,2858.7
485.561,-1.224,234.207,179.9921,20.2009,1.697,2920.8
485.568,-1.224,234.208,179.992,20.1999,1.697,2982.9
485.573,-1.229,234.201,179.992,20.1996,1.6963,3044.2
485.598,-1.221,234.187,179.9937,20.1987,1.6983,3106.6
485.621,-1.226,234.177,179.9943,20.1971,1.6992,3168.2
485.633,-1.225,234.157,179.995,20.1972,1.7008,3229.3
485.655,-1.229,234.148,179.996,20.1956,1.6997,3291.4
485.66,-1.222,234.14,179.9966,20.1953,1.7021,3354.2
485.667,-1.222,234.141,179.9966,20.1942,1.7021,3415.9
485.69,-1.227,234.119,179.9973,20.1941,1.703,3478.7
485.713,-1.232,234.109,179.9978,20.1925,1.7039,3541.4
485.728,-1.223,234.098,180.0,20.1919,1.7039,3603.5
485.755,-1.228,234.081,-179.9994,20.1899,1.7048,3666.1
485.77,-1.227,234.07,-179.9988,20.1894,1.7065,3727.8
485.785,-1.233,234.059,-179.9988,20.1888,1.7057,3789.1
485.785,-1.233,234.059,-179.9988,20.1888,1.7057,3851.1
485.815,-1.231,234.038,-179.9971,20.1876,1.707,3912.1
485.842,-1.236,234.021,-179.9965,20.1857,1.7079,3973.4
485.879,-1.24,234.0,-179.9953,20.1835,1.7105,4036.4
485.91,-1.237,233.979,-179.9936,20.1823,1.7117,4097.3
485.947,-1.24,233.958,-179.992,20.1801,1.7123,4160.1
485.974,-1.238,233.941,-179.9903,20.1781,1.7136,4222.1
485.989,-1.237,233.93,-179.9897,20.1776,1.7152,4284.4
485.997,-1.237,233.931,-179.9897,20.1765,1.7152,4347.0
486.019,-1.234,233.909,-179.988,20.1764,1.7164,4408.6
486.061,-1.238,233.881,-179.9868,20.1739,1.719,4471.5
486.091,-1.236,233.859,-179.9851,20.1727,1.7203,4533.1
486.126,-1.247,233.843,-179.9846,20.1697,1.7205,4595.0
486.156,-1.245,233.821,-179.9833,20.1685,1.7237,4657.7
486.201,-1.241,233.789,-179.9805,20.1668,1.7246,4719.8
486.236,-1.244,233.76,-179.9789,20.1653,1.7252,4782.6
486.273,-1.242,233.739,-179.9777,20.1631,1.7284,4844.5
486.285,-1.248,233.733,-179.9777,20.1617,1.7277,4906.0
486.289,-1.247,233.725,-179.9766,20.1614,1.7273,4967.9
486.342,-1.251,233.694,-179.9754,20.1586,1.7299,5031.1
486.387,-1.253,233.662,-179.9731,20.1568,1.7321,5094.9
486.429,-1.257,233.634,-179.9719,20.1543,1.7346,5156.8
486.474,-1.254,233.601,-179.9696,20.1525,1.7375,5218.5
486.524,-1.263,233.575,-179.968,20.149,1.7373,5281.5
486.576,-1.26,233.543,-179.9657,20.1462,1.7402,5344.3
486.622,-1.262,233.511,-179.9634,20.1444,1.7424,5406.5
486.664,-1.266,233.483,-179.9622,20.1419,1.7449,5468.8
486.664,-1.266,233.483,-179.9622,20.1419,1.7449,5532.0
486.706,-1.27,233.455,-179.961,20.1394,1.7474,5594.1
486.763,-1.265,233.416,-179.9577,20.1362,1.7499,5655.1
486.823,-1.274,233.373,-179.9554,20.1339,1.7514,5717.1
486.88,-1.276,233.334,-179.9531,20.1308,1.7536,5780.6
486.944,-1.278,233.297,-179.9503,20.1266,1.7574,5841.8
487.027,-1.28,233.244,-179.9474,20.1227,1.7611,5903.5
487.079,-1.282,233.213,-179.9451,20.1199,1.7633,5965.7
487.136,-1.283,233.174,-179.9418,20.1167,1.7651,6027.8
487.193,-1.286,233.135,-179.9395,20.1136,1.7673,6090.3
487.235,-1.29,233.107,-179.9383,20.1111,1.7698,6150.2
487.243,-1.288,233.095,-179.9372,20.1115,1.7694,6212.0
487.292,-1.293,233.068,-179.9361,20.1079,1.7719,6274.5
487.375,-1.293,233.015,-179.9321,20.1039,1.7754,6337.1
487.447,-1.294,232.966,-179.9292,20.1002,1.7791,6400.0
487.519,-1.302,232.916,-179.9264,20.0965,1.7822,6462.1
487.614,-1.308,232.857,-179.9225,20.0912,1.7849,6538.3
487.686,-1.31,232.807,-179.9196,20.0875,1.7886,6599.3
487.753,-1.312,232.765,-179.9167,20.0841,1.7924,6661.0
487.825,-1.313,232.716,-179.9139,20.0804,1.7962,6722.0
487.9,-1.315,232.675,-179.9106,20.0759,1.7979,6784.7
487.954,-1.316,232.627,-179.9077,20.0735,1.8017,6846.7
487.969,-1.315,232.616,-179.9066,20.0729,1.8013,6908.2
488.022,-1.318,232.585,-179.9048,20.0701,1.8055,6969.3
488.105,-1.318,232.529,-179.9009,20.065,1.8089,7031.4
488.192,-1.326,232.469,-179.898,20.0607,1.8119,7093.0
488.282,-1.326,232.417,-179.8941,20.0557,1.8153,7154.7
488.362,-1.333,232.356,-179.8906,20.0524,1.8199,7216.7
488.464,-1.34,232.298,-179.8868,20.046,1.8226,7277.7
488.543,-1.34,232.236,-179.8828,20.0427,1.826,7339.1
488.638,-1.341,232.177,-179.8794,20.0374,1.8313,7400.3
488.725,-1.342,232.13,-179.8755,20.0315,1.8347,7461.3
488.804,-1.355,232.068,-179.8726,20.0283,1.837,7522.5
488.894,-1.356,232.016,-179.8692,20.0232,1.8423,7584.3
488.921,-1.354,231.999,-179.8676,20.0213,1.8436,7646.3
488.936,-1.353,231.988,-179.867,20.0207,1.8452,7707.5
489.038,-1.359,231.917,-179.8624,20.0158,1.8494,7769.5
489.17,-1.363,231.838,-179.8569,20.0082,1.8533,7831.5
489.268,-1.363,231.771,-179.8524,20.0025,1.8582,7894.1
489.378,-1.376,231.701,-179.849,19.9966,1.8621,7956.2
489.479,-1.375,231.63,-179.8445,19.9916,1.8671,8018.6
489.589,-1.381,231.56,-179.84,19.9857,1.8713,8080.8
489.713,-1.386,231.479,-179.835,19.9791,1.8771,8142.6
489.815,-1.392,231.408,-179.8304,19.9742,1.8814,8204.8
489.924,-1.392,231.338,-179.826,19.9682,1.8863,8266.1
490.026,-1.397,231.266,-179.8215,19.9632,1.8905,8327.3
490.075,-1.394,231.24,-179.8193,19.9597,1.8933,8389.6
490.075,-1.394,231.24,-179.8193,19.9597,1.8933,8451.5
490.199,-1.399,231.159,-179.8142,19.9531,1.8991,8514.3
490.313,-1.405,231.081,-179.8097,19.9468,1.9033,8576.6
490.437,-1.41,231.001,-179.8047,19.9402,1.9091,8638.5
490.554,-1.416,230.918,-179.7996,19.9347,1.9149,8700.5
490.678,-1.42,230.838,-179.794,19.9281,1.9187,8763.3
490.817,-1.425,230.746,-179.7884,19.9209,1.9261,8825.2
490.938,-1.43,230.67,-179.7834,19.9136,1.9319,8887.0
491.062,-1.442,230.589,-179.779,19.907,1.9353,8949.9
491.179,-1.441,230.507,-179.7739,19.9015,1.9418,9011.8
491.303,-1.447,230.426,-179.7688,19.8949,1.9476,9073.9
491.45,-1.457,230.336,-179.7628,19.8866,1.9522,9136.6
491.45,-1.457,230.336,-179.7628,19.8866,1.9522,9198.4
491.529,-1.465,230.287,-179.76,19.8819,1.9552,9260.0
491.66,-1.463,230.195,-179.7539,19.8757,1.9612,9321.2
491.804,-1.474,230.095,-179.7482,19.8682,1.9679,9382.9
491.95,-1.471,230.005,-179.7416,19.8599,1.9755,9443.9
492.093,-1.481,229.906,-179.7355,19.8524,1.9801,9505.8
492.265,-1.485,229.801,-179.7293,19.8433,1.989,9568.3
492.409,-1.496,229.702,-179.7233,19.8358,1.9936,9630.7
492.552,-1.493,229.603,-179.7166,19.8282,2.0012,9691.8
492.698,-1.504,229.513,-179.711,19.8199,2.0078,9754.5
492.852,-1.508,229.41,-179.7044,19.8121,2.0147,9817.4
493.017,-1.518,229.301,-179.6978,19.8029,2.0208,9879.6
493.161,-1.523,229.202,-179.6922,19.7954,2.0281,9941.7
493.307,-1.528,229.112,-179.6862,19.7871,2.0333,10003.6
493.322,-1.533,229.101,-179.6856,19.7865,2.0342,10066.4
493.378,-1.536,229.062,-179.6834,19.7834,2.0362,10127.9
493.54,-1.539,228.961,-179.6762,19.7745,2.0447,10189.3
493.72,-1.542,228.842,-179.6686,19.7647,2.0511,10250.3
493.881,-1.553,228.727,-179.6624,19.7573,2.0592,10312.1
494.069,-1.561,228.609,-179.6542,19.7464,2.0664,10373.2
494.237,-1.565,228.496,-179.6476,19.738,2.0732,10435.7
494.403,-1.569,228.387,-179.6404,19.7287,2.0816,10497.2
494.563,-1.579,228.286,-179.6339,19.7198,2.0877,10558.9
494.732,-1.583,228.172,-179.6267,19.7113,2.096,10620.7
494.927,-1.591,228.042,-179.6185,19.7009,2.1032,10683.5
495.092,-1.603,227.933,-179.6125,19.6917,2.1112,10746.0
495.26,-1.606,227.82,-179.6048,19.6832,2.1176,10807.2
495.426,-1.611,227.711,-179.5988,19.6739,2.1262,10868.3
495.515,-1.612,227.646,-179.5938,19.6702,2.129,10930.1
495.542,-1.617,227.629,-179.5933,19.6683,2.1299,10992.6
495.71,-1.621,227.516,-179.5862,19.6598,2.1382,11053.7
495.908,-1.63,227.395,-179.578,19.6486,2.1453,11115.6
496.103,-1.64,227.264,-179.5704,19.6381,2.1544,11179.3
496.297,-1.642,227.134,-179.5612,19.6276,2.1618,11241.3
496.491,-1.651,227.007,-179.5535,19.6182,2.1709,11302.3
496.686,-1.661,226.876,-179.5458,19.6077,2.18,11365.5
496.925,-1.67,226.727,-179.5367,19.5939,2.1901,11427.2
497.12,-1.673,226.596,-179.528,19.5834,2.1994,11490.8
497.317,-1.682,226.461,-179.5198,19.5737,2.2065,11552.7
497.507,-1.692,226.339,-179.5122,19.5635,2.2155,11615.5
497.746,-1.707,226.189,-179.5031,19.5497,2.2249,11678.4
497.941,-1.71,226.059,-179.4944,19.5391,2.2342,11741.1
498.138,-1.714,225.924,-179.4863,19.5293,2.2418,11803.3
498.328,-1.725,225.801,-179.4787,19.5191,2.2508,11864.2
498.429,-1.727,225.744,-179.4745,19.5126,2.2554,11925.3
498.429,-1.727,225.744,-179.4745,19.5126,2.2554,11987.4
498.676,-1.741,225.582,-179.4648,19.4991,2.2663,12050.2
498.903,-1.744,225.439,-179.4551,19.4866,2.275,12111.2
499.134,-1.752,225.275,-179.4449,19.4752,2.2846,12173.8
499.353,-1.763,225.13,-179.4368,19.4638,2.295,12236.0
499.57,-1.772,224.991,-179.4277,19.4515,2.305,12297.9
499.826,-1.787,224.826,-179.4175,19.4378,2.3138,12360.0
500.042,-1.791,224.672,-179.4084,19.427,2.3245,12422.9
500.262,-1.801,224.528,-179.3992,19.4155,2.3344,12484.5
