I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
2.0,2.0,0.0,6004.0,158.8,0.0,0.0,0.0
2.0,2.0,0.0,6047.0,202.4,0.0,0.0,0.0
2.0,2.0,0.0,6084.0,238.9,0.0,0.0,0.0
2.0,2.0,0.0,6124.0,278.9,0.0,0.0,0.0
2.0,2.0,0.0,6164.0,318.8,0.0,0.0,0.0
2.0,2.0,0.0,6204.0,358.9,0.0,0.0,0.0
2.0,2.0,0.0,6244.0,398.9,0.0,0.0,0.0
2.0,2.0,0.0,6284.0,439.3,0.0,0.0,0.0
2.0,2.0,0.0,6324.0,479.1,0.0,0.0,0.0
2.0,2.0,0.0,6364.0,519.5,0.0,0.0,0.0
2.0,2.0,0.0,6404.0,559.5,0.0,0.0,0.0
2.0,2.0,0.0,6450.0,605.6,0.0,0.0,0.0
2.0,2.0,0.0,6484.0,639.0,0.0,0.0,0.0
2.0,2.0,0.0,6525.0,679.9,0.0,0.0,0.0
2.0,2.0,0.0,6565.0,719.8,0.0,0.0,0.0
2.0,2.0,0.0,6605.0,760.0,0.0,0.0,0.0
2.0,2.0,0.0,6645.0,800.1,0.0,0.0,0.0
2.0,2.0,0.0,6686.0,841.0,0.0,0.0,0.0
2.0,2.0,0.0,6726.0,881.1,0.0,0.0,0.0
2.0,2.0,0.0,6766.0,920.8,0.0,0.0,0.0
2.0,2.0,0.0,6806.0,961.3,0.0,0.0,0.0
2.0,2.0,0.0,6846.0,1001.6,0.0,0.0,0.0
2.0,2.0,0.0,6887.0,1041.7,0.0,0.0,0.0
2.0,2.0,0.0,6927.0,1081.7,0.0,0.0,0.0
2.0,2.0,0.0,6966.0,1121.5,0.0,0.0,0.0
2.0,2.0,0.0,7006.0,1161.6,0.0,0.0,0.0
2.0,2.0,0.0,7047.0,1202.0,0.0,0.0,0.0
2.0,2.0,0.0,7087.0,1241.9,0.0,0.0,0.0
2.0,2.0,0.0,7127.0,1282.2,0.0,0.0,0.0
2.0,2.0,0.0,7167.0,1322.0,0.0,0.0,0.0
2.0,2.0,0.0,7207.0,1362.4,0.0,0.0,0.0
2.0,2.0,0.0,7247.0,1402.2,0.0,0.0,0.0
2.0,2.0,0.0,7287.0,1442.4,0.0,0.0,0.0
