S,L,U,R,B,T
-0.3488934911768435,0.20472600818893938,-0.7949384198432711,-1.3875476255754364,0.588640564064226,1.8004562175273655
-0.3487939514787913,0.2046865483109433,-0.7949880762706044,-1.3876307447666418,-0.5885872396301796,1.800455914641137
-0.3486948655077673,0.2046462824887192,-0.7950383475168524,-1.3877138543301286,-0.5885331114740879,1.800455750713442
-0.3485954807799428,0.20460564818287397,-0.7950888621950283,-1.3877973706051532,-0.5884784879769813,1.8004556352625403
-0.34849608788822006,0.20456502295155568,-0.7951393630318544,-1.3878808943724505,-0.5884238605991735,1.8004555194634755
-0.3483966878147096,0.2045244080688279,-0.7951898491599889,-1.3879644242850298,-0.5883692309994876,1.8004554031533497
-0.3482972805639094,0.20448380354063356,-0.795240320575808,-1.3880479603396387,-0.5883145991833181,1.8004552863346002
-0.3481978661370181,0.2044432093686411,-0.7952907772785985,-1.3881315025375662,-0.5882599651504784,1.8004551690102297
-0.3480984445352241,0.20440262555450336,-0.7953412192676583,-1.3882150508801145,-0.588205328900764,1.8004550511832413
-0.34799901575971615,0.20436205209987524,-0.795391646542283,-1.3882986053685884,-0.5881506904339708,1.8004549328566413
-0.34789957981168396,0.20432148900641084,-0.795442059101769,-1.3883821660042919,-0.5880960497498952,1.8004548140334355
-0.3478001366923182,0.20428093627576357,-0.7954924569454138,-1.3884657327885306,-0.5880414068483343,1.8004546947166322
-0.3477006864028097,0.20424039390958823,-0.7955428400725133,-1.3885493057226104,-0.5879867617290859,1.8004545749092404
-0.34760122894435047,0.20419986190953868,-0.7955932084823644,-1.3886328848078373,-0.5879321143919488,1.8004544546142696
-0.34750176431813323,0.20415934027726945,-0.7956435621742634,-1.3887164700455188,-0.5878774648367218,1.8004543338347314
-0.3474022925253514,0.204118829014434,-0.7956939011475075,-1.3888000614369622,-0.5878228130632047,1.8004542125736378
-0.3473028135671991,0.20407832812268692,-0.7957442254013932,-1.3888836589834759,-0.5877681590711981,1.8004540908340025
-0.34720332744487087,0.20403783760368308,-0.7957945349352162,-1.3889672626863683,-0.5877135028605027,1.8004539686188394
-0.3471038341595626,0.20399735745907607,-0.7958448297482738,-1.3890508725469484,-0.5876588444309206,1.800453845931164
-0.34700433371247047,0.20395688769052073,-0.7958951098398629,-1.3891344885665275,-0.5876041837822539,1.800453722773995
-0.34690482610479173,0.20391642829967122,-0.7959453752092793,-1.389218110746415,-0.5875495209143057,1.8004535991503483
-0.34680531133772413,0.2038759792881822,-0.79599562585582,-1.389301739087922,-0.5874948558268795,1.8004534750632437
-0.34670578941246627,0.20383554065770726,-0.796045861778782,-1.3893853735923607,-0.58744018851978,1.8004533505157014
-0.3466062603302173,0.20379511240990159,-0.7960960829774614,-1.3894690142610429,-0.5873855189928117,1.8004532255107426
-0.3465067240921774,0.20375469454641987,-0.796146289451155,-1.3895526610952822,-0.5873308472457803,1.8004531000513904
-0.3464071806995472,0.2037142870689168,-0.7961964811991588,-1.3896363140963914,-0.5872761732784922,1.8004529741406676
-0.34630763015352833,0.20367388997904617,-0.7962466582207697,-1.3897199732656842,-0.5872214970907542,1.8004528477815986
-0.346208072455323,0.20363350327846305,-0.7962968205152849,-1.3898036386044763,-0.5871668186823739,1.8004527209772108
-0.3461085076061342,0.20359312696882179,-0.7963469680820006,-1.3898873101140818,-0.5871121380531594,1.8004525937305296
-0.3460089356071655,0.20355276105177797,-0.7963971009202125,-1.3899709877958175,-0.5870574552029195,1.8004524660445838
-0.34590935645962195,0.20351240552898464,-0.7964472190292191,-1.3900546716509992,-0.587002770131464,1.8004523379224031
-0.34580977016470793,0.2034720604020982,-0.7964973224083152,-1.3901383616809442,-0.5869480828386026,1.8004522093670172
-0.34571017672363014,0.2034317256727726,-0.7965474110567984,-1.39022205788697,-0.5868933933241464,1.8004520803814583
-0.3456105761375948,0.20339140134266218,-0.796597484973965,-1.3903057602703943,-0.5868387015879067,1.8004519509687582
-0.3455109684078097,0.2033510874134225,-0.7966475441591119,-1.390389468832537,-0.5867840076296958,1.800451821131952
-0.34541135353548263,0.2033107838867083,-0.7966975886115348,-1.3904731835747162,-0.5867293114493263,1.8004516908740735
-0.34531173152182265,0.2032704907641746,-0.7967476183305305,-1.390556904498252,-0.5866746130466115,1.8004515601981586
-0.34521210236803956,0.2032302080474757,-0.7967976333153968,-1.390640631604466,-0.5866199124213655,1.8004514291072458
-0.3451124660753437,0.20318993573826669,-0.7968476335654293,-1.3907243648946783,-0.5865652095734032,1.8004512976043723
-0.34501282264494587,0.20314967383820326,-0.7968976190799243,-1.3908081043702112,-0.5865105045025395,1.8004511656925781
-0.34491317207805844,0.20310942234893906,-0.7969475898581795,-1.3908918500323864,-0.5864557972085908,1.8004510333749038
-0.3448135143758937,0.2030691812721301,-0.7969975458994908,-1.3909756018825274,-0.5864010876913737,1.8004509006543912
-0.3447138495396652,0.2030289506094315,-0.7970474872031543,-1.3910593599219574,-0.5863463759507054,1.8004507675340828
-0.34461417757058704,0.2029887303624973,-0.797097413768468,-1.391143124152,-0.586291661986404,1.8004506340170225
-0.34451449846987375,0.2029485205329839,-0.7971473255947269,-1.391226894573981,-0.5862369457982879,1.8004505001062565
-0.3444148122387414,0.20290832112254506,-0.7971972226812291,-1.3913106711892242,-0.5861822273861765,1.8004503658048299
-0.3443151188784059,0.2028681321328365,-0.7972471050272707,-1.3913944539990566,-0.5861275067498898,1.8004502311157908
-0.34421541839008435,0.202827953565514,-0.7972969726321474,-1.3914782430048045,-0.5860727838892481,1.8004500960421874
-0.344115710774995,0.20278778542223164,-0.7973468254951572,-1.3915620382077942,-0.586018058804073,1.8004499605870696
