X,Y,Z,Rx,Ry,Rz,Time
1014.266,-97.183,-137.331,156.9213,-25.4574,-153.5024,0.0
1014.266,-97.123,-137.331,156.9214,-25.457,-153.5014,0.04
1014.266,-97.062,-137.33,156.9216,-25.4567,-153.5004,0.08
1014.266,-97.002,-137.33,156.9217,-25.4563,-153.4994,0.12
1014.266,-96.942,-137.329,156.9218,-25.456,-153.4985,0.16
1014.266,-96.881,-137.329,156.922,-25.4556,-153.4975,0.2
1014.267,-96.821,-137.329,156.9221,-25.4552,-153.4965,0.24
1014.267,-96.76,-137.328,156.9222,-25.4549,-153.4955,0.28
1014.267,-96.7,-137.328,156.9224,-25.4545,-153.4945,0.32
1014.267,-96.64,-137.327,156.9225,-25.4541,-153.4935,0.36
1014.267,-96.579,-137.327,156.9226,-25.4538,-153.4926,0.4
1014.267,-96.519,-137.327,156.9228,-25.4534,-153.4916,0.44
1014.267,-96.459,-137.326,156.9229,-25.4531,-153.4906,0.48
1014.267,-96.398,-137.326,156.923,-25.4527,-153.4896,0.52
1014.267,-96.338,-137.325,156.9232,-25.4523,-153.4886,0.56
1014.267,-96.277,-137.325,156.9233,-25.452,-153.4876,0.6
1014.267,-96.217,-137.325,156.9234,-25.4516,-153.4866,0.64
1014.267,-96.157,-137.324,156.9236,-25.4512,-153.4857,0.68
1014.268,-96.096,-137.324,156.9237,-25.4509,-153.4847,0.72
1014.268,-96.036,-137.323,156.9238,-25.4505,-153.4837,0.76
1014.268,-95.976,-137.323,156.924,-25.4502,-153.4827,0.8
1014.268,-95.915,-137.323,156.9241,-25.4498,-153.4817,0.84
1014.268,-95.855,-137.322,156.9242,-25.4494,-153.4807,0.88
1014.268,-95.795,-137.322,156.9244,-25.4491,-153.4798,0.92
1014.268,-95.734,-137.321,156.9245,-25.4487,-153.4788,0.96
1014.268,-95.674,-137.321,156.9246,-25.4483,-153.4778,1.0
1014.268,-95.613,-137.321,156.9248,-25.448,-153.4768,1.04
1014.268,-95.553,-137.32,156.9249,-25.4476,-153.4758,1.08
1014.268,-95.493,-137.32,156.925,-25.4473,-153.4748,1.12
1014.269,-95.432,-137.319,156.9252,-25.4469,-153.4738,1.16
1014.269,-95.372,-137.319,156.9253,-25.4465,-153.4729,1.2
1014.269,-95.312,-137.319,156.9254,-25.4462,-153.4719,1.24
1014.269,-95.251,-137.318,156.9256,-25.4458,-153.4709,1.28
1014.269,-95.191,-137.318,156.9257,-25.4454,-153.4699,1.32
1014.269,-95.13,-137.317,156.9258,-25.4451,-153.4689,1.36
1014.269,-95.07,-137.317,156.926,-25.4447,-153.4679,1.4000000000000001
1014.269,-95.01,-137.317,156.9261,-25.4444,-153.4669,1.44
1014.269,-94.949,-137.316,156.9262,-25.444,-153.466,1.48
1014.269,-94.889,-137.316,156.9264,-25.4436,-153.465,1.52
1014.269,-94.829,-137.315,156.9265,-25.4433,-153.464,1.56
1014.27,-94.768,-137.315,156.9266,-25.4429,-153.463,1.6
1014.27,-94.708,-137.315,156.9268,-25.4425,-153.462,1.6400000000000001
1014.27,-94.648,-137.314,156.9269,-25.4422,-153.461,1.68
1014.27,-94.587,-137.314,156.9271,-25.4418,-153.4601,1.72
1014.27,-94.527,-137.313,156.9272,-25.4415,-153.4591,1.76
1014.27,-94.466,-137.313,156.9273,-25.4411,-153.4581,1.8
1014.27,-94.406,-137.313,156.9275,-25.4407,-153.4571,1.84
1014.27,-94.346,-137.312,156.9276,-25.4404,-153.4561,1.8800000000000001
1014.27,-94.285,-137.312,156.9277,-25.44,-153.4551,1.92
1014.27,-94.225,-137.311,156.9279,-25.4397,-153.4541,1.96
1014.27,-94.165,-137.311,156.928,-25.4393,-153.4532,2.0
1014.27,-94.104,-137.311,156.9281,-25.4389,-153.4522,2.04
1014.271,-94.044,-137.31,156.9283,-25.4386,-153.4512,2.08
1014.271,-93.983,-137.31,156.9284,-25.4382,-153.4502,2.12
1014.271,-93.923,-137.309,156.9285,-25.4378,-153.4492,2.16
1014.271,-93.863,-137.309,156.9287,-25.4375,-153.4482,2.2
1014.271,-93.802,-137.309,156.9288,-25.4371,-153.4473,2.24
1014.271,-93.742,-137.308,156.9289,-25.4368,-153.4463,2.2800000000000002
1014.271,-93.682,-137.308,156.9291,-25.4364,-153.4453,2.32
1014.271,-93.621,-137.307,156.9292,-25.436,-153.4443,2.36
1014.271,-93.561,-137.307,156.9293,-25.4357,-153.4433,2.4
1014.271,-93.501,-137.307,156.9295,-25.4353,-153.4423,2.44
1014.271,-93.44,-137.306,156.9296,-25.4349,-153.4413,2.48
1014.272,-93.38,-137.306,156.9297,-25.4346,-153.4404,2.52
1014.272,-93.319,-137.305,156.9299,-25.4342,-153.4394,2.56
1014.272,-93.259,-137.305,156.93,-25.4339,-153.4384,2.6
1014.272,-93.199,-137.305,156.9301,-25.4335,-153.4374,2.64
1014.272,-93.138,-137.304,156.9303,-25.4331,-153.4364,2.68
1014.272,-93.078,-137.304,156.9304,-25.4328,-153.4354,2.72
1014.272,-93.018,-137.303,156.9305,-25.4324,-153.4345,2.7600000000000002
1014.272,-92.957,-137.303,156.9307,-25.432,-153.4335,2.8000000000000003
1014.272,-92.897,-137.303,156.9308,-25.4317,-153.4325,2.84
1014.272,-92.836,-137.302,156.9309,-25.4313,-153.4315,2.88
1014.272,-92.776,-137.302,156.9311,-25.431,-153.4305,2.92
1014.272,-92.716,-137.301,156.9312,-25.4306,-153.4295,2.96
1014.273,-92.655,-137.301,156.9313,-25.4302,-153.4285,3.0
1014.273,-92.595,-137.301,156.9315,-25.4299,-153.4276,3.04
1014.273,-92.535,-137.3,156.9316,-25.4295,-153.4266,3.08
1014.273,-92.474,-137.3,156.9317,-25.4291,-153.4256,3.12
1014.273,-92.414,-137.299,156.9319,-25.4288,-153.4246,3.16
1014.273,-92.354,-137.299,156.932,-25.4284,-153.4236,3.2
1014.273,-92.293,-137.299,156.9321,-25.4281,-153.4226,3.24
1014.273,-92.233,-137.298,156.9323,-25.4277,-153.4217,3.2800000000000002
1014.273,-92.172,-137.298,156.9324,-25.4273,-153.4207,3.3200000000000003
1014.273,-92.112,-137.298,156.9325,-25.427,-153.4197,3.36
1014.273,-92.052,-137.297,156.9327,-25.4266,-153.4187,3.4
1014.274,-91.991,-137.297,156.9328,-25.4263,-153.4177,3.44
1014.274,-91.931,-137.296,156.9329,-25.4259,-153.4167,3.48
1014.274,-91.871,-137.296,156.9331,-25.4255,-153.4157,3.52
1014.274,-91.81,-137.296,156.9332,-25.4252,-153.4148,3.56
1014.274,-91.75,-137.295,156.9334,-25.4248,-153.4138,3.6
1014.274,-91.689,-137.295,156.9335,-25.4244,-153.4128,3.64
1014.274,-91.629,-137.294,156.9336,-25.4241,-153.4118,3.68
1014.274,-91.569,-137.294,156.9338,-25.4237,-153.4108,3.72
1014.274,-91.508,-137.294,156.9339,-25.4234,-153.4098,3.7600000000000002
1014.274,-91.448,-137.293,156.934,-25.423,-153.4089,3.8000000000000003
1014.274,-91.388,-137.293,156.9342,-25.4226,-153.4079,3.84
1014.274,-91.327,-137.292,156.9343,-25.4223,-153.4069,3.88
1014.275,-91.267,-137.292,156.9344,-25.4219,-153.4059,3.92
1014.275,-91.207,-137.292,156.9346,-25.4215,-153.4049,3.96
1014.275,-91.146,-137.291,156.9347,-25.4212,-153.4039,4.0
1014.275,-91.086,-137.291,156.9348,-25.4208,-153.4029,4.04
1014.275,-91.025,-137.29,156.935,-25.4205,-153.402,4.08
1014.275,-90.965,-137.29,156.9351,-25.4201,-153.401,4.12
1014.275,-90.905,-137.29,156.9352,-25.4197,-153.4,4.16
1014.275,-90.844,-137.289,156.9354,-25.4194,-153.399,4.2
1014.275,-90.784,-137.289,156.9355,-25.419,-153.398,4.24
1014.275,-90.724,-137.288,156.9356,-25.4186,-153.397,4.28
1014.275,-90.663,-137.288,156.9358,-25.4183,-153.3961,4.32
1014.276,-90.603,-137.288,156.9359,-25.4179,-153.3951,4.36
1014.276,-90.542,-137.287,156.936,-25.4176,-153.3941,4.4
1014.276,-90.482,-137.287,156.9362,-25.4172,-153.3931,4.44
1014.276,-90.422,-137.286,156.9363,-25.4168,-153.3921,4.48
1014.276,-90.361,-137.286,156.9364,-25.4165,-153.3911,4.5200000000000005
1014.276,-90.301,-137.286,156.9366,-25.4161,-153.3901,4.5600000000000005
1014.276,-90.241,-137.285,156.9367,-25.4158,-153.3892,4.6000000000000005
1014.276,-90.18,-137.285,156.9368,-25.4154,-153.3882,4.64
1014.276,-90.12,-137.284,156.937,-25.415,-153.3872,4.68
1014.276,-90.06,-137.284,156.9371,-25.4147,-153.3862,4.72
1014.276,-89.999,-137.284,156.9372,-25.4143,-153.3852,4.76
1014.277,-89.939,-137.283,156.9374,-25.4139,-153.3842,4.8
1014.277,-89.878,-137.283,156.9375,-25.4136,-153.3833,4.84
1014.277,-89.818,-137.282,156.9376,-25.4132,-153.3823,4.88
1014.277,-89.758,-137.282,156.9378,-25.4129,-153.3813,4.92
1014.277,-89.697,-137.282,156.9379,-25.4125,-153.3803,4.96
1014.277,-89.637,-137.281,156.9381,-25.4121,-153.3793,5.0
1014.277,-89.577,-137.281,156.9382,-25.4118,-153.3783,5.04
1014.277,-89.516,-137.28,156.9383,-25.4114,-153.3773,5.08
1014.277,-89.456,-137.28,156.9385,-25.411,-153.3764,5.12
1014.277,-89.396,-137.28,156.9386,-25.4107,-153.3754,5.16
1014.277,-89.335,-137.279,156.9387,-25.4103,-153.3744,5.2
1014.277,-89.275,-137.279,156.9389,-25.41,-153.3734,5.24
1014.278,-89.214,-137.278,156.939,-25.4096,-153.3724,5.28
1014.278,-89.154,-137.278,156.9391,-25.4092,-153.3714,5.32
1014.278,-89.094,-137.278,156.9393,-25.4089,-153.3705,5.36
1014.278,-89.033,-137.277,156.9394,-25.4085,-153.3695,5.4
1014.278,-88.973,-137.277,156.9395,-25.4081,-153.3685,5.44
1014.278,-88.913,-137.276,156.9397,-25.4078,-153.3675,5.48
1014.278,-88.852,-137.276,156.9398,-25.4074,-153.3665,5.5200000000000005
1014.278,-88.792,-137.276,156.9399,-25.4071,-153.3655,5.5600000000000005
1014.278,-88.731,-137.275,156.9401,-25.4067,-153.3646,5.6000000000000005
1014.278,-88.671,-137.275,156.9402,-25.4063,-153.3636,5.64
1014.278,-88.611,-137.274,156.9403,-25.406,-153.3626,5.68
1014.279,-88.55,-137.274,156.9405,-25.4056,-153.3616,5.72
1014.279,-88.49,-137.274,156.9406,-25.4053,-153.3606,5.76
1014.279,-88.43,-137.273,156.9407,-25.4049,-153.3596,5.8
1014.279,-88.369,-137.273,156.9409,-25.4045,-153.3586,5.84
1014.279,-88.309,-137.272,156.941,-25.4042,-153.3577,5.88
1014.279,-88.249,-137.272,156.9411,-25.4038,-153.3567,5.92
1014.279,-88.188,-137.272,156.9413,-25.4034,-153.3557,5.96
1014.279,-88.128,-137.271,156.9414,-25.4031,-153.3547,6.0
1014.279,-88.067,-137.271,156.9415,-25.4027,-153.3537,6.04
1014.279,-88.007,-137.27,156.9417,-25.4024,-153.3527,6.08
1014.279,-87.947,-137.27,156.9418,-25.402,-153.3518,6.12
1014.279,-87.886,-137.27,156.942,-25.4016,-153.3508,6.16
1014.28,-87.826,-137.269,156.9421,-25.4013,-153.3498,6.2
1014.28,-87.766,-137.269,156.9422,-25.4009,-153.3488,6.24
1014.28,-87.705,-137.268,156.9424,-25.4005,-153.3478,6.28
1014.28,-87.645,-137.268,156.9425,-25.4002,-153.3468,6.32
1014.28,-87.584,-137.268,156.9426,-25.3998,-153.3458,6.36
1014.28,-87.524,-137.267,156.9428,-25.3995,-153.3449,6.4
1014.28,-87.464,-137.267,156.9429,-25.3991,-153.3439,6.44
1014.28,-87.403,-137.266,156.943,-25.3987,-153.3429,6.48
1014.28,-87.343,-137.266,156.9432,-25.3984,-153.3419,6.5200000000000005
1014.28,-87.283,-137.266,156.9433,-25.398,-153.3409,6.5600000000000005
1014.28,-87.222,-137.265,156.9434,-25.3977,-153.3399,6.6000000000000005
1014.281,-87.162,-137.265,156.9436,-25.3973,-153.339,6.640000000000001
1014.281,-87.102,-137.264,156.9437,-25.3969,-153.338,6.68
1014.281,-87.041,-137.264,156.9438,-25.3966,-153.337,6.72
1014.281,-86.981,-137.264,156.944,-25.3962,-153.336,6.76
1014.281,-86.92,-137.263,156.9441,-25.3958,-153.335,6.8
1014.281,-86.86,-137.263,156.9442,-25.3955,-153.334,6.84
1014.281,-86.8,-137.262,156.9444,-25.3951,-153.333,6.88
1014.281,-86.739,-137.262,156.9445,-25.3948,-153.3321,6.92
1014.281,-86.679,-137.262,156.9446,-25.3944,-153.3311,6.96
1014.281,-86.619,-137.261,156.9448,-25.394,-153.3301,7.0
1014.281,-86.558,-137.261,156.9449,-25.3937,-153.3291,7.04
1014.281,-86.498,-137.26,156.9451,-25.3933,-153.3281,7.08
1014.282,-86.437,-137.26,156.9452,-25.3929,-153.3271,7.12
1014.282,-86.377,-137.26,156.9453,-25.3926,-153.3262,7.16
1014.282,-86.317,-137.259,156.9455,-25.3922,-153.3252,7.2
1014.282,-86.256,-137.259,156.9456,-25.3919,-153.3242,7.24
1014.282,-86.196,-137.258,156.9457,-25.3915,-153.3232,7.28
1014.282,-86.136,-137.258,156.9459,-25.3911,-153.3222,7.32
1014.282,-86.075,-137.258,156.946,-25.3908,-153.3212,7.36
1014.282,-86.015,-137.257,156.9461,-25.3904,-153.3202,7.4
1014.282,-85.955,-137.257,156.9463,-25.39,-153.3193,7.44
1014.282,-85.894,-137.256,156.9464,-25.3897,-153.3183,7.48
1014.282,-85.834,-137.256,156.9465,-25.3893,-153.3173,7.5200000000000005
1014.283,-85.773,-137.256,156.9467,-25.389,-153.3163,7.5600000000000005
1014.283,-85.713,-137.255,156.9468,-25.3886,-153.3153,7.6000000000000005
1014.283,-85.653,-137.255,156.9469,-25.3882,-153.3143,7.640000000000001
1014.283,-85.592,-137.254,156.9471,-25.3879,-153.3134,7.68
1014.283,-85.532,-137.254,156.9472,-25.3875,-153.3124,7.72
1014.283,-85.472,-137.254,156.9473,-25.3872,-153.3114,7.76
1014.283,-85.411,-137.253,156.9475,-25.3868,-153.3104,7.8
1014.283,-85.351,-137.253,156.9476,-25.3864,-153.3094,7.84
1014.283,-85.29,-137.252,156.9477,-25.3861,-153.3084,7.88
1014.283,-85.23,-137.252,156.9479,-25.3857,-153.3075,7.92
1014.283,-85.17,-137.252,156.948,-25.3853,-153.3065,7.96
1014.284,-85.109,-137.251,156.9482,-25.385,-153.3055,8.0
1014.284,-85.049,-137.251,156.9483,-25.3846,-153.3045,8.040000000000001
1014.284,-84.989,-137.25,156.9484,-25.3843,-153.3035,8.08
1014.284,-84.928,-137.25,156.9486,-25.3839,-153.3025,8.120000000000001
1014.284,-84.868,-137.25,156.9487,-25.3835,-153.3015,8.16
1014.284,-84.808,-137.249,156.9488,-25.3832,-153.3006,8.2
1014.284,-84.747,-137.249,156.949,-25.3828,-153.2996,8.24
1014.284,-84.687,-137.248,156.9491,-25.3825,-153.2986,8.28
1014.284,-84.626,-137.248,156.9492,-25.3821,-153.2976,8.32
1014.284,-84.566,-137.248,156.9494,-25.3817,-153.2966,8.36
1014.284,-84.506,-137.247,156.9495,-25.3814,-153.2956,8.4
1014.284,-84.445,-137.247,156.9496,-25.381,-153.2947,8.44
1014.285,-84.385,-137.246,156.9498,-25.3806,-153.2937,8.48
1014.285,-84.325,-137.246,156.9499,-25.3803,-153.2927,8.52
1014.285,-84.264,-137.246,156.95,-25.3799,-153.2917,8.56
1014.285,-84.204,-137.245,156.9502,-25.3796,-153.2907,8.6
1014.285,-84.143,-137.245,156.9503,-25.3792,-153.2897,8.64
1014.285,-84.083,-137.244,156.9504,-25.3788,-153.2887,8.68
1014.285,-84.023,-137.244,156.9506,-25.3785,-153.2878,8.72
1014.285,-83.962,-137.244,156.9507,-25.3781,-153.2868,8.76
1014.285,-83.902,-137.243,156.9509,-25.3777,-153.2858,8.8
1014.285,-83.842,-137.243,156.951,-25.3774,-153.2848,8.84
1014.285,-83.781,-137.242,156.9511,-25.377,-153.2838,8.88
1014.286,-83.721,-137.242,156.9513,-25.3767,-153.2828,8.92
1014.286,-83.661,-137.242,156.9514,-25.3763,-153.2819,8.96
1014.286,-83.6,-137.241,156.9515,-25.3759,-153.2809,9.0
1014.286,-83.54,-137.241,156.9517,-25.3756,-153.2799,9.040000000000001
1014.286,-83.479,-137.24,156.9518,-25.3752,-153.2789,9.08
1014.286,-83.419,-137.24,156.9519,-25.3749,-153.2779,9.120000000000001
1014.286,-83.359,-137.24,156.9521,-25.3745,-153.2769,9.16
1014.286,-83.298,-137.239,156.9522,-25.3741,-153.276,9.200000000000001
1014.286,-83.238,-137.239,156.9523,-25.3738,-153.275,9.24
1014.286,-83.178,-137.238,156.9525,-25.3734,-153.274,9.28
1014.286,-83.117,-137.238,156.9526,-25.373,-153.273,9.32
1014.286,-83.057,-137.238,156.9527,-25.3727,-153.272,9.36
1014.287,-82.996,-137.237,156.9529,-25.3723,-153.271,9.4
1014.287,-82.936,-137.237,156.953,-25.372,-153.27,9.44
1014.287,-82.876,-137.236,156.9531,-25.3716,-153.2691,9.48
1014.287,-82.815,-137.236,156.9533,-25.3712,-153.2681,9.52
1014.287,-82.755,-137.236,156.9534,-25.3709,-153.2671,9.56
1014.287,-82.695,-137.235,156.9536,-25.3705,-153.2661,9.6
1014.287,-82.634,-137.235,156.9537,-25.3701,-153.2651,9.64
1014.287,-82.574,-137.235,156.9538,-25.3698,-153.2641,9.68
1014.287,-82.514,-137.234,156.954,-25.3694,-153.2632,9.72
1014.287,-82.453,-137.234,156.9541,-25.3691,-153.2622,9.76
1014.287,-82.393,-137.233,156.9542,-25.3687,-153.2612,9.8
1014.288,-82.332,-137.233,156.9544,-25.3683,-153.2602,9.84
1014.288,-82.272,-137.233,156.9545,-25.368,-153.2592,9.88
1014.288,-82.212,-137.232,156.9546,-25.3676,-153.2582,9.92
1014.288,-82.151,-137.232,156.9548,-25.3673,-153.2573,9.96
1014.288,-82.091,-137.231,156.9549,-25.3669,-153.2563,10.0
1014.288,-82.031,-137.231,156.955,-25.3665,-153.2553,10.040000000000001
1014.288,-81.97,-137.231,156.9552,-25.3662,-153.2543,10.08
1014.288,-81.91,-137.23,156.9553,-25.3658,-153.2533,10.120000000000001
1014.288,-81.849,-137.23,156.9554,-25.3654,-153.2523,10.16
1014.288,-81.789,-137.229,156.9556,-25.3651,-153.2513,10.200000000000001
1014.288,-81.729,-137.229,156.9557,-25.3647,-153.2504,10.24
1014.289,-81.668,-137.229,156.9559,-25.3644,-153.2494,10.28
1014.289,-81.608,-137.228,156.956,-25.364,-153.2484,10.32
1014.289,-81.548,-137.228,156.9561,-25.3636,-153.2474,10.36
1014.289,-81.487,-137.227,156.9563,-25.3633,-153.2464,10.4
1014.289,-81.427,-137.227,156.9564,-25.3629,-153.2454,10.44
1014.289,-81.367,-137.227,156.9565,-25.3626,-153.2445,10.48
1014.289,-81.306,-137.226,156.9567,-25.3622,-153.2435,10.52
1014.289,-81.246,-137.226,156.9568,-25.3618,-153.2425,10.56
1014.289,-81.185,-137.225,156.9569,-25.3615,-153.2415,10.6
1014.289,-81.125,-137.225,156.9571,-25.3611,-153.2405,10.64
1014.289,-81.065,-137.225,156.9572,-25.3607,-153.2395,10.68
1014.289,-81.004,-137.224,156.9573,-25.3604,-153.2386,10.72
1014.29,-80.944,-137.224,156.9575,-25.36,-153.2376,10.76
1014.29,-80.884,-137.223,156.9576,-25.3597,-153.2366,10.8
1014.29,-80.823,-137.223,156.9577,-25.3593,-153.2356,10.84
1014.29,-80.763,-137.223,156.9579,-25.3589,-153.2346,10.88
1014.29,-80.702,-137.222,156.958,-25.3586,-153.2336,10.92
1014.29,-80.642,-137.222,156.9582,-25.3582,-153.2326,10.96
1014.29,-80.582,-137.221,156.9583,-25.3578,-153.2317,11.0
1014.29,-80.521,-137.221,156.9584,-25.3575,-153.2307,11.040000000000001
1014.29,-80.461,-137.221,156.9586,-25.3571,-153.2297,11.08
1014.29,-80.401,-137.22,156.9587,-25.3568,-153.2287,11.120000000000001
1014.29,-80.34,-137.22,156.9588,-25.3564,-153.2277,11.16
1014.291,-80.28,-137.219,156.959,-25.356,-153.2267,11.200000000000001
1014.291,-80.22,-137.219,156.9591,-25.3557,-153.2258,11.24
1014.291,-80.159,-137.219,156.9592,-25.3553,-153.2248,11.28
1014.291,-80.099,-137.218,156.9594,-25.355,-153.2238,11.32
1014.291,-80.038,-137.218,156.9595,-25.3546,-153.2228,11.36
1014.291,-79.978,-137.217,156.9596,-25.3542,-153.2218,11.4
1014.291,-79.918,-137.217,156.9598,-25.3539,-153.2208,11.44
1014.291,-79.857,-137.217,156.9599,-25.3535,-153.2199,11.48
1014.291,-79.797,-137.216,156.96,-25.3531,-153.2189,11.52
1014.291,-79.737,-137.216,156.9602,-25.3528,-153.2179,11.56
