X,Y,Z,Rx,Ry,Rz
960.181,-12.967,-164.917,175.9975,17.9492,58.6475
960.181,-13.003,-164.917,175.9975,17.9492,58.6475
960.182,-13.04,-164.917,175.9975,17.9492,58.6475
960.182,-13.076,-164.917,175.9975,17.9492,58.6475
960.182,-13.113,-164.917,175.9975,17.9492,58.6475
960.182,-13.149,-164.917,175.9975,17.9492,58.6475
960.183,-13.185,-164.917,175.9975,17.9492,58.6475
960.183,-13.222,-164.917,175.9975,17.9492,58.6475
960.183,-13.258,-164.917,175.9975,17.9492,58.6475
960.184,-13.295,-164.917,175.9975,17.9492,58.6475
960.184,-13.331,-164.917,175.9975,17.9492,58.6475
960.184,-13.367,-164.917,175.9975,17.9492,58.6475
960.184,-13.404,-164.917,175.9975,17.9492,58.6475
960.185,-13.44,-164.917,175.9975,17.9492,58.6475
960.185,-13.476,-164.916,175.9975,17.9492,58.6475
960.185,-13.513,-164.916,175.9975,17.9492,58.6475
960.186,-13.549,-164.916,175.9975,17.9492,58.6475
960.186,-13.586,-164.916,175.9975,17.9492,58.6475
960.186,-13.622,-164.916,175.9975,17.9492,58.6475
960.186,-13.658,-164.916,175.9975,17.9492,58.6475
960.187,-13.695,-164.916,175.9975,17.9492,58.6475
960.187,-13.731,-164.916,175.9975,17.9492,58.6475
960.187,-13.768,-164.916,175.9975,17.9492,58.6475
960.188,-13.804,-164.916,175.9975,17.9492,58.6475
960.188,-13.84,-164.916,175.9975,17.9492,58.6475
960.188,-13.877,-164.916,175.9975,17.9492,58.6475
960.188,-13.913,-164.916,175.9975,17.9492,58.6475
960.189,-13.95,-164.916,175.9975,17.9492,58.6475
960.189,-13.986,-164.916,175.9975,17.9492,58.6475
960.189,-14.022,-164.916,175.9975,17.9492,58.6475
960.19,-14.059,-164.916,175.9975,17.9492,58.6475
960.19,-14.095,-164.916,175.9975,17.9492,58.6475
960.19,-14.131,-164.916,175.9975,17.9492,58.6475
960.19,-14.168,-164.916,175.9975,17.9492,58.6475
960.191,-14.204,-164.916,175.9975,17.9492,58.6475
960.191,-14.241,-164.916,175.9975,17.9492,58.6475
960.191,-14.277,-164.916,175.9975,17.9492,58.6475
960.192,-14.313,-164.916,175.9975,17.9492,58.6475
960.192,-14.35,-164.916,175.9975,17.9492,58.6475
960.192,-14.386,-164.916,175.9975,17.9492,58.6475
960.192,-14.423,-164.915,175.9975,17.9492,58.6475
960.193,-14.459,-164.915,175.9975,17.9492,58.6475
960.193,-14.495,-164.915,175.9975,17.9492,58.6475
960.193,-14.532,-164.915,175.9975,17.9492,58.6475
960.194,-14.568,-164.915,175.9975,17.9492,58.6475
960.194,-14.605,-164.915,175.9975,17.9492,58.6475
960.194,-14.641,-164.915,175.9975,17.9492,58.6475
960.195,-14.677,-164.915,175.9975,17.9492,58.6475
960.195,-14.714,-164.915,175.9975,17.9492,58.6475
960.195,-14.75,-164.915,175.9975,17.9492,58.6475
960.195,-14.787,-164.915,175.9975,17.9492,58.6475
960.196,-14.823,-164.915,175.9975,17.9492,58.6475
960.196,-14.859,-164.915,175.9975,17.9492,58.6475
960.196,-14.896,-164.915,175.9975,17.9492,58.6475
960.197,-14.932,-164.915,175.9975,17.9492,58.6475
960.197,-14.968,-164.915,175.9975,17.9492,58.6475
960.197,-15.005,-164.915,175.9975,17.9492,58.6475
960.197,-15.041,-164.915,175.9975,17.9492,58.6475
960.198,-15.078,-164.915,175.9975,17.9492,58.6475
960.198,-15.114,-164.915,175.9975,17.9492,58.6475
960.198,-15.15,-164.915,175.9975,17.9492,58.6475
960.199,-15.187,-164.915,175.9975,17.9492,58.6475
960.199,-15.223,-164.915,175.9975,17.9492,58.6475
960.199,-15.26,-164.915,175.9975,17.9492,58.6475
960.199,-15.296,-164.915,175.9975,17.9492,58.6475
