X,Y,Z,Rx,Ry,Rz
958.518,-37.031,-164.945,-165.2877,-7.172,17.5187
958.521,-36.367,-164.942,-165.2874,-7.1726,17.5189
958.525,-35.52,-164.936,-165.2878,-7.173,17.5199
958.522,-34.892,-164.942,-165.2875,-7.1721,17.519
958.523,-34.039,-164.944,-165.2873,-7.1721,17.5184
958.524,-34.01,-164.941,-165.2872,-7.1723,17.5182
958.523,-33.371,-164.945,-165.2878,-7.1721,17.5189
958.515,-32.884,-164.952,-165.2871,-7.1713,17.5186
958.514,-31.312,-164.952,-165.2872,-7.1714,17.5196
958.515,-30.81,-164.947,-165.2882,-7.1719,17.5202
958.521,-30.144,-164.94,-165.2876,-7.172,17.5189
958.523,-29.661,-164.937,-165.2882,-7.1724,17.5196
958.522,-29.0,-164.94,-165.2882,-7.1724,17.5207
958.523,-28.504,-164.937,-165.2874,-7.1724,17.5202
958.516,-27.878,-164.942,-165.2879,-7.172,17.5202
958.523,-27.338,-164.937,-165.2873,-7.1721,17.5195
958.522,-26.713,-164.944,-165.2878,-7.1717,17.5194
958.518,-26.171,-164.947,-165.2882,-7.1716,17.5205
958.525,-25.584,-164.936,-165.2874,-7.1721,17.5187
958.52,-25.041,-164.94,-165.2878,-7.172,17.5198
958.517,-24.406,-164.947,-165.2882,-7.1715,17.5204
958.52,-23.93,-164.935,-165.2874,-7.1721,17.52
958.525,-22.75,-164.938,-165.2871,-7.1717,17.5183
958.521,-23.225,-164.935,-165.2872,-7.1723,17.52
958.525,-23.714,-164.94,-165.2874,-7.1716,17.5189
