X,Y,Z,Rx,Ry,Rz
958.521,-37.126,-164.943,-165.2876,-7.1723,17.5191
958.521,-37.042,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.958,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.875,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.791,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.707,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.623,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.54,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.456,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.224,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.16,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.096,-164.943,-165.2876,-7.1723,17.5191
958.521,-36.032,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.969,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.905,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.841,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.777,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.713,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.649,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.585,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.521,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.457,-164.943,-165.2876,-7.1723,17.5191
958.521,-35.394,-164.942,-165.2876,-7.1723,17.5191
958.521,-35.33,-164.942,-165.2876,-7.1723,17.5191
958.521,-35.266,-164.942,-165.2876,-7.1723,17.5191
958.521,-35.202,-164.942,-165.2876,-7.1723,17.5191
958.521,-35.138,-164.942,-165.2876,-7.1723,17.5191
958.521,-35.074,-164.942,-165.2876,-7.1723,17.5191
958.521,-35.01,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.946,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.882,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.819,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.755,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.691,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.627,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.563,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.499,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.435,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.371,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.307,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.244,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.18,-164.942,-165.2876,-7.1723,17.5191
958.521,-34.116,-164.942,-165.2876,-7.1723,17.5191
958.522,-34.052,-164.942,-165.2876,-7.1723,17.5191
958.522,-33.988,-164.942,-165.2876,-7.1723,17.5191
958.522,-33.924,-164.942,-165.2876,-7.1723,17.5191
958.522,-33.86,-164.942,-165.2876,-7.1723,17.5191
958.522,-33.796,-164.942,-165.2876,-7.1723,17.5191
958.522,-33.732,-164.942,-165.2876,-7.1723,17.5191
958.522,-33.669,-164.942,-165.2876,-7.1723,17.5191
958.522,-33.605,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.541,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.477,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.413,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.349,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.285,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.221,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.157,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.094,-164.941,-165.2876,-7.1723,17.5191
958.522,-33.03,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.966,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.902,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.838,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.774,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.71,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.646,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.582,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.519,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.455,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.391,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.327,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.263,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.199,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.135,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.071,-164.941,-165.2876,-7.1723,17.5191
958.522,-32.007,-164.941,-165.2876,-7.1723,17.5191
958.522,-31.944,-164.941,-165.2876,-7.1723,17.5191
958.522,-31.88,-164.941,-165.2876,-7.1723,17.5191
958.522,-31.816,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.752,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.688,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.624,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.56,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.496,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.432,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.369,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.305,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.241,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.177,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.113,-164.94,-165.2876,-7.1723,17.5191
958.522,-31.049,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.985,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.921,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.857,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.794,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.73,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.666,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.602,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.538,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.474,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.41,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.346,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.282,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.219,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.155,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.091,-164.94,-165.2876,-7.1723,17.5191
958.522,-30.027,-164.939,-165.2876,-7.1723,17.5191
958.522,-29.963,-164.939,-165.2876,-7.1723,17.5191
958.522,-29.899,-164.939,-165.2876,-7.1723,17.5191
958.522,-29.835,-164.939,-165.2876,-7.1723,17.5191
958.522,-29.771,-164.939,-165.2876,-7.1723,17.5191
958.522,-29.707,-164.939,-165.2876,-7.1723,17.5191
958.522,-29.644,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.58,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.516,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.452,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.388,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.324,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.26,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.196,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.132,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.069,-164.939,-165.2876,-7.1723,17.5191
958.523,-29.005,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.941,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.877,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.813,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.749,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.685,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.621,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.557,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.494,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.43,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.366,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.302,-164.939,-165.2876,-7.1723,17.5191
958.523,-28.238,-164.938,-165.2876,-7.1723,17.5191
958.523,-28.174,-164.938,-165.2876,-7.1723,17.5191
958.523,-28.11,-164.938,-165.2876,-7.1723,17.5191
958.523,-28.046,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.982,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.919,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.855,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.791,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.727,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.663,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.599,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.535,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.471,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.407,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.344,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.28,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.216,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.152,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.088,-164.938,-165.2876,-7.1723,17.5191
958.523,-27.024,-164.938,-165.2876,-7.1723,17.5191
958.523,-26.96,-164.938,-165.2876,-7.1723,17.5191
958.523,-26.896,-164.938,-165.2876,-7.1723,17.5191
958.523,-26.833,-164.938,-165.2876,-7.1723,17.5191
958.523,-26.769,-164.938,-165.2876,-7.1723,17.5191
958.523,-26.705,-164.938,-165.2876,-7.1723,17.5191
958.523,-26.641,-164.938,-165.2876,-7.1723,17.5191
958.523,-26.577,-164.938,-165.2876,-7.1723,17.5191
958.523,-26.513,-164.937,-165.2876,-7.1723,17.5191
958.523,-26.449,-164.937,-165.2876,-7.1723,17.5191
958.523,-26.385,-164.937,-165.2876,-7.1723,17.5191
958.523,-26.321,-164.937,-165.2876,-7.1723,17.5191
958.523,-26.258,-164.937,-165.2876,-7.1723,17.5191
958.523,-26.194,-164.937,-165.2876,-7.1723,17.5191
958.523,-26.13,-164.937,-165.2876,-7.1723,17.5191
958.523,-26.066,-164.937,-165.2876,-7.1723,17.5191
958.523,-26.002,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.938,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.874,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.81,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.746,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.683,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.619,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.555,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.491,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.427,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.363,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.299,-164.937,-165.2876,-7.1723,17.5191
958.523,-25.235,-164.937,-165.2876,-7.1723,17.5191
958.524,-25.171,-164.937,-165.2876,-7.1723,17.5191
958.524,-25.108,-164.937,-165.2876,-7.1723,17.5191
958.524,-25.044,-164.937,-165.2876,-7.1723,17.5191
958.524,-24.98,-164.937,-165.2876,-7.1723,17.5191
958.524,-24.916,-164.937,-165.2876,-7.1723,17.5191
958.524,-24.852,-164.937,-165.2876,-7.1723,17.5191
958.524,-24.788,-164.937,-165.2876,-7.1723,17.5191
958.524,-24.724,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.66,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.596,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.533,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.469,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.405,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.341,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.277,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.213,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.149,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.085,-164.936,-165.2876,-7.1723,17.5191
958.524,-24.021,-164.936,-165.2876,-7.1723,17.5191
