Time,,,,,,,,,,
0,,,,,,,,,,
0.04,,,,,,,,,,
0.08,,,,,,,,,,
0.12,,,,,,,,,,
0.16,,,,,,,,,,
0.2,,,,,,,,,,
0.24,,,,,,,,,,
0.28,,,,,,,,,,
0.32,,,,,,,,,,
0.36,,,,,,,,,,
0.4,,,,,,,,,,
0.44,,,,,,,,,,
0.48,,,,,,,,,,
0.52,,,,,,,,,,
0.56,,,,,,,,,,
0.6,,,,,,,,,,
0.64,,,,,,,,,,
0.68,,,,,,,,,,
0.72,,,,,,,,,,
0.76,,,,,,,,,,
0.8,,,,,,,,,,
0.84,,,,,,,,,,
0.88,,,,,,,,,,
0.92,,,,,,,,,,
0.96,,,,,,,,,,
1,,,,,,,,,,
1.04,,,,,,,,,,
1.08,,,,,,,,,,
1.12,,,,,,,,,,
1.16,,,,,,,,,,
1.2,,,,,,,,,,
1.24,,,,,,,,,,
1.28,,,,,,,,,,
1.32,,,,,,,,,,
1.36,,,,,,,,,,
1.4,,,,,,,,,,
1.44,,,,,,,,,,
1.48,,,,,,,,,,
1.52,,,,,,,,,,
1.56,,,,,,,,,,
1.6,,,,,,,,,,
1.64,,,,,,,,,,
1.68,,,,,,,,,,
1.72,,,,,,,,,,
1.76,,,,,,,,,,
1.8,,,,,,,,,,
1.84,,,,,,,,,,
1.88,,,,,,,,,,
1.92,,,,,,,,,,
1.96,,,,,,,,,,
2,,,,,,,,,,
2.04,,,,,,,,,,
2.08,,,,,,,,,,
2.12,,,,,,,,,,
2.16,,,,,,,,,,
2.2,,,,,,,,,,
2.24,,,,,,,,,,
2.28,,,,,,,,,,
2.32,,,,,,,,,,
2.36,,,,,,,,,,
2.4,,,,,,,,,,
2.44,,,,,,,,,,
2.48,,,,,,,,,,
2.52,0.04,2.48,,,,,,,,
2.56,0.08,2.48,,,,,,,,
2.6,0.12,2.48,,,,,,,,
2.64,0.16,2.48,,,,,,,,
2.68,0.2,2.48,,,,,,,,
2.72,0.24,2.48,,,,,,,,
2.76,0.28,2.48,,,,,,,,
2.8,0.32,2.48,,,,,,,,
2.84,0.36,2.48,,,,,,,,
2.88,0.4,2.48,,,,,,,,
2.92,0.44,2.48,,,,,,,,
2.96,0.48,2.48,,,,,,,,
3,0.52,2.48,,,,,,,,
3.04,0.56,2.48,,,,,,,,
