S,L,U,R,B,T
-3.3300822070502996,68.54352506920947,38.649978905920406,7.201773378698835,-120.92532136298713,-149.47657796349242
-3.3272955273791274,68.54275607505383,38.6485726339474,7.199711310444376,-120.92532136298713,-149.47657796349242
-3.3245088477079556,68.54198708089818,38.64646322598791,7.1986802763171465,-120.92430116302795,-149.47877721574665
-3.321722168036784,68.5404490925869,38.645056954014905,7.196618208062687,-120.92328096306876,-149.48097646800088
-3.318935488365612,68.53968009843125,38.64365068204191,7.194556139808228,-120.92226076310956,-149.4831757202551
-3.3161488086944404,68.5389111042756,38.64154127408241,7.192494071553768,-120.92124056315038,-149.48537497250936
-3.3133621290232687,68.53737311596431,38.6401350021094,7.19043200329931,-120.92124056315038,-149.4875742247636
-3.310575449352097,68.53660412180867,38.63872873013641,7.1894009691720795,-120.92022036319118,-149.4875742247636
-3.307788769680925,68.53583512765303,38.636619322176905,7.187338900917621,-120.91920016323199,-149.48977347701782
-3.305002090009753,68.53506613349738,38.63521305020391,7.1852768326631615,-120.91817996327279,-149.49197272927205
-3.3022154103385812,68.5335281451861,38.633806778230905,7.183214764408702,-120.9171597633136,-149.49417198152628
-3.2994287306674095,68.53275915103045,38.63169737027141,7.181152696154243,-120.9171597633136,-149.4963712337805
-3.2966420509962377,68.5319901568748,38.63029109829841,7.180121662027013,-120.9161395633544,-149.49857048603477
-3.294552041242859,68.53045216856351,38.62888482632541,7.178059593772554,-120.91511936339522,-149.49857048603477
-3.291765361571687,68.52968317440786,38.62747855435241,7.1759975255180946,-120.91409916343603,-149.500769738289
-3.2889786819005153,68.52891418025223,38.62536914639291,7.173935457263636,-120.91409916343603,-149.50296899054322
-3.2861920022293436,68.52814518609658,38.62396287441991,7.171873389009177,-120.91307896347683,-149.50516824279745
-3.283405322558172,68.5266071977853,38.62255660244691,7.170842354881946,-120.91205876351765,-149.50736749505168
-3.280618642887,68.52583820362965,38.62044719448741,7.168780286627488,-120.91103856355845,-149.50736749505168
-3.277831963215828,68.525069209474,38.619040922514415,7.1667182183730285,-120.91001836359926,-149.5095667473059
-3.275045283544656,68.52353122116271,38.61763465054141,7.164656150118569,-120.90899816364006,-149.51176599956014
-3.2722586038734844,68.52276222700706,38.61552524258192,7.16259408186411,-120.90899816364006,-149.5139652518144
-3.2694719242023127,68.52199323285143,38.614118970608914,7.160532013609651,-120.90797796368088,-149.51616450406863
-3.266685244531141,68.52045524454013,38.61271269863592,7.159500979482421,-120.90695776372168,-149.51836375632286
-3.263898564859969,68.5196862503845,38.610603290676416,7.1574389112279615,-120.90593756376249,-149.52056300857708
-3.2611118851887975,68.51891725622885,38.60919701870342,7.155376842973503,-120.90593756376249,-149.52056300857708
-3.2583252055176257,68.51737926791756,38.607790746730416,7.1533147747190435,-120.9049173638033,-149.5227622608313
-3.2555385258464535,68.51661027376191,38.60638447475742,7.151252706464584,-120.9038971638441,-149.52496151308554
-3.252751846175282,68.51584127960626,38.60427506679792,7.150221672337355,-120.90287696388492,-149.5271607653398
-3.24996516650411,68.51507228545063,38.60286879482492,7.148159604082895,-120.90185676392572,-149.52936001759403
-3.2471784868329383,68.51353429713933,38.60146252285192,7.146097535828436,-120.90185676392572,-149.52936001759403
-3.2443918071617666,68.5127653029837,38.60005625087892,7.144035467573977,-120.90083656396654,-149.53155926984826
-3.241605127490595,68.51199630882805,38.59794684291942,7.141973399319518,-120.89981636400734,-149.5337585221025
-3.238818447819423,68.51122731467241,38.596540570946416,7.140942365192288,-120.89879616404815,-149.53595777435672
-3.2360317681482513,68.50968932636111,38.59513429897342,7.138880296937828,-120.89777596408895,-149.53815702661095
-3.233245088477079,68.50892033220548,38.59302489101392,7.13681822868337,-120.89777596408895,-149.54035627886518
-3.2311550787237007,68.50815133804983,38.59161861904092,7.1347561604289105,-120.89675576412976,-149.54035627886518
-3.228368399052529,68.50661334973854,38.59021234706792,7.132694092174451,-120.89573556417058,-149.54255553111943
-3.2255817193813567,68.5058443555829,38.58880607509492,7.131663058047222,-120.89471536421138,-149.54475478337366
-3.222795039710185,68.50507536142725,38.58669666713542,7.129600989792762,-120.8936951642522,-149.5469540356279
-3.2200083600390133,68.50430636727161,38.585290395162424,7.127538921538303,-120.8936951642522,-149.54915328788212
-3.2172216803678415,68.50276837896031,38.58388412318942,7.1254768532838435,-120.892674964293,-149.55135254013635
-3.2144350006966698,68.50199938480468,38.582477851216424,7.123414785029385,-120.89165476433381,-149.55135254013635
-3.211648321025498,68.50123039064903,38.58036844325692,7.122383750902155,-120.89063456437461,-149.55355179239058
-3.2088616413543263,68.49969240233774,38.578962171283926,7.120321682647695,-120.88961436441542,-149.55575104464484
-3.2060749616831545,68.4989234081821,38.57755589931092,7.118259614393237,-120.88961436441542,-149.55795029689907
-3.2032882820119823,68.49815441402644,38.57544649135143,7.116197546138777,-120.88859416445622,-149.5601495491533
-3.2005016023408106,68.49738541987081,38.574040219378425,7.114135477884318,-120.88757396449704,-149.56234880140752
-3.197714922669639,68.49584743155951,38.57263394740543,7.112073409629859,-120.88655376453784,-149.56234880140752
-3.194928242998467,68.49507843740388,38.571227675432425,7.111042375502629,-120.88655376453784,-149.56454805366175
-3.1921415633272954,68.49430944324823,38.56911826747293,7.10898030724817,-120.88553356457865,-149.56674730591598
-3.1893548836561236,68.49277145493694,38.56771199549993,7.1069182389937104,-120.88451336461947,-149.56894655817024
-3.186568203984952,68.4920024607813,38.56630572352693,7.104856170739252,-120.88349316466027,-149.57114581042447
-3.18378152431378,68.49123346662564,38.56489945155393,7.1027941024847925,-120.88247296470108,-149.5733450626787
-3.180994844642608,68.49046447247001,38.56279004359443,7.101763068357563,-120.88247296470108,-149.5733450626787
-3.178208164971436,68.48892648415871,38.56138377162143,7.099701000103104,-120.88145276474188,-149.57554431493293
-3.1754214853002645,68.48815749000308,38.55997749964843,7.097638931848644,-120.8804325647827,-149.57774356718716
-3.1726348056290927,68.48738849584743,38.55857122767543,7.095576863594185,-120.8794123648235,-149.57994281944138
-3.169848125957921,68.48661950169178,38.55716495570243,7.0935147953397255,-120.8794123648235,-149.5821420716956
-3.167758116204542,68.48508151338049,38.55505554774293,7.092483761212496,-120.87839216486431,-149.5821420716956
-3.1649714365333703,68.48431251922484,38.553649275769935,7.090421692958037,-120.87737196490511,-149.58434132394987
-3.1621847568621986,68.48354352506921,38.55224300379693,7.088359624703578,-120.87635176494592,-149.5865405762041
-3.159398077191027,68.48277453091356,38.550836731823935,7.086297556449119,-120.87533156498674,-149.58873982845833
-3.155914727602062,68.48123654260228,38.54872732386443,7.084235488194659,-120.87533156498674,-149.59093908071256
-3.15312804793089,68.48046754844663,38.54732105189144,7.08320445406743,-120.87431136502754,-149.5931383329668
-3.1503413682597183,68.47969855429098,38.545914779918434,7.081142385812971,-120.87329116506835,-149.59533758522102
-3.1482513585063394,68.47816056597969,38.54450850794544,7.079080317558511,-120.87227096510915,-149.59533758522102
-3.1454646788351677,68.47739157182404,38.542399099985936,7.077018249304052,-120.87227096510915,-149.59753683747527
