X,Y,Z,Rx,Ry,Rz
969.94,-102.936,-139.216,156.8581,-25.1919,-153.4552
969.94,-102.936,-139.216,156.8581,-25.1919,-153.4552
969.94,-102.936,-139.216,156.8581,-25.1919,-153.4552
969.94,-102.936,-139.216,156.8581,-25.1919,-153.4552
969.941,-102.924,-139.216,156.8581,-25.1919,-153.4545
969.938,-102.899,-139.221,156.8581,-25.1924,-153.4561
969.938,-102.856,-139.214,156.8573,-25.192,-153.4542
969.934,-102.838,-139.218,156.8581,-25.1929,-153.4555
969.939,-102.807,-139.208,156.8577,-25.1918,-153.4546
969.936,-102.77,-139.212,156.8576,-25.1923,-153.4554
969.94,-102.74,-139.212,156.8593,-25.1917,-153.4563
969.937,-102.709,-139.216,156.8581,-25.1918,-153.455
969.94,-102.679,-139.217,156.8593,-25.1922,-153.4558
969.936,-102.66,-139.221,156.8581,-25.1924,-153.4552
969.936,-102.611,-139.214,156.8585,-25.1922,-153.4555
969.938,-102.592,-139.215,156.8577,-25.1918,-153.4551
969.937,-102.396,-139.211,156.8589,-25.1915,-153.4561
969.934,-102.366,-139.215,156.8577,-25.1917,-153.4548
969.937,-102.335,-139.216,156.8589,-25.192,-153.4556
969.936,-102.305,-139.209,156.8581,-25.1915,-153.4545
969.934,-102.267,-139.214,156.8581,-25.192,-153.4553
969.935,-102.249,-139.214,156.8573,-25.1916,-153.4549
969.936,-102.207,-139.207,156.8585,-25.1919,-153.455
969.93,-102.041,-139.214,156.8581,-25.192,-153.4551
969.933,-102.011,-139.214,156.8593,-25.1923,-153.4559
969.932,-101.973,-139.208,156.8577,-25.1914,-153.455
969.93,-101.942,-139.212,156.8584,-25.1923,-153.4556
969.932,-101.912,-139.213,156.8576,-25.1919,-153.4545
969.93,-101.893,-139.206,156.8588,-25.1922,-153.4559
969.929,-101.844,-139.21,156.8568,-25.1919,-153.4542
969.929,-101.679,-139.213,156.8588,-25.1921,-153.4564
969.928,-101.648,-139.206,156.8581,-25.1917,-153.4553
969.931,-101.617,-139.207,156.8573,-25.1912,-153.4542
969.927,-101.599,-139.211,156.858,-25.1922,-153.4555
969.928,-101.55,-139.205,156.8584,-25.192,-153.4558
969.925,-101.519,-139.209,156.8572,-25.1922,-153.4545
969.929,-101.489,-139.199,156.8588,-25.1919,-153.4554
969.924,-101.323,-139.205,156.8584,-25.1919,-153.4556
969.928,-101.274,-139.206,156.8588,-25.1919,-153.4559
969.924,-101.255,-139.21,156.8576,-25.192,-153.4553
969.923,-101.225,-139.203,156.8588,-25.1923,-153.4561
969.926,-101.194,-139.204,156.858,-25.1919,-153.4549
969.923,-101.164,-139.208,156.8588,-25.1928,-153.4555
969.923,-101.126,-139.202,156.8572,-25.1919,-153.4547
969.922,-100.96,-139.204,156.8572,-25.1914,-153.455
969.92,-100.93,-139.209,156.858,-25.1923,-153.4556
969.924,-100.9,-139.198,156.8576,-25.1912,-153.4546
969.922,-100.869,-139.202,156.8584,-25.1922,-153.4552
969.919,-100.838,-139.206,156.8572,-25.1924,-153.4539
969.918,-100.801,-139.2,156.8576,-25.1922,-153.4549
969.921,-100.771,-139.201,156.8587,-25.1925,-153.4557
969.921,-100.753,-139.211,156.858,-25.1918,-153.4552
969.921,-100.563,-139.197,156.858,-25.1915,-153.4542
969.917,-100.537,-139.201,156.858,-25.192,-153.4557
969.92,-100.507,-139.202,156.8571,-25.1916,-153.4546
969.919,-100.476,-139.195,156.8583,-25.1919,-153.4554
969.917,-100.446,-139.199,156.8591,-25.1928,-153.456
969.918,-100.416,-139.21,156.8584,-25.1921,-153.4548
969.922,-100.379,-139.2,156.8592,-25.1913,-153.456
969.914,-100.2,-139.2,156.8583,-25.1923,-153.4553
969.917,-100.163,-139.201,156.8567,-25.1915,-153.4545
969.916,-100.133,-139.194,156.8579,-25.1917,-153.4552
969.913,-100.102,-139.198,156.8587,-25.1927,-153.4558
969.914,-100.072,-139.209,156.858,-25.192,-153.4546
969.919,-100.042,-139.198,156.8596,-25.1916,-153.4556
969.911,-99.857,-139.199,156.8579,-25.1922,-153.4552
969.913,-99.827,-139.199,156.8591,-25.1925,-153.4559
969.911,-99.808,-139.192,156.8583,-25.192,-153.4555
969.909,-99.777,-139.197,156.8591,-25.193,-153.4561
969.915,-99.74,-139.204,156.8579,-25.1912,-153.4553
969.914,-99.71,-139.197,156.8591,-25.1915,-153.4561
969.912,-99.679,-139.201,156.8579,-25.1917,-153.4548
969.907,-99.513,-139.198,156.8575,-25.1921,-153.455
969.91,-99.483,-139.198,156.8586,-25.1924,-153.4558
969.909,-99.452,-139.191,156.8579,-25.1919,-153.4547
969.906,-99.422,-139.196,156.8586,-25.1928,-153.4552
969.908,-99.385,-139.207,156.8571,-25.1917,-153.4543
969.912,-99.355,-139.196,156.8587,-25.1914,-153.4553
969.909,-99.324,-139.2,156.8575,-25.1915,-153.4539
969.907,-99.298,-139.194,156.8579,-25.1914,-153.4557
969.906,-99.109,-139.19,156.8574,-25.1918,-153.4545
969.907,-99.09,-139.191,156.8586,-25.1921,-153.456
969.904,-99.059,-139.195,156.8574,-25.1923,-153.4546
969.907,-99.023,-139.195,156.8583,-25.1912,-153.4558
969.91,-98.992,-139.196,156.8575,-25.1908,-153.4547
969.907,-98.962,-139.2,156.8582,-25.1918,-153.4552
969.906,-98.931,-139.193,156.8575,-25.1913,-153.4541
969.903,-98.747,-139.19,156.8582,-25.192,-153.4558
969.901,-98.716,-139.194,156.857,-25.1922,-153.4545
969.905,-98.686,-139.184,156.8586,-25.1918,-153.4554
969.906,-98.656,-139.194,156.8579,-25.1911,-153.4542
969.903,-98.618,-139.199,156.8578,-25.1916,-153.4551
969.901,-98.599,-139.192,156.857,-25.1912,-153.4547
969.904,-98.569,-139.193,156.8582,-25.1915,-153.4554
969.902,-98.379,-139.189,156.8577,-25.1919,-153.4542
969.898,-98.354,-139.194,156.8577,-25.1924,-153.4558
969.897,-98.323,-139.187,156.8569,-25.1919,-153.4547
969.904,-98.294,-139.194,156.8586,-25.1913,-153.4555
969.903,-98.263,-139.187,156.8598,-25.1916,-153.4563
969.9,-98.225,-139.191,156.8578,-25.1914,-153.4553
969.898,-98.195,-139.196,156.8585,-25.1923,-153.4559
969.894,-98.017,-139.192,156.8581,-25.1927,-153.4554
969.893,-97.986,-139.185,156.8573,-25.1922,-153.4543
969.896,-97.949,-139.186,156.8577,-25.1921,-153.4553
969.897,-97.919,-139.197,156.857,-25.1914,-153.4541
969.896,-97.889,-139.19,156.8582,-25.1917,-153.4549
969.898,-97.871,-139.191,156.8593,-25.192,-153.4563
969.897,-97.833,-139.184,156.8577,-25.1911,-153.4554
969.895,-97.643,-139.18,156.8592,-25.1923,-153.4562
969.892,-97.613,-139.184,156.858,-25.1924,-153.4549
969.893,-97.576,-139.196,156.8585,-25.192,-153.4558
969.897,-97.545,-139.185,156.8581,-25.191,-153.4549
969.894,-97.527,-139.189,156.8589,-25.1919,-153.4562
969.892,-97.484,-139.193,156.8577,-25.1921,-153.4542
969.89,-97.299,-139.179,156.8568,-25.1914,-153.4541
969.892,-97.281,-139.18,156.858,-25.1917,-153.4556
969.89,-97.239,-139.184,156.8588,-25.1927,-153.4555
969.892,-97.22,-139.183,156.8585,-25.1913,-153.4552
969.889,-97.183,-139.188,156.8584,-25.1918,-153.456
969.892,-97.153,-139.189,156.8576,-25.1914,-153.4549
969.891,-97.122,-139.182,156.8588,-25.1916,-153.4556
969.888,-96.944,-139.178,156.8584,-25.192,-153.4552
969.885,-96.907,-139.183,156.8583,-25.1926,-153.456
969.887,-96.876,-139.183,156.8575,-25.1921,-153.4549
969.889,-96.859,-139.183,156.8592,-25.1915,-153.4565
969.886,-96.828,-139.187,156.858,-25.1917,-153.4551
969.89,-96.779,-139.188,156.8584,-25.1916,-153.4555
969.888,-96.76,-139.181,156.8576,-25.1911,-153.455
969.885,-96.582,-139.177,156.8571,-25.1915,-153.4546
969.886,-96.564,-139.178,156.8583,-25.1918,-153.456
969.883,-96.533,-139.182,156.8571,-25.192,-153.4547
969.882,-96.503,-139.175,156.8583,-25.1923,-153.4555
969.883,-96.466,-139.187,156.8587,-25.1919,-153.4565
969.882,-96.435,-139.179,156.858,-25.1914,-153.4553
969.885,-96.405,-139.18,156.8591,-25.1918,-153.4561
969.881,-96.227,-139.176,156.8587,-25.1922,-153.4556
969.879,-96.189,-139.181,156.8567,-25.1919,-153.4546
969.878,-96.159,-139.174,156.8578,-25.1922,-153.4553
969.88,-96.129,-139.175,156.859,-25.1925,-153.4561
969.877,-96.098,-139.179,156.8578,-25.1927,-153.4548
969.881,-96.068,-139.178,156.8595,-25.1921,-153.4557
969.883,-96.031,-139.18,156.8579,-25.1912,-153.4548
969.879,-95.853,-139.176,156.8574,-25.1917,-153.4543
969.877,-95.815,-139.18,156.8574,-25.1922,-153.4552
969.876,-95.785,-139.173,156.8566,-25.1917,-153.454
969.877,-95.766,-139.174,156.8578,-25.192,-153.4555
969.874,-95.736,-139.178,156.8585,-25.193,-153.4561
969.877,-95.706,-139.178,156.8583,-25.1916,-153.4551
969.88,-95.669,-139.179,156.8586,-25.1915,-153.4561
969.876,-95.491,-139.175,156.8581,-25.1919,-153.4556
969.873,-95.46,-139.179,156.8569,-25.1921,-153.4543
