X,Y,Z,Rx,Ry,Rz,Time
958.52,-37.037,-164.946,-165.2874,-7.1721,17.5193,0.0
958.524,-36.978,-164.939,-165.2872,-7.1726,17.5189,29.0
958.519,-36.912,-164.944,-165.2874,-7.1721,17.5187,64.8
958.522,-36.853,-164.937,-165.2872,-7.1726,17.5183,95.2
958.525,-36.819,-164.937,-165.2879,-7.1725,17.5183,124.4
958.518,-36.746,-164.949,-165.2869,-7.1717,17.5185,154.2
958.524,-36.653,-164.942,-165.2873,-7.1721,17.5181,203.8
958.519,-36.58,-164.943,-165.2881,-7.1725,17.5202,234.8
958.516,-36.532,-164.949,-165.288,-7.172,17.52,264.8
958.52,-36.462,-164.943,-165.2878,-7.1725,17.5202,294.2
958.524,-36.41,-164.939,-165.2884,-7.1726,17.5194,324.9
958.525,-36.35,-164.943,-165.2878,-7.1725,17.5189,354.7
958.526,-36.291,-164.938,-165.288,-7.1727,17.5194,386.8
958.525,-36.214,-164.941,-165.2878,-7.1725,17.519,415.8
958.518,-36.17,-164.945,-165.2873,-7.1722,17.5194,446.5
958.517,-36.081,-164.948,-165.287,-7.172,17.5197,474.8
958.525,-36.048,-164.935,-165.2877,-7.1728,17.5188,506.1
958.521,-35.97,-164.94,-165.2879,-7.1723,17.5193,535.8
958.517,-35.927,-164.942,-165.2869,-7.1722,17.5188,569.0
958.522,-35.864,-164.939,-165.2875,-7.1724,17.5187,595.4
958.52,-35.804,-164.945,-165.2873,-7.1719,17.5191,626.5
958.523,-35.745,-164.938,-165.2871,-7.1724,17.5187,655.0
958.524,-35.686,-164.942,-165.2865,-7.1723,17.5182,687.8
958.519,-35.631,-164.946,-165.2867,-7.1718,17.5173,715.8
958.519,-35.573,-164.942,-165.2884,-7.1725,17.5197,747.0
958.521,-35.502,-164.946,-165.2877,-7.1723,17.5199,775.5
958.521,-35.443,-164.941,-165.288,-7.1725,17.5204,805.7
958.525,-35.391,-164.937,-165.2886,-7.1726,17.5196,836.8
958.526,-35.331,-164.941,-165.288,-7.1725,17.5191,865.8
958.52,-35.259,-164.943,-165.2874,-7.1724,17.5193,896.6
958.52,-35.211,-164.938,-165.2876,-7.1726,17.5191,925.4
958.522,-35.147,-164.945,-165.2878,-7.172,17.5189,955.5
958.525,-35.088,-164.938,-165.2876,-7.1725,17.5185,986.1
958.52,-35.015,-164.94,-165.287,-7.1724,17.5187,1018.5
958.522,-34.951,-164.947,-165.2872,-7.1719,17.5185,1045.9
958.521,-34.904,-164.942,-165.2875,-7.1721,17.5183,1075.8
958.524,-34.845,-164.935,-165.2873,-7.1726,17.5179,1106.2
958.517,-34.801,-164.94,-165.2868,-7.1723,17.5183,1138.4
958.52,-34.737,-164.947,-165.2869,-7.1717,17.5181,1167.8
958.52,-34.679,-164.943,-165.2886,-7.1724,17.5205,1197.0
958.523,-34.62,-164.936,-165.2884,-7.1729,17.52,1226.8
958.524,-34.561,-164.94,-165.2878,-7.1727,17.5196,1259.0
958.519,-34.495,-164.944,-165.288,-7.1722,17.5194,1287.8
958.517,-34.435,-164.95,-165.2878,-7.1718,17.5198,1318.2
958.52,-34.376,-164.943,-165.2876,-7.1723,17.5194,1346.9
958.52,-34.317,-164.939,-165.2879,-7.1725,17.5199,1378.5
958.519,-34.24,-164.941,-165.2876,-7.1723,17.5195,1406.9
958.525,-34.206,-164.939,-165.2878,-7.1725,17.5186,1438.7
958.524,-34.117,-164.942,-165.2876,-7.1723,17.5188,1467.9
958.517,-34.073,-164.946,-165.2871,-7.1719,17.5193,1498.4
958.52,-34.021,-164.943,-165.2877,-7.172,17.5184,1527.3
958.524,-33.951,-164.936,-165.2875,-7.1725,17.5187,1558.6
958.525,-33.892,-164.94,-165.2868,-7.1724,17.5182,1587.9
958.525,-33.833,-164.935,-165.2871,-7.1726,17.5187,1619.8
958.526,-33.78,-164.942,-165.2873,-7.172,17.5178,1646.9
958.526,-33.721,-164.938,-165.2875,-7.1722,17.5183,1677.9
958.52,-33.66,-164.939,-165.2883,-7.1726,17.5197,1707.1
958.521,-33.601,-164.943,-165.2877,-7.1724,17.5192,1737.8
958.521,-33.53,-164.939,-165.2879,-7.1726,17.5204,1768.8
958.523,-33.478,-164.945,-165.2881,-7.1721,17.5195,1797.6
958.526,-33.419,-164.939,-165.2879,-7.1726,17.5191,1828.5
958.526,-33.36,-164.934,-165.2882,-7.1728,17.5196,1857.8
958.518,-33.287,-164.946,-165.2872,-7.172,17.5198,1887.4
958.521,-33.246,-164.943,-165.2877,-7.1721,17.5182,1919.3
958.525,-33.176,-164.936,-165.2875,-7.1726,17.5185,1947.7
958.523,-33.105,-164.942,-165.2874,-7.1722,17.5197,1978.1
958.525,-33.058,-164.935,-165.2872,-7.1727,17.5185,2008.3
958.521,-32.992,-164.94,-165.2874,-7.1722,17.5183,2037.9
958.522,-32.921,-164.944,-165.2868,-7.172,17.5186,2069.9
958.525,-32.862,-164.937,-165.2866,-7.1725,17.5181,2098.0
958.52,-32.796,-164.942,-165.2868,-7.172,17.5179,2130.7
958.518,-32.737,-164.948,-165.288,-7.172,17.5202,2161.8
958.52,-32.69,-164.941,-165.2878,-7.1725,17.5191,2189.9
958.518,-32.63,-164.947,-165.2876,-7.1721,17.5196,2225.3
958.522,-32.567,-164.943,-165.2882,-7.1722,17.5194,2254.6
958.521,-32.508,-164.939,-165.2884,-7.1724,17.5199,2286.8
958.522,-32.448,-164.943,-165.2878,-7.1722,17.5194,2315.1
958.525,-32.39,-164.936,-165.2876,-7.1727,17.519,2345.2
958.529,-32.319,-164.929,-165.2874,-7.1732,17.5193,2374.4
958.526,-32.278,-164.938,-165.288,-7.1724,17.5186,2405.7
958.521,-32.205,-164.94,-165.2875,-7.1723,17.5188,2436.7
958.518,-32.146,-164.946,-165.2873,-7.1718,17.5193,2467.9
958.521,-32.087,-164.939,-165.2871,-7.1723,17.5189,2495.2
958.525,-32.023,-164.935,-165.2877,-7.1724,17.5187,2526.2
958.526,-31.964,-164.939,-165.2871,-7.1723,17.5182,2555.6
958.52,-31.903,-164.941,-165.2865,-7.1722,17.5178,2587.8
958.52,-31.839,-164.939,-165.2875,-7.172,17.5185,2615.8
958.521,-31.78,-164.943,-165.2883,-7.1723,17.5199,2646.8
958.524,-31.722,-164.937,-165.2881,-7.1728,17.5195,2675.9
958.522,-31.662,-164.943,-165.2879,-7.1723,17.5199,2706.8
958.526,-31.599,-164.939,-165.2885,-7.1724,17.5198,2736.9
958.522,-31.544,-164.942,-165.2875,-7.1723,17.52,2765.8
958.526,-31.492,-164.938,-165.2881,-7.1724,17.5191,2796.2
958.528,-31.433,-164.932,-165.2879,-7.1729,17.5187,2825.9
958.517,-31.36,-164.946,-165.2874,-7.1719,17.5198,2855.8
958.52,-31.301,-164.939,-165.2872,-7.1724,17.5194,2887.0
958.524,-31.249,-164.936,-165.2877,-7.1725,17.5185,2916.8
958.525,-31.178,-164.939,-165.2871,-7.1723,17.5187,2946.8
958.524,-31.119,-164.935,-165.2874,-7.1725,17.5193,2978.0
958.519,-31.065,-164.939,-165.2876,-7.172,17.5184,3007.5
958.519,-31.005,-164.943,-165.287,-7.1719,17.5179,3038.8
958.519,-30.935,-164.939,-165.2872,-7.1721,17.5191,3068.9
958.52,-30.887,-164.943,-165.2866,-7.1719,17.5179,3098.3
958.524,-30.824,-164.939,-165.2885,-7.1725,17.5196,3127.7
958.521,-30.765,-164.945,-165.2884,-7.172,17.52,3158.8
958.524,-30.706,-164.939,-165.2882,-7.1725,17.5196,3189.3
958.527,-30.647,-164.932,-165.288,-7.173,17.5192,3218.9
958.518,-30.574,-164.944,-165.287,-7.1722,17.5194,3247.2
958.519,-30.522,-164.942,-165.288,-7.172,17.5195,3278.0
958.519,-30.462,-164.946,-165.2874,-7.1719,17.519,3309.8
958.518,-30.415,-164.942,-165.2876,-7.1721,17.5188,3340.1
958.522,-30.345,-164.935,-165.2874,-7.1725,17.5191,3370.3
958.519,-30.285,-164.941,-165.2873,-7.1721,17.5195,3398.9
958.522,-30.233,-164.937,-165.2878,-7.1722,17.5187,3429.9
958.523,-30.174,-164.941,-165.2872,-7.172,17.5182,3459.1
958.526,-30.104,-164.935,-165.287,-7.1725,17.5185,3490.0
958.52,-30.049,-164.939,-165.2872,-7.172,17.5176,3520.0
958.518,-29.99,-164.945,-165.2871,-7.1715,17.518,3551.5
958.521,-29.92,-164.939,-165.2882,-7.1725,17.5201,3579.9
