X,Y,Z,Rx,Ry,Rz
956.305,-101.537,-165.151,160.5194,7.8727,-157.0404
956.303,-101.457,-165.151,160.5194,7.8727,-157.0404
956.302,-101.376,-165.151,160.5194,7.8727,-157.0404
956.3,-101.296,-165.151,160.5194,7.8727,-157.0404
956.299,-101.216,-165.151,160.5194,7.8727,-157.0404
956.297,-101.136,-165.151,160.5194,7.8727,-157.0404
956.296,-101.055,-165.151,160.5194,7.8727,-157.0404
956.294,-100.975,-165.152,160.5194,7.8727,-157.0404
956.293,-100.895,-165.152,160.5194,7.8727,-157.0404
956.291,-100.815,-165.152,160.5194,7.8727,-157.0404
956.29,-100.734,-165.152,160.5194,7.8727,-157.0404
956.288,-100.654,-165.152,160.5194,7.8727,-157.0404
956.287,-100.574,-165.152,160.5194,7.8727,-157.0404
956.286,-100.494,-165.152,160.5194,7.8727,-157.0404
956.284,-100.413,-165.152,160.5194,7.8727,-157.0404
956.283,-100.333,-165.152,160.5194,7.8727,-157.0404
956.281,-100.253,-165.152,160.5194,7.8727,-157.0404
956.28,-100.173,-165.152,160.5194,7.8727,-157.0404
956.278,-100.092,-165.152,160.5194,7.8727,-157.0404
956.277,-100.012,-165.152,160.5194,7.8727,-157.0404
956.275,-99.932,-165.152,160.5194,7.8727,-157.0404
956.274,-99.852,-165.152,160.5194,7.8727,-157.0404
956.272,-99.771,-165.153,160.5194,7.8727,-157.0404
956.271,-99.691,-165.153,160.5194,7.8727,-157.0404
956.269,-99.611,-165.153,160.5194,7.8727,-157.0404
956.268,-99.531,-165.153,160.5194,7.8727,-157.0404
956.266,-99.45,-165.153,160.5194,7.8727,-157.0404
956.265,-99.37,-165.153,160.5194,7.8727,-157.0404
956.264,-99.29,-165.153,160.5194,7.8727,-157.0404
956.262,-99.21,-165.153,160.5194,7.8727,-157.0404
956.261,-99.129,-165.153,160.5194,7.8727,-157.0404
956.259,-99.049,-165.153,160.5194,7.8727,-157.0404
956.258,-98.969,-165.153,160.5194,7.8727,-157.0404
956.256,-98.889,-165.153,160.5194,7.8727,-157.0404
956.255,-98.808,-165.153,160.5194,7.8727,-157.0404
956.253,-98.728,-165.153,160.5194,7.8727,-157.0404
956.252,-98.648,-165.153,160.5194,7.8727,-157.0404
956.25,-98.568,-165.153,160.5194,7.8727,-157.0404
956.249,-98.487,-165.154,160.5194,7.8727,-157.0404
956.247,-98.407,-165.154,160.5194,7.8727,-157.0404
956.246,-98.327,-165.154,160.5194,7.8727,-157.0404
956.245,-98.247,-165.154,160.5194,7.8727,-157.0404
956.243,-98.166,-165.154,160.5194,7.8727,-157.0404
956.242,-98.086,-165.154,160.5194,7.8727,-157.0404
956.24,-98.006,-165.154,160.5194,7.8727,-157.0404
956.239,-97.926,-165.154,160.5194,7.8727,-157.0404
956.237,-97.845,-165.154,160.5194,7.8727,-157.0404
956.236,-97.765,-165.154,160.5194,7.8727,-157.0404
