X,Y,Z,Rx,Ry,Rz
958.521,-23.146,-164.943,-165.2876,-7.1723,17.5191
958.521,-23.083,-164.943,-165.2876,-7.1723,17.5191
958.521,-23.019,-164.943,-165.2876,-7.1723,17.5191
958.521,-22.956,-164.943,-165.2876,-7.1723,17.5191
958.521,-22.893,-164.942,-165.2876,-7.1723,17.5191
958.521,-22.83,-164.942,-165.2876,-7.1723,17.5191
958.521,-22.766,-164.942,-165.2876,-7.1723,17.5191
958.521,-22.703,-164.942,-165.2876,-7.1723,17.5191
958.521,-22.64,-164.942,-165.2876,-7.1723,17.5191
958.521,-22.577,-164.942,-165.2876,-7.1723,17.5191
958.522,-22.513,-164.942,-165.2876,-7.1723,17.5191
958.522,-22.45,-164.941,-165.2876,-7.1723,17.5191
958.522,-22.387,-164.941,-165.2876,-7.1723,17.5191
958.522,-22.323,-164.941,-165.2876,-7.1723,17.5191
958.522,-22.26,-164.941,-165.2876,-7.1723,17.5191
958.522,-22.197,-164.941,-165.2876,-7.1723,17.5191
958.522,-22.134,-164.941,-165.2876,-7.1723,17.5191
958.522,-22.07,-164.941,-165.2876,-7.1723,17.5191
958.522,-22.007,-164.941,-165.2876,-7.1723,17.5191
958.522,-21.944,-164.94,-165.2876,-7.1723,17.5191
958.522,-21.881,-164.94,-165.2876,-7.1723,17.5191
958.522,-21.817,-164.94,-165.2876,-7.1723,17.5191
958.522,-21.754,-164.94,-165.2876,-7.1723,17.5191
958.522,-21.691,-164.94,-165.2876,-7.1723,17.5191
958.522,-21.627,-164.94,-165.2876,-7.1723,17.5191
958.522,-21.564,-164.94,-165.2876,-7.1723,17.5191
958.522,-21.501,-164.939,-165.2876,-7.1723,17.5191
958.522,-21.438,-164.939,-165.2876,-7.1723,17.5191
958.523,-21.374,-164.939,-165.2876,-7.1723,17.5191
958.523,-21.311,-164.939,-165.2876,-7.1723,17.5191
958.523,-21.248,-164.939,-165.2876,-7.1723,17.5191
958.523,-21.185,-164.939,-165.2876,-7.1723,17.5191
958.523,-21.121,-164.939,-165.2876,-7.1723,17.5191
958.523,-21.058,-164.938,-165.2876,-7.1723,17.5191
958.523,-20.995,-164.938,-165.2876,-7.1723,17.5191
958.523,-20.931,-164.938,-165.2876,-7.1723,17.5191
958.523,-20.868,-164.938,-165.2876,-7.1723,17.5191
958.523,-20.805,-164.938,-165.2876,-7.1723,17.5191
958.523,-20.742,-164.938,-165.2876,-7.1723,17.5191
958.523,-20.678,-164.938,-165.2876,-7.1723,17.5191
958.523,-20.615,-164.938,-165.2876,-7.1723,17.5191
958.523,-20.552,-164.937,-165.2876,-7.1723,17.5191
958.523,-20.488,-164.937,-165.2876,-7.1723,17.5191
958.523,-20.425,-164.937,-165.2876,-7.1723,17.5191
958.523,-20.362,-164.937,-165.2876,-7.1723,17.5191
958.523,-20.299,-164.937,-165.2876,-7.1723,17.5191
958.524,-20.235,-164.937,-165.2876,-7.1723,17.5191
958.524,-20.172,-164.937,-165.2876,-7.1723,17.5191
958.524,-20.109,-164.936,-165.2876,-7.1723,17.5191
958.524,-20.046,-164.936,-165.2876,-7.1723,17.5191
958.524,-19.982,-164.936,-165.2876,-7.1723,17.5191
958.524,-19.919,-164.936,-165.2876,-7.1723,17.5191
958.524,-19.856,-164.936,-165.2876,-7.1723,17.5191
958.524,-19.792,-164.936,-165.2876,-7.1723,17.5191
958.524,-19.729,-164.936,-165.2876,-7.1723,17.5191
958.524,-19.666,-164.935,-165.2876,-7.1723,17.5191
958.524,-19.603,-164.935,-165.2876,-7.1723,17.5191
958.524,-19.539,-164.935,-165.2876,-7.1723,17.5191
958.524,-19.476,-164.935,-165.2876,-7.1723,17.5191
958.524,-19.413,-164.935,-165.2876,-7.1723,17.5191
958.524,-19.35,-164.935,-165.2876,-7.1723,17.5191
958.524,-19.286,-164.935,-165.2876,-7.1723,17.5191
958.524,-19.223,-164.935,-165.2876,-7.1723,17.5191
958.524,-19.16,-164.934,-165.2876,-7.1723,17.5191
958.525,-19.096,-164.934,-165.2876,-7.1723,17.5191
958.525,-19.033,-164.934,-165.2876,-7.1723,17.5191
958.525,-18.97,-164.934,-165.2876,-7.1723,17.5191
958.525,-18.907,-164.934,-165.2876,-7.1723,17.5191
958.525,-18.843,-164.934,-165.2876,-7.1723,17.5191
958.525,-18.78,-164.934,-165.2876,-7.1723,17.5191
958.525,-18.717,-164.933,-165.2876,-7.1723,17.5191
958.525,-18.654,-164.933,-165.2876,-7.1723,17.5191
958.525,-18.59,-164.933,-165.2876,-7.1723,17.5191
958.525,-18.527,-164.933,-165.2876,-7.1723,17.5191
