intervalNO.,status,SystemTime
2.0,0.0,0.0
11.0,0.0,0.0
2.0,0.0,310.6
11.0,0.0,686.9
2.0,0.0,1036.5
11.0,0.0,1400.7
2.0,0.0,1763.3
11.0,0.0,2113.5
2.0,0.0,2478.4
11.0,0.0,2839.2
2.0,0.0,3198.7
11.0,0.0,3540.4
2.0,0.0,3911.2
11.0,0.0,4272.4
2.0,0.0,4638.0
11.0,0.0,4990.0
2.0,0.0,5343.5
11.0,0.0,5709.4
2.0,0.0,6078.0
11.0,0.0,6432.7
2.0,0.0,6793.5
11.0,0.0,7155.0
2.0,0.0,7517.0
11.0,0.0,7883.6
2.0,0.0,8241.2
11.0,0.0,8601.8
2.0,0.0,8963.0
11.0,0.0,9295.3
2.0,0.0,9661.5
11.0,0.0,10036.7
2.0,0.0,10396.8
11.0,0.0,10759.1
2.0,0.0,11109.2
11.0,0.0,11472.5
2.0,0.0,11832.9
11.0,0.0,12185.1
2.0,0.0,12541.4
11.0,0.0,12917.1
2.0,0.0,13248.5
11.0,0.0,13609.0
2.0,0.0,13970.8
11.0,0.0,14336.7
2.0,0.0,14696.1
11.0,0.0,15057.7
2.0,0.0,15419.1
11.0,0.0,15770.6
2.0,0.0,16133.0
11.0,0.0,16493.7
2.0,0.0,16855.1
11.0,0.0,17215.2
2.0,0.0,17580.7
11.0,0.0,17941.8
2.0,0.0,18293.6
11.0,0.0,18655.6
2.0,0.0,19022.0
11.0,0.0,19370.0
2.0,0.0,19753.5
11.0,0.0,20089.2
2.0,0.0,20473.1
11.0,0.0,20834.0
2.0,0.0,21166.2
11.0,0.0,21527.2
2.0,0.0,21893.3
11.0,0.0,22269.4
2.0,0.0,22629.9
11.0,0.0,22981.5
2.0,0.0,23324.6
11.0,0.0,23709.5
2.0,0.0,24047.2
11.0,0.0,24400.9
2.0,0.0,24764.9
11.0,0.0,25115.5
2.0,0.0,25475.1
11.0,0.0,25841.5
2.0,0.0,26195.4
11.0,0.0,26560.9
2.0,0.0,26931.0
11.0,0.0,27283.0
2.0,0.0,27644.0
11.0,0.0,28005.6
2.0,0.0,28375.9
11.0,0.0,28705.9
2.0,0.0,29082.0
11.0,0.0,29432.9
2.0,0.0,29795.5
11.0,0.0,30161.9
2.0,0.0,30517.9
11.0,0.0,30893.7
2.0,0.0,31256.7
11.0,0.0,31611.1
2.0,0.0,31972.8
11.0,0.0,32333.9
2.0,0.0,32695.8
11.0,0.0,33043.1
2.0,0.0,33413.1
11.0,0.0,33749.0
2.0,0.0,34114.3
11.0,0.0,34519.7
2.0,0.0,35002.7
11.0,0.0,35364.8
2.0,0.0,35699.7
11.0,0.0,36064.5
2.0,0.0,36430.7
11.0,0.0,36803.2
2.0,0.0,37164.6
11.0,0.0,37514.4
2.0,0.0,37891.1
11.0,0.0,38250.7
11.0,0.0,38943.4
2.0,0.0,39849.3
11.0,0.0,40522.8
2.0,0.0,40880.6
11.0,0.0,41249.4
2.0,0.0,41594.7
11.0,0.0,41969.4
2.0,0.0,42313.4
11.0,0.0,42677.0
2.0,0.0,43029.4
11.0,0.0,43393.0
2.0,0.0,43763.3
11.0,0.0,44128.8
2.0,0.0,44461.8
11.0,0.0,44854.9
2.0,0.0,45177.8
11.0,0.0,45553.8
2.0,0.0,45903.6
11.0,0.0,46285.8
2.0,0.0,46625.5
11.0,0.0,46974.5
2.0,0.0,47344.2
11.0,0.0,47723.0
2.0,0.0,48069.8
11.0,0.0,48438.6
2.0,0.0,48798.7
11.0,0.0,49176.9
2.0,0.0,49536.3
11.0,0.0,49891.6
