X,Y,Z,Rx,Ry,Rz
958.521,-37.042,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-36.958,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-36.875,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-36.791,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-36.707,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-36.623,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-36.54,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-36.456,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-36.372,-164.943,-1652.876,-71.723,175.19100000000003
958.521,-35.534,-164.942,-1652.876,-71.723,175.19100000000003
958.521,-35.45,-164.942,-1652.876,-71.723,175.19100000000003
958.521,-35.367,-164.942,-1652.876,-71.723,175.19100000000003
958.521,-35.283,-164.942,-1652.876,-71.723,175.19100000000003
958.521,-35.199,-164.942,-1652.876,-71.723,175.19100000000003
958.521,-35.115,-164.942,-1652.876,-71.723,175.19100000000003
958.521,-35.032,-164.942,-1652.876,-71.723,175.19100000000003
958.521,-34.948,-164.942,-1652.876,-71.723,175.19100000000003
958.521,-34.864,-164.942,-1652.876,-71.723,175.19100000000003
958.522,-34.78,-164.942,-1652.876,-71.723,175.19100000000003
958.522,-34.696,-164.942,-1652.876,-71.723,175.19100000000003
958.522,-34.613,-164.942,-1652.876,-71.723,175.19100000000003
958.522,-34.529,-164.942,-1652.876,-71.723,175.19100000000003
958.522,-34.445,-164.942,-1652.876,-71.723,175.19100000000003
958.522,-34.361,-164.942,-1652.876,-71.723,175.19100000000003
958.522,-34.278,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-34.194,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-34.11,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-34.026,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.942,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.859,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.775,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.691,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.607,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.523,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.44,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.356,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.272,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.188,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.105,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-33.021,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-32.937,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-32.853,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-32.769,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-32.686,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-32.602,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-32.518,-164.941,-1652.876,-71.723,175.19100000000003
958.522,-32.434,-164.94,-1652.876,-71.723,175.19100000000003
958.522,-32.351,-164.94,-1652.876,-71.723,175.19100000000003
958.522,-32.267,-164.94,-1652.876,-71.723,175.19100000000003
958.522,-32.183,-164.94,-1652.876,-71.723,175.19100000000003
958.522,-32.099,-164.94,-1652.876,-71.723,175.19100000000003
958.522,-32.015,-164.94,-1652.876,-71.723,175.19100000000003
958.522,-31.932,-164.94,-1652.876,-71.723,175.19100000000003
958.522,-31.848,-164.94,-1652.876,-71.723,175.19100000000003
958.518,-31.873,-164.946,-1652.875,-71.72,175.197
958.518,-31.809,-164.945,-1652.875,-71.72,175.197
958.518,-31.745,-164.945,-1652.875,-71.72,175.197
958.518,-31.681,-164.945,-1652.875,-71.72,175.197
958.518,-31.617,-164.945,-1652.875,-71.72,175.197
958.518,-31.553,-164.945,-1652.875,-71.72,175.197
958.518,-31.489,-164.945,-1652.875,-71.72,175.197
958.518,-31.426,-164.945,-1652.875,-71.72,175.197
958.518,-31.362,-164.945,-1652.875,-71.72,175.197
958.518,-31.298,-164.945,-1652.875,-71.72,175.197
958.518,-31.234,-164.945,-1652.875,-71.72,175.197
958.518,-31.17,-164.945,-1652.875,-71.72,175.197
958.518,-31.106,-164.945,-1652.875,-71.72,175.197
958.518,-31.042,-164.945,-1652.875,-71.72,175.197
958.518,-30.979,-164.945,-1652.875,-71.72,175.197
958.518,-30.915,-164.945,-1652.875,-71.72,175.197
958.518,-30.851,-164.945,-1652.875,-71.72,175.197
958.518,-30.787,-164.945,-1652.875,-71.72,175.197
958.518,-30.723,-164.944,-1652.875,-71.72,175.197
958.518,-30.659,-164.944,-1652.875,-71.72,175.197
958.519,-30.595,-164.944,-1652.875,-71.72,175.197
958.519,-30.532,-164.944,-1652.875,-71.72,175.197
958.519,-30.468,-164.944,-1652.875,-71.72,175.197
958.519,-30.404,-164.944,-1652.875,-71.72,175.197
958.519,-30.34,-164.944,-1652.875,-71.72,175.197
958.519,-30.276,-164.944,-1652.875,-71.72,175.197
958.519,-30.212,-164.944,-1652.875,-71.72,175.197
958.519,-30.148,-164.944,-1652.875,-71.72,175.197
958.519,-30.085,-164.944,-1652.875,-71.72,175.197
958.519,-30.021,-164.944,-1652.875,-71.72,175.197
958.519,-29.957,-164.944,-1652.875,-71.72,175.197
958.519,-29.893,-164.944,-1652.875,-71.72,175.197
958.519,-29.829,-164.944,-1652.875,-71.72,175.197
958.519,-29.765,-164.944,-1652.875,-71.72,175.197
958.519,-29.701,-164.944,-1652.875,-71.72,175.197
958.519,-29.638,-164.943,-1652.875,-71.72,175.197
958.519,-29.574,-164.943,-1652.875,-71.72,175.197
958.519,-29.51,-164.943,-1652.875,-71.72,175.197
958.519,-29.446,-164.943,-1652.875,-71.72,175.197
958.519,-29.382,-164.943,-1652.875,-71.72,175.197
958.519,-29.318,-164.943,-1652.875,-71.72,175.197
958.519,-29.254,-164.943,-1652.875,-71.72,175.197
958.519,-29.191,-164.943,-1652.875,-71.72,175.197
958.519,-29.127,-164.943,-1652.875,-71.72,175.197
958.519,-29.063,-164.943,-1652.875,-71.72,175.197
958.519,-28.999,-164.943,-1652.875,-71.72,175.197
958.519,-28.935,-164.943,-1652.875,-71.72,175.197
958.519,-28.871,-164.943,-1652.875,-71.72,175.197
958.519,-28.808,-164.943,-1652.875,-71.72,175.197
958.52,-28.744,-164.943,-1652.875,-71.72,175.197
958.52,-28.68,-164.943,-1652.875,-71.72,175.197
958.52,-28.616,-164.942,-1652.875,-71.72,175.197
958.52,-28.552,-164.942,-1652.875,-71.72,175.197
958.52,-28.488,-164.942,-1652.875,-71.72,175.197
958.52,-28.424,-164.942,-1652.875,-71.72,175.197
958.52,-28.361,-164.942,-1652.875,-71.72,175.197
958.52,-28.297,-164.942,-1652.875,-71.72,175.197
958.52,-28.233,-164.942,-1652.875,-71.72,175.197
958.52,-28.169,-164.942,-1652.875,-71.72,175.197
958.52,-28.105,-164.942,-1652.875,-71.72,175.197
958.52,-28.041,-164.942,-1652.875,-71.72,175.197
958.52,-27.977,-164.942,-1652.875,-71.72,175.197
958.52,-27.914,-164.942,-1652.875,-71.72,175.197
958.52,-27.85,-164.942,-1652.875,-71.72,175.197
958.52,-27.786,-164.942,-1652.875,-71.72,175.197
958.52,-27.722,-164.942,-1652.875,-71.72,175.197
958.52,-27.658,-164.942,-1652.875,-71.72,175.197
958.52,-27.594,-164.942,-1652.875,-71.72,175.197
958.52,-27.53,-164.941,-1652.875,-71.72,175.197
958.52,-27.467,-164.941,-1652.875,-71.72,175.197
958.52,-27.403,-164.941,-1652.875,-71.72,175.197
958.52,-27.339,-164.941,-1652.875,-71.72,175.197
958.52,-27.275,-164.941,-1652.875,-71.72,175.197
958.52,-27.211,-164.941,-1652.875,-71.72,175.197
958.52,-27.147,-164.941,-1652.875,-71.72,175.197
958.52,-27.083,-164.941,-1652.875,-71.72,175.197
958.52,-27.02,-164.941,-1652.875,-71.72,175.197
958.52,-26.956,-164.941,-1652.875,-71.72,175.197
958.521,-26.892,-164.941,-1652.875,-71.72,175.197
958.521,-26.828,-164.941,-1652.875,-71.72,175.197
958.521,-26.764,-164.941,-1652.875,-71.72,175.197
958.521,-26.7,-164.941,-1652.875,-71.72,175.197
958.521,-26.636,-164.941,-1652.875,-71.72,175.197
